Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,907,12
て,て,て,助詞 接続助詞 * * * *,824,12
に,に,に,助詞 格助詞 * * * *,813,12
は,は,は,助詞 係助詞 * * * *,760,12
が,が,が,助詞 格助詞 * * * *,621,12
育人,育人,育人,名詞 固有名詞 人名 名 * *,598,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,521,12
を,を,を,助詞 格助詞 * * * *,508,12
で,で,で,助詞 格助詞 * * * *,424,12
も,も,も,助詞 係助詞 * * * *,422,12
千雪,千雪,千雪,名詞 固有名詞 人名 名 * *,395,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,348,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,336,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,321,12
と,と,と,助詞 格助詞 * * * *,309,12
ん,ん,の,助詞 準体助詞 * * * *,308,12
よ,よ,よ,助詞 終助詞 * * * *,283,12
か,か,か,助詞 終助詞 * * * *,268,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,258,12
の,の,の,助詞 準体助詞 * * * *,246,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,243,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,236,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,232,12
ね,ね,ね,助詞 終助詞 * * * *,232,12
から,から,から,助詞 接続助詞 * * * *,212,12
って,って,って,助詞 副助詞 * * * *,205,12
私,私,私,代名詞 * * * * *,185,12
モデル,モデル,モデル,名詞 普通名詞 一般 * * *,178,12
あ,あ,あっ,感動詞 一般 * * * *,173,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,166,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,160,12
服,服,服,名詞 普通名詞 一般 * * *,154,12
こと,こと,こと,名詞 普通名詞 一般 * * *,153,12
僕,僕,僕,代名詞 * * * * *,149,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,146,12
心,心,心,名詞 普通名詞 サ変可能 * * *,145,10
それ,それ,其れ,代名詞 * * * * *,143,12
の,の,の,助詞 終助詞 * * * *,136,12
柳田,柳田,柳田,名詞 固有名詞 人名 姓 * *,135,8
〜,〜,〜,補助記号 一般 * * * *,124,12
あっ,あっ,あっ,感動詞 一般 * * * *,124,12
か,か,か,助詞 副助詞 * * * *,123,12
な,な,な,助詞 終助詞 * * * *,120,12
何,何,何,代名詞 * * * * *,110,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,108,12
から,から,から,助詞 格助詞 * * * *,104,12
この,この,此の,連体詞 * * * * *,104,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,101,12
あの,あの,彼の,連体詞 * * * * *,100,12
これ,これ,此れ,代名詞 * * * * *,97,12
デザイナー,デザイナー,デザイナー,名詞 普通名詞 一般 * * *,95,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,94,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,93,12
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,91,12
なん,なん,何,代名詞 * * * * *,91,12
お,お,御,接頭辞 * * * * *,89,11
遠,遠,遠,接尾辞 名詞的 一般 * * *,89,7
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,87,12
はい,はい,はい,感動詞 一般 * * * *,87,12
だけ,だけ,だけ,助詞 副助詞 * * * *,86,12
人,人,人,名詞 普通名詞 一般 * * *,85,12
どう,どう,どう,副詞 * * * * *,82,12
その,その,其の,連体詞 * * * * *,79,11
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,78,12
五十嵐,五十嵐,五十嵐,名詞 固有名詞 人名 姓 * *,77,8
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,76,12
けど,けど,けれど,助詞 接続助詞 * * * *,75,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,70,12
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,69,12
もう,もう,もう,副詞 * * * * *,68,12
お前,お前,御前,代名詞 * * * * *,67,12
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,64,12
藤戸,藤戸,藤戸,名詞 固有名詞 人名 姓 * *,64,10
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,61,12
雫,雫,雫,名詞 普通名詞 一般 * * *,61,8
そう,そう,そう,副詞 * * * * *,60,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,59,12
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,59,11
ば,ば,ば,助詞 接続助詞 * * * *,55,12
ほのか,ほのか,仄か,形状詞 一般 * * * *,55,8
君,君,君,接尾辞 名詞的 一般 * * *,55,7
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,54,10
祥子,祥子,祥子,名詞 固有名詞 人名 名 * *,54,7
えっ,えっ,えっ,感動詞 一般 * * * *,53,12
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,53,12
音,音,音,名詞 普通名詞 一般 * * *,53,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,52,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,51,12
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,47,12
で,で,で,助詞 接続助詞 * * * *,47,12
ショー,ショー,ショー,名詞 普通名詞 一般 * * *,47,12
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,47,11
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,47,11
ここ,ここ,此処,代名詞 * * * * *,46,12
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,46,11
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,46,10
セイラ,セイラ,セーラ,名詞 固有名詞 人名 一般 * *,46,7
たい,たい,たい,助動詞 * * * 助動詞-タイ 連体形-一般,45,12
わ,わ,わ,助詞 終助詞 * * * *,45,11
まで,まで,まで,助詞 副助詞 * * * *,44,12
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,44,9
今,今,今,名詞 普通名詞 副詞可能 * * *,43,12
なんて,なんて,なんて,助詞 副助詞 * * * *,43,11
よう,よう,様,形状詞 助動詞語幹 * * * *,43,11
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,42,12
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,42,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,41,12
都村,都村,都村,名詞 固有名詞 人名 姓 * *,41,11
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,40,12
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,40,11
ハア,ハア,はあ,感動詞 一般 * * * *,40,10
綾野,綾野,綾野,名詞 固有名詞 人名 姓 * *,40,8
百合子,百合子,百合子,名詞 固有名詞 人名 名 * *,40,7
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,39,12
え,え,えっ,感動詞 一般 * * * *,39,12
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,39,12
まだ,まだ,未だ,副詞 * * * * *,39,12
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,39,11
子,子,子,名詞 普通名詞 一般 * * *,39,11
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,38,12
と,と,と,助詞 接続助詞 * * * *,38,12
え,え,え,助詞 終助詞 * * * *,38,11
ん,ん,んっ,感動詞 一般 * * * *,37,12
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,37,11
研二,研二,研二,名詞 固有名詞 人名 名 * *,37,5
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,36,12
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,36,10
すみ,すむ,すむ,動詞 一般 * * 五段-マ行 連用形-一般,36,9
いち,いち,一,名詞 数詞 * * * *,36,7
花,花,花,接尾辞 名詞的 一般 * * *,36,7
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,35,10
そんな,そんな,そんな,連体詞 * * * * *,35,10
芸,芸,芸,名詞 普通名詞 一般 * * *,35,10
華,華,花,接尾辞 名詞的 一般 * * *,35,10
文世,文世,文世,名詞 固有名詞 人名 名 * *,35,6
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,34,12
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,34,12
デザイン,デザイン,デザイン,名詞 普通名詞 サ変可能 * * *,34,12
自分,自分,自分,名詞 普通名詞 一般 * * *,34,12
し,し,し,助詞 接続助詞 * * * *,34,11
ため,ため,為,名詞 普通名詞 副詞可能 * * *,34,10
麻衣,麻衣,麻衣,名詞 固有名詞 人名 名 * *,34,8
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,33,12
ああ,ああ,ああ,感動詞 一般 * * * *,33,11
ちょっと,ちょっと,一寸,副詞 * * * * *,33,11
ハッ,ハッ,はっ,感動詞 一般 * * * *,33,11
なり,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,33,9
好き,好き,好き,形状詞 一般 * * * *,33,9
拍手,拍手,拍手,名詞 普通名詞 サ変可能 * * *,33,4
前,前,前,名詞 普通名詞 副詞可能 * * *,32,12
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,32,11
誰,誰,誰,代名詞 * * * * *,32,10
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,31,11
たち,たち,達,接尾辞 名詞的 一般 * * *,31,11
うん,うん,うん,感動詞 一般 * * * *,31,8
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,30,11
あんた,あんた,貴方,代名詞 * * * * *,30,10
とき,とき,時,名詞 普通名詞 副詞可能 * * *,30,10
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,30,10
長谷川,長谷川,長谷川,名詞 固有名詞 人名 姓 * *,30,8
龍之介,龍之介,龍之介,名詞 固有名詞 人名 名 * *,30,5
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,29,12
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,29,11
そこ,そこ,其処,代名詞 * * * * *,29,11
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,29,11
あと,あと,後,名詞 普通名詞 副詞可能 * * *,29,9
時間,時間,時間,名詞 普通名詞 助数詞可能 * * *,29,7
