Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,744,13
は,は,は,助詞 係助詞 * * * *,680,13
て,て,て,助詞 接続助詞 * * * *,659,13
に,に,に,助詞 格助詞 * * * *,571,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,523,13
を,を,を,助詞 格助詞 * * * *,471,13
ハジメ,ハジメ,ハジメ,名詞 固有名詞 人名 名 * *,466,13
が,が,が,助詞 格助詞 * * * *,390,13
も,も,も,助詞 係助詞 * * * *,322,13
か,か,か,助詞 終助詞 * * * *,293,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,292,13
と,と,と,助詞 格助詞 * * * *,282,13
で,で,で,助詞 格助詞 * * * *,279,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,272,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,253,13
ユエ,ユエ,フエ,名詞 固有名詞 地名 一般 * *,228,13
な,な,な,助詞 終助詞 * * * *,223,13
ん,ん,の,助詞 準体助詞 * * * *,200,13
よ,よ,よ,助詞 終助詞 * * * *,199,13
の,の,の,助詞 準体助詞 * * * *,198,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,173,10
か,か,か,助詞 副助詞 * * * *,154,13
何,何,何,代名詞 * * * * *,153,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,150,13
こと,こと,こと,名詞 普通名詞 一般 * * *,136,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,128,13
俺,俺,俺,代名詞 * * * * *,127,13
それ,それ,其れ,代名詞 * * * * *,121,13
シア,シア,シア,名詞 固有名詞 地名 一般 * *,116,9
ね,ね,ね,助詞 終助詞 * * * *,114,12
私,私,私,代名詞 * * * * *,112,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,109,13
どう,どう,どう,副詞 * * * * *,108,13
から,から,から,助詞 接続助詞 * * * *,106,13
たち,たち,達,接尾辞 名詞的 一般 * * *,95,13
って,って,って,助詞 副助詞 * * * *,92,12
南雲,南雲,南雲,名詞 固有名詞 人名 姓 * *,88,9
君,君,君,接尾辞 名詞的 一般 * * *,88,9
〜,〜,〜,補助記号 一般 * * * *,86,13
さん,さん,さん,接尾辞 名詞的 一般 * * *,86,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,82,13
香織,香織,香織,名詞 固有名詞 人名 名 * *,80,6
お前,お前,御前,代名詞 * * * * *,77,13
雫,雫,雫,名詞 普通名詞 一般 * * *,75,7
この,この,此の,連体詞 * * * * *,73,12
あっ,あっ,あっ,感動詞 一般 * * * *,72,13
が,が,が,助詞 接続助詞 * * * *,72,13
音,音,音,名詞 普通名詞 一般 * * *,72,13
の,の,の,助詞 終助詞 * * * *,69,11
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,66,13
そう,そう,そう,副詞 * * * * *,66,13
から,から,から,助詞 格助詞 * * * *,65,13
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,65,13
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,63,13
魔物,魔物,魔物,名詞 普通名詞 一般 * * *,62,11
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,60,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,58,13
これ,これ,此れ,代名詞 * * * * *,58,13
ここ,ここ,此処,代名詞 * * * * *,58,12
愛子,愛子,愛子,名詞 固有名詞 人名 名 * *,58,6
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,57,11
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,56,13
もう,もう,もう,副詞 * * * * *,55,13
その,その,其の,連体詞 * * * * *,54,12
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,54,8
族,族,族,接尾辞 名詞的 一般 * * *,54,8
光輝,光輝,光輝,名詞 普通名詞 一般 * * *,54,7
お,お,御,接頭辞 * * * * *,52,10
ティオ,ティオ,ティオ,名詞 固有名詞 人名 一般 * *,51,6
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,50,13
先生,先生,先生,名詞 普通名詞 一般 * * *,49,6
あの,あの,彼の,連体詞 * * * * *,48,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,47,12
ば,ば,ば,助詞 接続助詞 * * * *,46,13
ミレディ,ミレディ,ミレディ,名詞 普通名詞 一般 * * *,46,1
だけ,だけ,だけ,助詞 副助詞 * * * *,45,11
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,44,12
けど,けど,けれど,助詞 接続助詞 * * * *,44,11
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,43,10
ミュウ,ミュウ,ミュウ,名詞 固有名詞 一般 * * *,43,4
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,41,13
遠藤,遠藤,遠藤,名詞 固有名詞 人名 姓 * *,41,4
ら,ら,等,接尾辞 名詞的 一般 * * *,40,12
メルド,メルド,メルド,名詞 普通名詞 一般 * * *,40,8
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,39,13
世界,世界,世界,名詞 普通名詞 一般 * * *,39,13
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,39,12
で,で,で,助詞 接続助詞 * * * *,39,12
迷宮,迷宮,迷宮,名詞 普通名詞 一般 * * *,39,10
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,39,7
まで,まで,まで,助詞 副助詞 * * * *,38,13
ん,ん,ん,助詞 格助詞 * * * *,38,12
ハッ,ハッ,はっ,感動詞 一般 * * * *,38,12
魔法,魔法,魔法,名詞 普通名詞 一般 * * *,38,11
ハァ,ハァ,はあ,感動詞 一般 * * * *,38,10
ん,ん,んっ,感動詞 一般 * * * *,37,13
うん,うん,うん,感動詞 一般 * * * *,36,12
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,36,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,36,11
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,35,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,35,8
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,34,12
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,33,13
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,33,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,33,11
えっ,えっ,えっ,感動詞 一般 * * * *,33,10
へ,へ,へ,助詞 格助詞 * * * *,32,13
うっ,うっ,うう,感動詞 一般 * * * *,32,12
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,32,12
よう,よう,様,形状詞 助動詞語幹 * * * *,32,12
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,31,12
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,31,11
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,30,11
フッ,フッ,ふっ,副詞 * * * * *,30,9
し,し,し,助詞 接続助詞 * * * *,29,12
ああ,ああ,ああ,感動詞 一般 * * * *,29,11
っ,っ,っ,補助記号 一般 * * * *,29,10
気,気,気,名詞 普通名詞 一般 * * *,29,10
君,君,君,代名詞 * * * * *,29,7
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,28,13
なんて,なんて,なんて,助詞 副助詞 * * * *,28,12
と,と,と,助詞 接続助詞 * * * *,28,10
力,力,力,名詞 普通名詞 一般 * * *,28,9
わ,わ,わ,助詞 終助詞 * * * *,28,8
様,様,様,接尾辞 名詞的 一般 * * *,28,8
わらわ,わらわ,童,名詞 普通名詞 一般 * * *,28,4
今,今,今,名詞 普通名詞 副詞可能 * * *,27,12
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,27,9
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,26,11
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,26,10
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,26,10
こんな,こんな,こんな,連体詞 * * * * *,26,9
発砲,発砲,発砲,名詞 普通名詞 サ変可能 * * *,26,9
神,神,神,名詞 普通名詞 一般 * * *,26,8
あれ,あれ,彼れ,代名詞 * * * * *,25,12
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,25,12
話,話,話,名詞 普通名詞 サ変可能 * * *,25,11
そんな,そんな,そんな,連体詞 * * * * *,25,10
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,25,9
どこ,どこ,どこ,代名詞 * * * * *,25,9
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,25,8
シア,シア,シア,名詞 固有名詞 人名 一般 * *,25,8
･,・,・,補助記号 一般 * * * *,25,8
