Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,758,12
の,の,の,助詞 格助詞 * * * *,725,12
に,に,に,助詞 格助詞 * * * *,601,12
て,て,て,助詞 接続助詞 * * * *,593,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,499,12
を,を,を,助詞 格助詞 * * * *,491,12
が,が,が,助詞 格助詞 * * * *,471,12
も,も,も,助詞 係助詞 * * * *,362,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,350,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,298,12
よ,よ,よ,助詞 終助詞 * * * *,293,12
〜,〜,〜,補助記号 一般 * * * *,286,12
で,で,で,助詞 格助詞 * * * *,257,12
の,の,の,助詞 準体助詞 * * * *,255,12
と,と,と,助詞 格助詞 * * * *,249,12
人間,人間,人間,名詞 普通名詞 一般 * * *,244,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,239,12
ん,ん,の,助詞 準体助詞 * * * *,238,12
か,か,か,助詞 終助詞 * * * *,214,12
ベロ,ベロ,べろ,名詞 普通名詞 一般 * * *,195,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,194,12
ね,ね,ね,助詞 終助詞 * * * *,193,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,192,12
う,う,うう,感動詞 一般 * * * *,189,12
あ,あ,あっ,感動詞 一般 * * * *,186,12
音,音,音,名詞 普通名詞 一般 * * *,169,12
ベラ,ベラ,ベラ,名詞 普通名詞 一般 * * *,166,12
って,って,って,助詞 副助詞 * * * *,161,12
な,な,な,助詞 終助詞 * * * *,152,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,146,12
ベム,ベム,ベム,名詞 普通名詞 一般 * * *,140,12
こと,こと,こと,名詞 普通名詞 一般 * * *,139,12
男,男,男,名詞 普通名詞 一般 * * *,138,8
私,私,私,代名詞 * * * * *,134,12
ソニア,ソニア,ソニア,名詞 固有名詞 人名 一般 * *,113,12
たち,たち,達,接尾辞 名詞的 一般 * * *,110,12
ああ,ああ,ああ,感動詞 一般 * * * *,108,12
うう,うう,うう,感動詞 一般 * * * *,108,12
の,の,の,助詞 終助詞 * * * *,103,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,102,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,100,12
か,か,か,助詞 副助詞 * * * *,98,12
妖怪,妖怪,妖怪,名詞 普通名詞 一般 * * *,96,7
この,この,此の,連体詞 * * * * *,94,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,92,12
何,何,何,代名詞 * * * * *,92,12
あなた,あなた,貴方,代名詞 * * * * *,88,10
そう,そう,そう,副詞 * * * * *,87,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,87,12
わ,わ,わ,助詞 終助詞 * * * *,82,12
僕,僕,僕,代名詞 * * * * *,81,11
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,77,12
お前,お前,御前,代名詞 * * * * *,72,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,70,12
ダリル,ダリル,ダリル,名詞 固有名詞 人名 一般 * *,70,8
ハラジー,ハラジー,ハラジー,名詞 普通名詞 一般 * * *,70,4
その,その,其の,連体詞 * * * * *,68,12
それ,それ,其れ,代名詞 * * * * *,67,12
あの,あの,彼の,連体詞 * * * * *,66,12
から,から,から,助詞 接続助詞 * * * *,64,12
君,君,君,代名詞 * * * * *,63,10
ベガ,ベガ,ベガ,名詞 普通名詞 一般 * * *,63,3
ヴァル,ヴァル,VAL,名詞 固有名詞 一般 * * *,63,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,62,12
なん,なん,何,代名詞 * * * * *,62,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,62,11
どう,どう,どう,副詞 * * * * *,60,12
これ,これ,此れ,代名詞 * * * * *,60,11
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,59,11
俺,俺,俺,代名詞 * * * * *,58,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,58,10
から,から,から,助詞 格助詞 * * * *,56,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,55,12
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,53,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,53,10
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,51,12
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,49,10
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,48,12
ん,ん,んっ,感動詞 一般 * * * *,48,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,47,12
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,47,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,47,12
ハア,ハア,はあ,感動詞 一般 * * * *,47,10
ば,ば,ば,助詞 接続助詞 * * * *,46,12
フェルト,フェルト,フェルト,名詞 普通名詞 一般 * * *,46,6
ん,ん,ん,助詞 格助詞 * * * *,45,12
人,人,人,名詞 普通名詞 一般 * * *,45,10
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,44,11
あっ,あっ,あっ,感動詞 一般 * * * *,43,12
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,43,9
誰,誰,誰,代名詞 * * * * *,42,12
女,女,女,名詞 普通名詞 一般 * * *,42,10
ら,ら,等,接尾辞 名詞的 一般 * * *,42,9
影男,影男,影男,名詞 固有名詞 人名 名 * *,42,5
犬,犬,犬,名詞 普通名詞 一般 * * *,42,1
