Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,873,12
の,の,の,助詞 格助詞 * * * *,849,12
を,を,を,助詞 格助詞 * * * *,753,12
に,に,に,助詞 格助詞 * * * *,661,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,632,12
て,て,て,助詞 接続助詞 * * * *,532,12
が,が,が,助詞 格助詞 * * * *,460,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,368,12
と,と,と,助詞 格助詞 * * * *,358,12
も,も,も,助詞 係助詞 * * * *,269,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,259,12
か,か,か,助詞 終助詞 * * * *,240,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,219,12
の,の,の,助詞 準体助詞 * * * *,218,12
で,で,で,助詞 格助詞 * * * *,213,12
な,な,な,助詞 終助詞 * * * *,189,12
闘士,闘士,闘士,名詞 普通名詞 一般 * * *,189,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,186,12
お前,お前,御前,代名詞 * * * * *,180,12
聖,聖,聖,接頭辞 * * * * *,161,12
星矢,星矢,星矢,名詞 固有名詞 人名 名 * *,156,12
アテナ,アテナ,アテナ,名詞 固有名詞 人名 一般 * *,142,12
オレ,オレ,俺,代名詞 * * * * *,138,12
よ,よ,よ,助詞 終助詞 * * * *,136,12
ん,ん,の,助詞 準体助詞 * * * *,136,12
この,この,此の,連体詞 * * * * *,117,12
こと,こと,こと,名詞 普通名詞 一般 * * *,113,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,113,12
何,何,何,代名詞 * * * * *,110,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,109,11
私,私,私,代名詞 * * * * *,108,11
聖衣,聖衣,聖衣,名詞 普通名詞 一般 * * *,107,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,101,12
たち,たち,達,接尾辞 名詞的 一般 * * *,97,12
これ,これ,此れ,代名詞 * * * * *,93,12
沙織,沙織,沙織,名詞 固有名詞 人名 名 * *,89,10
か,か,か,助詞 副助詞 * * * *,80,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,79,11
どう,どう,どう,副詞 * * * * *,78,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,74,12
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,70,12
黄金,黄金,黄金,名詞 普通名詞 一般 * * *,70,11
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,67,12
ペガサス,ペガサス,ペガサス,名詞 固有名詞 一般 * * *,67,12
が,が,が,助詞 接続助詞 * * * *,65,12
ば,ば,ば,助詞 接続助詞 * * * *,65,11
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,63,10
それ,それ,其れ,代名詞 * * * * *,62,12
その,その,其の,連体詞 * * * * *,62,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,60,12
から,から,から,助詞 格助詞 * * * *,59,12
ら,ら,等,接尾辞 名詞的 一般 * * *,59,12
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,58,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,58,12
ここ,ここ,此処,代名詞 * * * * *,56,12
人類,人類,人類,名詞 普通名詞 一般 * * *,55,12
