Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
・,・,・,補助記号 一般 * * * *,212,2
は,は,は,助詞 係助詞 * * * *,160,2
の,の,の,助詞 格助詞 * * * *,156,2
〜,〜,〜,補助記号 一般 * * * *,142,2
に,に,に,助詞 格助詞 * * * *,128,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,90,2
て,て,て,助詞 接続助詞 * * * *,88,2
を,を,を,助詞 格助詞 * * * *,76,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,70,2
が,が,が,助詞 格助詞 * * * *,68,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,62,2
よ,よ,よ,助詞 終助詞 * * * *,56,2
な,な,な,助詞 終助詞 * * * *,52,2
ホーク,ホーク,ホーク,名詞 普通名詞 一般 * * *,50,2
と,と,と,助詞 格助詞 * * * *,48,2
も,も,も,助詞 係助詞 * * * *,48,2
か,か,か,助詞 終助詞 * * * *,46,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,46,2
で,で,で,助詞 格助詞 * * * *,46,2
俺,俺,俺,代名詞 * * * * *,44,2
ん,ん,の,助詞 準体助詞 * * * *,40,2
様,様,様,接尾辞 名詞的 一般 * * *,32,2
とことこ,とことこ,とことこ,副詞 * * * * *,30,2
とんとこ,とんとこ,とんとこ,副詞 * * * * *,30,2
の,の,の,助詞 準体助詞 * * * *,30,2
お前,お前,御前,代名詞 * * * * *,28,2
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,26,2
メリオダス,メリオダス,メリオダス,名詞 普通名詞 一般 * * *,26,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,24,2
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,22,2
それ,それ,其れ,代名詞 * * * * *,22,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,22,2
なん,なん,何,代名詞 * * * * *,22,2
何,何,何,代名詞 * * * * *,22,2
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,20,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,20,2
ね,ね,ね,助詞 終助詞 * * * *,20,2
もう,もう,もう,副詞 * * * * *,20,2
ポーク,ポーク,ポーク,名詞 普通名詞 一般 * * *,20,2
えっ,えっ,えっ,感動詞 一般 * * * *,18,2
から,から,から,助詞 接続助詞 * * * *,18,2
こと,こと,こと,名詞 普通名詞 一般 * * *,18,2
か,か,か,助詞 副助詞 * * * *,16,2
豚,豚,豚,名詞 普通名詞 一般 * * *,16,2
この,この,此の,連体詞 * * * * *,14,2
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,14,2
そう,そう,そう,副詞 * * * * *,14,2
その,その,其の,連体詞 * * * * *,14,2
ねぇ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,14,2
の,の,の,助詞 終助詞 * * * *,14,2
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,14,2
ん,ん,んっ,感動詞 一般 * * * *,14,2
団長,団長,団長,名詞 普通名詞 一般 * * *,14,2
私,私,私,代名詞 * * * * *,14,2
あっ,あっ,あっ,感動詞 一般 * * * *,12,2
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,12,2
ぇ,ぇ,ぇ,補助記号 一般 * * * *,12,2
ここ,ここ,此処,代名詞 * * * * *,12,2
って,って,って,助詞 副助詞 * * * *,12,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,12,2
ねぇ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,12,2
残飯,残飯,残飯,名詞 普通名詞 一般 * * *,12,2
ああ,ああ,ああ,感動詞 一般 * * * *,10,2
が,が,が,助詞 接続助詞 * * * *,10,2
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,10,2
たち,たち,達,接尾辞 名詞的 一般 * * *,10,2
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,10,2
どこ,どこ,どこ,代名詞 * * * * *,10,2
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,10,2
へ,へ,へ,助詞 格助詞 * * * *,10,2
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,10,2
エリザベス,エリザベス,エリザベス,名詞 固有名詞 人名 一般 * *,10,2
バン,バン,バン,名詞 普通名詞 一般 * * *,10,2
プコッ,プコッ,プコッ,名詞 普通名詞 一般 * * *,10,2
二人,二人,二人,名詞 普通名詞 副詞可能 * * *,10,2
今,今,今,名詞 普通名詞 副詞可能 * * *,10,2
大罪,大罪,大罪,名詞 普通名詞 一般 * * *,10,2
女神,女神,女神,名詞 普通名詞 一般 * * *,10,2
終わっ,終わる,終わる,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,10,2
者,者,者,名詞 普通名詞 一般 * * *,10,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,8,2
う〜ん,う〜ん,ううん,感動詞 一般 * * * *,8,2
これ,これ,此れ,代名詞 * * * * *,8,2
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,8,2
し,し,し,助詞 接続助詞 * * * *,8,2
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,8,2
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,8,2
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,8,2
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,8,2
にゃ,にゃ,に,助詞 格助詞 * * * *,8,2
ねぇ,ねぇ,ね,助詞 終助詞 * * * *,8,2
はい,はい,はい,感動詞 一般 * * * *,8,2
はっ,はっ,はっ,感動詞 一般 * * * *,8,2
ふふっ,ふふっ,ふふ,感動詞 一般 * * * *,8,2
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,8,2
わけ,わけ,訳,名詞 普通名詞 一般 * * *,8,2
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,8,2
ギルサンダー,ギルサンダー,ギルサンダー,名詞 普通名詞 一般 * * *,8,2
ズル,ズル,狡,名詞 普通名詞 サ変可能 * * *,8,2
ディアンヌ,ディアンヌ,ディアンヌ,名詞 固有名詞 人名 一般 * *,8,2
七,七,7,名詞 数詞 * * * *,8,2
人,人,人,名詞 普通名詞 一般 * * *,8,2
僕,僕,僕,代名詞 * * * * *,8,2
坊,坊,坊,接尾辞 名詞的 一般 * * *,8,2
捕まえ,捕まえる,捕まえる,動詞 一般 * * 下一段-ア行 連用形-一般,8,2
旅,旅,旅,名詞 普通名詞 サ変可能 * * *,8,2
族,族,族,接尾辞 名詞的 一般 * * *,8,2
聞い,聞く,聞く,動詞 一般 * * 五段-カ行 連用形-イ音便,8,2
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,8,2
騎士,騎士,騎士,名詞 普通名詞 一般 * * *,8,2
あ,あ,あっ,感動詞 一般 * * * *,6,2
あと,あと,後,名詞 普通名詞 副詞可能 * * *,6,2
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,6,2
あんな,あんな,あんな,連体詞 * * * * *,6,2
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,6,2
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,6,2
うち,うち,内,名詞 普通名詞 副詞可能 * * *,6,2
うっ,うっ,うう,感動詞 一般 * * * *,6,2
うん,うん,うん,感動詞 一般 * * * *,6,2
おう,おう,おお,感動詞 一般 * * * *,6,2
から,から,から,助詞 格助詞 * * * *,6,2
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,6,2
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,6,2
