Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
を,を,を,助詞 格助詞 * * * *,332,1
の,の,の,助詞 格助詞 * * * *,320,1
は,は,は,助詞 係助詞 * * * *,267,1
て,て,て,助詞 接続助詞 * * * *,264,1
に,に,に,助詞 格助詞 * * * *,257,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,249,1
〜,〜,〜,補助記号 一般 * * * *,208,1
が,が,が,助詞 格助詞 * * * *,190,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,148,1
も,も,も,助詞 係助詞 * * * *,119,1
と,と,と,助詞 格助詞 * * * *,114,1
か,か,か,助詞 終助詞 * * * *,113,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,104,1
の,の,の,助詞 準体助詞 * * * *,88,1
神,神,神,名詞 普通名詞 一般 * * *,85,1
様,様,様,接尾辞 名詞的 一般 * * *,84,1
な,な,な,助詞 終助詞 * * * *,82,1
よ,よ,よ,助詞 終助詞 * * * *,80,1
で,で,で,助詞 格助詞 * * * *,69,1
シシ,シシ,獅子,名詞 普通名詞 一般 * * *,64,1
達,達,達,接尾辞 名詞的 一般 * * *,62,1
人間,人間,人間,名詞 普通名詞 一般 * * *,54,1
ん,ん,の,助詞 準体助詞 * * * *,53,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,51,1
エボシ,エボシ,烏帽子,名詞 普通名詞 一般 * * *,51,1
この,この,此の,連体詞 * * * * *,50,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,48,1
お,お,御,接頭辞 * * * * *,46,1
森,森,森,名詞 普通名詞 一般 * * *,45,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,42,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,42,1
私,私,私,代名詞 * * * * *,42,1
へ,へ,へ,助詞 格助詞 * * * *,41,1
ここ,ここ,此処,代名詞 * * * * *,38,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,37,1
何,何,何,代名詞 * * * * *,37,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,33,1
お前,お前,御前,代名詞 * * * * *,32,1
か,か,か,助詞 副助詞 * * * *,32,1
山犬,山犬,山犬,名詞 普通名詞 一般 * * *,32,1
その,その,其の,連体詞 * * * * *,30,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,29,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,29,1
から,から,から,助詞 接続助詞 * * * *,28,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,28,1
サン,サン,サン,名詞 普通名詞 一般 * * *,28,1
アシタカ,アシタカ,アシタカ,名詞 固有名詞 人名 一般 * *,27,1
から,から,から,助詞 格助詞 * * * *,25,1
こと,こと,こと,名詞 普通名詞 一般 * * *,25,1
ぬ,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-一般,25,1
ら,ら,等,接尾辞 名詞的 一般 * * *,25,1
女,女,女,名詞 普通名詞 一般 * * *,24,1
あっ,あっ,あっ,感動詞 一般 * * * *,23,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,23,1
そなた,そなた,其方,代名詞 * * * * *,23,1
ば,ば,ば,助詞 接続助詞 * * * *,23,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,23,1
あの,あの,彼の,連体詞 * * * * *,22,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,22,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,22,1
タタラ,タタラ,タタラ,名詞 普通名詞 一般 * * *,22,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,21,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,21,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,21,1
トキ,トキ,鴇,名詞 普通名詞 一般 * * *,21,1
人,人,人,名詞 普通名詞 一般 * * *,21,1
猪,猪,猪,名詞 普通名詞 一般 * * *,21,1
男,男,男,名詞 普通名詞 一般 * * *,21,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,20,1
さ,さ,さ,助詞 終助詞 * * * *,20,1
どう,どう,どう,副詞 * * * * *,20,1
タタリ,タタリ,祟り,名詞 普通名詞 一般 * * *,20,1
気,気,気,名詞 普通名詞 一般 * * *,20,1
が,が,が,助詞 接続助詞 * * * *,19,1
もののけ,もののけ,物の怪,名詞 普通名詞 一般 * * *,19,1
乙,乙,乙,名詞 普通名詞 一般 * * *,19,1
事主,事主,事主,名詞 普通名詞 一般 * * *,19,1
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,19,1
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,18,1
ね,ね,ね,助詞 終助詞 * * * *,18,1
そう,そう,そう,副詞 * * * * *,17,1
それ,それ,其れ,代名詞 * * * * *,17,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,17,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,17,1
姫,姫,姫,名詞 普通名詞 一般 * * *,17,1
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,16,1
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,16,1
六,六,6,名詞 数詞 * * * *,16,1
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,16,1
力,力,力,名詞 普通名詞 一般 * * *,16,1
奴,奴,奴,名詞 普通名詞 一般 * * *,16,1
甲,甲,甲,名詞 普通名詞 一般 * * *,16,1
首,首,首,名詞 普通名詞 一般 * * *,16,1
だけ,だけ,だけ,助詞 副助詞 * * * *,15,1
ども,ども,共,接尾辞 名詞的 一般 * * *,15,1
