Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,224,1
の,の,の,助詞 格助詞 * * * *,160,1
と,と,と,助詞 格助詞 * * * *,99,1
を,を,を,助詞 格助詞 * * * *,99,1
て,て,て,助詞 接続助詞 * * * *,89,1
私,私,私,代名詞 * * * * *,80,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,78,1
に,に,に,助詞 格助詞 * * * *,76,1
が,が,が,助詞 格助詞 * * * *,68,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,56,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,46,1
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,46,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,43,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,40,1
あなた,あなた,貴方,代名詞 * * * * *,36,1
で,で,で,助詞 格助詞 * * * *,34,1
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,32,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,28,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,25,1
また,また,又,接続詞 * * * * *,25,1
彼,彼,彼,代名詞 * * * * *,24,1
すべて,すべて,全て,名詞 普通名詞 副詞可能 * * *,23,1
も,も,も,助詞 係助詞 * * * *,23,1
それ,それ,其れ,代名詞 * * * * *,21,1
や,や,や,助詞 副助詞 * * * *,20,1
持っ,持つ,持つ,動詞 一般 * * 五段-タ行 連用形-促音便,20,1
こと,こと,こと,名詞 普通名詞 一般 * * *,19,1
ため,ため,為,名詞 普通名詞 副詞可能 * * *,19,1
か,か,か,助詞 副助詞 * * * *,17,1
何,何,何,代名詞 * * * * *,16,1
よう,よう,様,形状詞 助動詞語幹 * * * *,15,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,15,1
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,15,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,13,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,13,1
・,・,・,補助記号 一般 * * * *,13,1
月,月,月,名詞 普通名詞 助数詞可能 * * *,13,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,12,1
今,今,今,名詞 普通名詞 副詞可能 * * *,12,1
写真,写真,写真,名詞 普通名詞 一般 * * *,12,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,10,1
ここ,ここ,此処,代名詞 * * * * *,10,1
そこ,そこ,其処,代名詞 * * * * *,10,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,10,1
ら,ら,等,接尾辞 名詞的 一般 * * *,10,1
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,9,1
その,その,其の,連体詞 * * * * *,9,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,9,1
手,手,手,名詞 普通名詞 助数詞可能 * * *,9,1
私たち,私たち,私達,名詞 普通名詞 一般 * * *,9,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,9,1
非常,非常,非常,形状詞 一般 * * * *,9,1
この,この,此の,連体詞 * * * * *,8,1
これ,これ,此れ,代名詞 * * * * *,8,1
そして,そして,そして,接続詞 * * * * *,8,1
家,家,家,名詞 普通名詞 一般 * * *,8,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,7,1
ば,ば,ば,助詞 接続助詞 * * * *,7,1
中国,中国,中国,名詞 固有名詞 地名 国 * *,7,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,6,1
