Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1369,12
は,は,は,助詞 係助詞 * * * *,1192,12
に,に,に,助詞 格助詞 * * * *,1013,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,977,12
て,て,て,助詞 接続助詞 * * * *,940,12
を,を,を,助詞 格助詞 * * * *,898,12
が,が,が,助詞 格助詞 * * * *,820,12
大介,大介,大介,名詞 固有名詞 人名 名 * *,616,12
と,と,と,助詞 格助詞 * * * *,607,12
も,も,も,助詞 係助詞 * * * *,513,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,478,12
で,で,で,助詞 格助詞 * * * *,461,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,440,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,424,12
よ,よ,よ,助詞 終助詞 * * * *,396,12
か,か,か,助詞 終助詞 * * * *,389,12
の,の,の,助詞 準体助詞 * * * *,389,12
ん,ん,の,助詞 準体助詞 * * * *,380,12
ミロ,ミロ,ミロ,名詞 固有名詞 地名 一般 * *,348,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,304,12
って,って,って,助詞 副助詞 * * * *,294,12
慶作,慶作,慶作,名詞 固有名詞 人名 名 * *,287,12
俺,俺,俺,代名詞 * * * * *,286,12
こと,こと,こと,名詞 普通名詞 一般 * * *,270,12
か,か,か,助詞 副助詞 * * * *,259,12
何,何,何,代名詞 * * * * *,253,12
な,な,な,助詞 終助詞 * * * *,235,12
たち,たち,達,接尾辞 名詞的 一般 * * *,233,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,233,12
ガイ,ガイ,ガイ,名詞 普通名詞 一般 * * *,222,12
あっ,あっ,あっ,感動詞 一般 * * * *,219,12
マリマリ,マリマリ,マリマリ,名詞 普通名詞 一般 * * *,197,12
お前,お前,御前,代名詞 * * * * *,187,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,185,12
音,音,音,名詞 普通名詞 一般 * * *,182,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,175,12
それ,それ,其れ,代名詞 * * * * *,174,12
ルウ,ルウ,ルー,名詞 普通名詞 一般 * * *,174,12
そう,そう,そう,副詞 * * * * *,165,12
私,私,私,代名詞 * * * * *,163,12
泉海,泉海,泉海,名詞 固有名詞 人名 姓 * *,153,11
〜,〜,〜,補助記号 一般 * * * *,152,12
から,から,から,助詞 接続助詞 * * * *,149,12
この,この,此の,連体詞 * * * * *,146,12
･,・,・,補助記号 一般 * * * *,139,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,135,12
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,134,12
から,から,から,助詞 格助詞 * * * *,130,12
ああ,ああ,ああ,感動詞 一般 * * * *,129,12
どう,どう,どう,副詞 * * * * *,129,12
パペット,パペット,パペット,名詞 普通名詞 一般 * * *,126,12
ニコラス,ニコラス,ニコラス,名詞 固有名詞 人名 一般 * *,125,8
ね,ね,ね,助詞 終助詞 * * * *,124,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,124,12
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,119,11
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,116,12
あの,あの,彼の,連体詞 * * * * *,115,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,110,12
これ,これ,此れ,代名詞 * * * * *,108,12
リヴィ,リヴィ,リビ,名詞 固有名詞 人名 一般 * *,105,12
だけ,だけ,だけ,助詞 副助詞 * * * *,102,12
