Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,24437,365
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,23599,365
の,の,の,助詞 格助詞 * * * *,22542,365
よ,よ,よ,助詞 終助詞 * * * *,21262,365
に,に,に,助詞 格助詞 * * * *,21170,365
は,は,は,助詞 係助詞 * * * *,18602,365
が,が,が,助詞 格助詞 * * * *,15809,365
も,も,も,助詞 係助詞 * * * *,15133,365
ね,ね,ね,助詞 終助詞 * * * *,14794,365
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,12433,365
ん,ん,の,助詞 準体助詞 * * * *,11985,365
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,11640,365
で,で,で,助詞 格助詞 * * * *,11013,365
を,を,を,助詞 格助詞 * * * *,10655,365
お,お,御,接頭辞 * * * * *,9715,365
まる子,まる子,まる子,名詞 固有名詞 人名 名 * *,9106,365
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,9095,365
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,8994,365
か,か,か,助詞 終助詞 * * * *,8742,365
と,と,と,助詞 格助詞 * * * *,8499,365
の,の,の,助詞 準体助詞 * * * *,8344,365
って,って,って,助詞 副助詞 * * * *,7253,365
何,何,何,代名詞 * * * * *,6760,365
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,6562,365
さん,さん,さん,接尾辞 名詞的 一般 * * *,6533,365
あっ,あっ,あっ,感動詞 一般 * * * *,6492,365
〜,〜,〜,補助記号 一般 * * * *,6202,365
そう,そう,そう,副詞 * * * * *,6173,365
な,な,な,助詞 終助詞 * * * *,5857,365
えっ,えっ,えっ,感動詞 一般 * * * *,5650,365
うん,うん,うん,感動詞 一般 * * * *,5542,365
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,5415,365
から,から,から,助詞 接続助詞 * * * *,5234,365
か,か,か,助詞 副助詞 * * * *,5185,365
こと,こと,こと,名詞 普通名詞 一般 * * *,4936,365
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,4514,365
の,の,の,助詞 終助詞 * * * *,4318,365
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,4145,365
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,4108,365
どう,どう,どう,副詞 * * * * *,3686,364
・,・,・,補助記号 一般 * * * *,3557,324
それ,それ,其れ,代名詞 * * * * *,3537,365
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,3423,365
じい,じい,爺,名詞 普通名詞 一般 * * *,3345,344
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,3313,352
これ,これ,此れ,代名詞 * * * * *,3238,365
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,3200,365
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,3040,365
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,3028,346
ああ,ああ,ああ,感動詞 一般 * * * *,2897,357
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,2873,365
たまえ,たまう,給う,動詞 非自立可能 * * 五段-ワア行 命令形,2857,342
もう,もう,もう,副詞 * * * * *,2831,365
友蔵,友蔵,友蔵,名詞 固有名詞 人名 名 * *,2812,351
君,君,君,接尾辞 名詞的 一般 * * *,2696,300
ブー,ブー,ブー,名詞 固有名詞 人名 一般 * *,2603,148
けど,けど,けれど,助詞 接続助詞 * * * *,2572,364
お母さん,お母さん,お母さん,名詞 普通名詞 一般 * * *,2569,332
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,2507,361
んっ,んっ,んっ,感動詞 一般 * * * *,2467,253
ちょっと,ちょっと,一寸,副詞 * * * * *,2383,362
から,から,から,助詞 格助詞 * * * *,2354,362
わ,わ,わ,助詞 終助詞 * * * *,2332,358
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,2194,361
私,私,私,代名詞 * * * * *,2187,344
この,この,此の,連体詞 * * * * *,2171,357
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,2148,362
すみれ,すみれ,すみれ,名詞 固有名詞 人名 名 * *,2126,351
さ,さ,さ,助詞 終助詞 * * * *,2119,353
あたし,あたし,私,代名詞 * * * * *,2114,352
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,2085,363
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,2083,364
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,2007,359
藤木,藤木,藤木,名詞 固有名詞 人名 姓 * *,1950,145
ば,ば,ば,助詞 接続助詞 * * * *,1930,360
なんて,なんて,なんて,助詞 副助詞 * * * *,1928,362
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,1927,357
はい,はい,はい,感動詞 一般 * * * *,1911,347
さきこ,さきこ,さきこ,名詞 固有名詞 人名 名 * *,1883,326
まる,まる,丸,名詞 普通名詞 一般 * * *,1878,339
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,1787,355
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,1771,357
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,1665,349
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,1658,363
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,1615,357
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,1614,351
そんな,そんな,そんな,連体詞 * * * * *,1578,358
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,1569,365
で,で,で,助詞 接続助詞 * * * *,1568,359
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,1564,335
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,1558,341
い,い,い,助詞 終助詞 * * * *,1552,338
あ〜,あ〜,ああ,感動詞 一般 * * * *,1535,315
あんた,あんた,貴方,代名詞 * * * * *,1520,341
ヒロシ,ヒロシ,ヒロシ,名詞 固有名詞 人名 名 * *,1514,274
お姉ちゃん,お姉ちゃん,お姉ちゃん,名詞 普通名詞 一般 * * *,1509,290
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,1508,334
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,1496,343
と,と,と,助詞 接続助詞 * * * *,1472,350
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,1438,353
し,し,し,助詞 接続助詞 * * * *,1425,343
のう,のう,のう,助詞 終助詞 * * * *,1425,306
ホント,ホント,本当,名詞 普通名詞 一般 * * *,1412,353
人,人,人,名詞 普通名詞 一般 * * *,1393,319
お父さん,お父さん,お父さん,名詞 普通名詞 一般 * * *,1384,252
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,1374,344
じゃあ,じゃあ,で,接続詞 * * * * *,1367,348
うっ,うっ,うう,感動詞 一般 * * * *,1346,309
ハァ,ハァ,はあ,感動詞 一般 * * * *,1338,260
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,1300,350
ばあ,ばあ,婆,名詞 普通名詞 一般 * * *,1300,280
食べ,食べる,食べる,動詞 一般 * * 下一段-バ行 連用形-一般,1289,280
あの,あの,彼の,連体詞 * * * * *,1284,324
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,1272,334
今,今,今,名詞 普通名詞 副詞可能 * * *,1270,350
たち,たち,達,接尾辞 名詞的 一般 * * *,1246,307
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,1241,341
うち,うち,内,名詞 普通名詞 副詞可能 * * *,1233,326
だけ,だけ,だけ,助詞 副助詞 * * * *,1222,341
俺,俺,俺,代名詞 * * * * *,1220,282
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,1212,348
丸尾,丸尾,丸尾,名詞 固有名詞 人名 姓 * *,1199,129
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,1196,337
その,その,其の,連体詞 * * * * *,1186,347
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,1120,335
まで,まで,まで,助詞 副助詞 * * * *,1114,338
さくら,さくら,桜,名詞 普通名詞 一般 * * *,1094,286
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,1071,319
花輪,花輪,花輪,名詞 普通名詞 一般 * * *,1054,153
わし,わし,わし,代名詞 * * * * *,1049,276
よう,よう,様,形状詞 助動詞語幹 * * * *,1045,325
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,1035,316
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,1033,307
永沢,永沢,永沢,名詞 固有名詞 人名 姓 * *,1032,129
駄目,駄目,駄目,名詞 普通名詞 形状詞可能 * * *,1028,306
う〜ん,う〜ん,ううん,感動詞 一般 * * * *,1023,312
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,1022,293
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,1014,331
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,1013,309
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,1005,318
やっぱり,やっぱり,矢張り,副詞 * * * * *,1002,330
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,998,309
気,気,気,名詞 普通名詞 一般 * * *,996,319
そう,そう,そう,形状詞 助動詞語幹 * * * *,994,329
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,993,329
一同,一同,一同,名詞 普通名詞 一般 * * *,990,252
こんな,こんな,こんな,連体詞 * * * * *,939,317
さくら,さくら,さくら,名詞 固有名詞 人名 名 * *,933,256
山田,山田,山田,名詞 固有名詞 人名 姓 * *,929,117
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,914,301
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,907,309
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,902,313
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,896,320
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,893,306
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,892,296
しよう,する,為る,動詞 非自立可能 * * サ行変格 意志推量形,886,315
僕,僕,僕,代名詞 * * * * *,871,216
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,867,321
ねえ,ねえ,ね,助詞 終助詞 * * * *,867,258
じゃ,じゃ,で,助詞 格助詞 * * * *,856,309
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,850,300
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,846,288
じゃん,じゃん,じゃん,助詞 終助詞 * * * *,831,306
太郎,太郎,太郎,名詞 固有名詞 人名 名 * *,830,136
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,821,311
方,方,方,名詞 普通名詞 一般 * * *,821,305
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,820,297
ここ,ここ,此処,代名詞 * * * * *,818,290
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,815,300
人,人,人,接尾辞 名詞的 一般 * * *,814,220
笑っ,笑う,笑う,動詞 一般 * * 五段-ワア行 連用形-促音便,810,356
音,音,音,名詞 普通名詞 一般 * * *,805,260
小杉,小杉,小杉,名詞 固有名詞 地名 一般 * *,805,124
とき,とき,時,名詞 普通名詞 副詞可能 * * *,801,291
まあ,まあ,まあ,副詞 * * * * *,797,306
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,779,295
また,また,又,接続詞 * * * * *,778,314
野口,野口,野口,名詞 固有名詞 人名 姓 * *,778,115
ハマジ,ハマジ,ハマジ,名詞 普通名詞 一般 * * *,774,99
こう,こう,こう,副詞 * * * * *,761,308
もし,もし,若し,副詞 * * * * *,760,279
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,757,305
どこ,どこ,どこ,代名詞 * * * * *,757,288
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,751,285
まだ,まだ,未だ,副詞 * * * * *,745,302
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,745,239
たま,たま,たま,名詞 固有名詞 地名 一般 * *,744,257
もの,もの,物,名詞 普通名詞 サ変可能 * * *,740,269
まじ,まじ,まじ,形状詞 一般 * * * *,736,99
円,円,円,名詞 普通名詞 助数詞可能 * * *,728,107
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,726,363
買っ,買う,買う,動詞 一般 * * 五段-ワア行 連用形-促音便,722,220
さま,さま,様,接尾辞 名詞的 一般 * * *,721,358
え〜,え〜,えー,感動詞 フィラー * * * *,720,266
あした,あした,明日,名詞 普通名詞 副詞可能 * * *,717,251
持っ,持つ,持つ,動詞 一般 * * 五段-タ行 連用形-促音便,712,277
サザエ,サザエ,栄螺,名詞 普通名詞 一般 * * *,705,353
ねえ,ねえ,姉,名詞 普通名詞 一般 * * *,693,280
もん,もん,もん,名詞 普通名詞 一般 * * *,691,293
あら,あら,あら,感動詞 一般 * * * *,673,279
もん,もん,もの,助詞 終助詞 * * * *,671,287
み,みる,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,666,262
が,が,が,助詞 接続助詞 * * * *,656,275
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,647,282
ほら,ほら,ほら,感動詞 一般 * * * *,642,271
前,前,前,名詞 普通名詞 副詞可能 * * *,639,283
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,639,280
誰,誰,誰,代名詞 * * * * *,634,258
母,母,母,名詞 普通名詞 一般 * * *,627,188
翌日,翌日,翌日,名詞 普通名詞 副詞可能 * * *,624,293
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,624,255
ちゃんと,ちゃんと,ちゃんと,副詞 * * * * *,619,277
もらっ,もらう,貰う,動詞 非自立可能 * * 五段-ワア行 連用形-促音便,618,268
あれ,あれ,あれ,感動詞 一般 * * * *,615,278
アハハハ,アハハハ,あはは,感動詞 一般 * * * *,614,235
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,612,224
昨日,昨日,昨日,名詞 普通名詞 副詞可能 * * *,606,240
いや,いや,否,感動詞 一般 * * * *,599,263
いつも,いつも,いつも,名詞 普通名詞 副詞可能 * * *,594,253
や,や,や,助詞 副助詞 * * * *,589,267
ちゃう,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 終止形-一般,582,274
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,581,244
わけ,わけ,訳,名詞 普通名詞 一般 * * *,579,280
おいしい,おいしい,美味しい,形容詞 一般 * * 形容詞 終止形-一般,572,205
子,子,子,名詞 普通名詞 一般 * * *,571,230
より,より,より,助詞 格助詞 * * * *,566,288
言わ,言う,言う,動詞 一般 * * 五段-ワア行 未然形-一般,566,265
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,565,242
みぎわ,みぎわ,汀,名詞 普通名詞 一般 * * *,564,79
ん,ん,んっ,感動詞 一般 * * * *,560,243
