Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2620,25
は,は,は,助詞 係助詞 * * * *,1948,25
に,に,に,助詞 格助詞 * * * *,1748,25
て,て,て,助詞 接続助詞 * * * *,1602,25
を,を,を,助詞 格助詞 * * * *,1478,25
が,が,が,助詞 格助詞 * * * *,1324,25
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1160,25
と,と,と,助詞 格助詞 * * * *,936,25
で,で,で,助詞 格助詞 * * * *,863,25
も,も,も,助詞 係助詞 * * * *,795,25
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,740,25
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,612,25
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,577,25
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,531,25
ん,ん,の,助詞 準体助詞 * * * *,515,25
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,505,25
の,の,の,助詞 準体助詞 * * * *,465,25
よ,よ,よ,助詞 終助詞 * * * *,452,25
か,か,か,助詞 終助詞 * * * *,449,25
ね,ね,ね,助詞 終助詞 * * * *,393,25
事,事,事,名詞 普通名詞 一般 * * *,370,25
〜,〜,〜,補助記号 一般 * * * *,360,25
これ,これ,此れ,代名詞 * * * * *,280,25
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,280,24
お,お,御,接頭辞 * * * * *,275,25
な,な,な,助詞 終助詞 * * * *,273,25
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,273,25
日本,日本,日本,名詞 固有名詞 地名 国 * *,270,25
何,何,何,代名詞 * * * * *,269,25
って,って,って,助詞 副助詞 * * * *,269,24
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,243,25
この,この,此の,連体詞 * * * * *,241,25
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,234,25
料理,料理,料理,名詞 普通名詞 サ変可能 * * *,227,25
から,から,から,助詞 格助詞 * * * *,215,25
もの,もの,物,名詞 普通名詞 サ変可能 * * *,203,25
それ,それ,其れ,代名詞 * * * * *,196,25
から,から,から,助詞 接続助詞 * * * *,187,25
か,か,か,助詞 副助詞 * * * *,186,25
マイケル,マイケル,マイケル,名詞 固有名詞 人名 一般 * *,184,25
