Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,4097,59
は,は,は,助詞 係助詞 * * * *,3253,59
に,に,に,助詞 格助詞 * * * *,2910,59
を,を,を,助詞 格助詞 * * * *,2537,59
て,て,て,助詞 接続助詞 * * * *,2307,59
が,が,が,助詞 格助詞 * * * *,2108,59
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2082,59
で,で,で,助詞 格助詞 * * * *,1671,59
と,と,と,助詞 格助詞 * * * *,1407,59
も,も,も,助詞 係助詞 * * * *,1401,59
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,1213,58
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1181,59
の,の,の,助詞 準体助詞 * * * *,1136,59
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1126,59
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1107,59
よ,よ,よ,助詞 終助詞 * * * *,964,59
・,・,・,補助記号 一般 * * * *,959,59
か,か,か,助詞 終助詞 * * * *,847,59
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,759,59
ん,ん,の,助詞 準体助詞 * * * *,731,59
ね,ね,ね,助詞 終助詞 * * * *,666,59
俺,俺,俺,代名詞 * * * * *,642,58
ガード,ガード,ガード,名詞 普通名詞 サ変可能 * * *,607,59
こと,こと,こと,名詞 普通名詞 一般 * * *,605,59
僕,僕,僕,代名詞 * * * * *,535,53
君,君,君,接尾辞 名詞的 一般 * * *,518,52
この,この,此の,連体詞 * * * * *,507,59
な,な,な,助詞 終助詞 * * * *,506,57
アイチ,アイチ,アイチ,名詞 固有名詞 地名 一般 * *,506,52
って,って,って,助詞 副助詞 * * * *,503,57
ファイト,ファイト,ファイト,名詞 普通名詞 一般 * * *,501,58
アタック,アタック,アタック,名詞 普通名詞 サ変可能 * * *,492,58
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,487,58
〜,〜,〜,補助記号 一般 * * * *,456,55
お前,お前,御前,代名詞 * * * * *,454,54
これ,これ,此れ,代名詞 * * * * *,430,59
さん,さん,さん,接尾辞 名詞的 一般 * * *,428,53
ライド,ライド,ライド,名詞 普通名詞 一般 * * *,399,59
それ,それ,其れ,代名詞 * * * * *,394,58
そう,そう,そう,副詞 * * * * *,377,59
私,私,私,代名詞 * * * * *,353,47
パワー,パワー,パワー,名詞 普通名詞 一般 * * *,350,56
コーリン,コーリン,コーリン,名詞 固有名詞 一般 * * *,334,39
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,331,58
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,327,59
櫂,櫂,櫂,名詞 普通名詞 一般 * * *,315,37
から,から,から,助詞 格助詞 * * * *,314,59
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,313,57
ヴァン,ヴァン,バン,名詞 普通名詞 一般 * * *,308,57
から,から,から,助詞 接続助詞 * * * *,307,56
様,様,様,接尾辞 名詞的 一般 * * *,303,42
トリガー,トリガー,トリガー,名詞 普通名詞 一般 * * *,302,53
その,その,其の,連体詞 * * * * *,301,59
ブレイク,ブレイク,ブレーク,名詞 普通名詞 一般 * * *,301,55
か,か,か,助詞 副助詞 * * * *,292,57
力,力,力,名詞 普通名詞 一般 * * *,292,52
たち,たち,達,接尾辞 名詞的 一般 * * *,290,58
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,289,54
リバース,リバース,リバース,名詞 普通名詞 サ変可能 * * *,286,35
何,何,何,代名詞 * * * * *,281,55
どう,どう,どう,副詞 * * * * *,265,58
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,263,52
ば,ば,ば,助詞 接続助詞 * * * *,262,58
コール,コール,コール,名詞 普通名詞 サ変可能 * * *,262,56
レン,レン,レン,名詞 固有名詞 人名 一般 * *,262,25
ナオキ,ナオキ,ナオキ,名詞 固有名詞 人名 名 * *,257,44
カード,カード,カード,名詞 普通名詞 一般 * * *,256,44
キミ,キミ,君,代名詞 * * * * *,256,44
そして,そして,そして,接続詞 * * * * *,251,58
なん,なん,何,代名詞 * * * * *,249,52
スキル,スキル,スキル,名詞 普通名詞 一般 * * *,241,55
プラス,プラス,プラス,名詞 普通名詞 サ変可能 * * *,241,49
ドラゴン,ドラゴン,ドラゴン,名詞 普通名詞 一般 * * *,238,41
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,232,54
ダメージ,ダメージ,ダメージ,名詞 普通名詞 一般 * * *,225,51
カムイ,カムイ,カムイ,名詞 普通名詞 一般 * * *,222,33
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,221,56
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,217,53
枚,枚,枚,接尾辞 名詞的 助数詞 * * *,217,53
先導,先導,先導,名詞 普通名詞 サ変可能 * * *,217,41
もう,もう,もう,副詞 * * * * *,216,56
チェック,チェック,チェック,名詞 普通名詞 サ変可能 * * *,215,52
