Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1454,10
は,は,は,助詞 係助詞 * * * *,1077,10
に,に,に,助詞 格助詞 * * * *,974,10
て,て,て,助詞 接続助詞 * * * *,888,10
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,818,10
を,を,を,助詞 格助詞 * * * *,810,10
が,が,が,助詞 格助詞 * * * *,805,10
と,と,と,助詞 格助詞 * * * *,510,10
も,も,も,助詞 係助詞 * * * *,506,10
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,450,10
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,381,10
で,で,で,助詞 格助詞 * * * *,373,10
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,364,10
何,何,何,代名詞 * * * * *,323,10
の,の,の,助詞 準体助詞 * * * *,311,10
か,か,か,助詞 終助詞 * * * *,291,10
ん,ん,の,助詞 準体助詞 * * * *,286,10
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,284,10
よ,よ,よ,助詞 終助詞 * * * *,264,10
って,って,って,助詞 副助詞 * * * *,239,10
アマタ,アマタ,アマタ,名詞 普通名詞 一般 * * *,216,10
俺,俺,俺,代名詞 * * * * *,209,10
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,206,10
あっ,あっ,あっ,感動詞 一般 * * * *,199,9
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,195,10
さん,さん,さん,接尾辞 名詞的 一般 * * *,194,10
こと,こと,こと,名詞 普通名詞 一般 * * *,187,10
な,な,な,助詞 終助詞 * * * *,183,10
私,私,私,代名詞 * * * * *,176,10
・,・,・,補助記号 一般 * * * *,172,10
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,170,10
か,か,か,助詞 副助詞 * * * *,167,10
ね,ね,ね,助詞 終助詞 * * * *,161,10
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,156,10
ミコノ,ミコノ,ミコノ,名詞 普通名詞 一般 * * *,150,10
この,この,此の,連体詞 * * * * *,149,10
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,138,10
から,から,から,助詞 接続助詞 * * * *,137,10
そう,そう,そう,副詞 * * * * *,135,10
アクエリオン,アクエリオン,アクエリオン,名詞 普通名詞 一般 * * *,134,9
それ,それ,其れ,代名詞 * * * * *,129,10
ああ,ああ,ああ,感動詞 一般 * * * *,126,10
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,124,10
お前,お前,御前,代名詞 * * * * *,120,10
これ,これ,此れ,代名詞 * * * * *,120,10
ミコノ,ミコノ,ミコノ,名詞 固有名詞 人名 一般 * *,119,10
その,その,其の,連体詞 * * * * *,115,10
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,113,10
から,から,から,助詞 格助詞 * * * *,112,10
合体,合体,合体,名詞 普通名詞 サ変可能 * * *,108,10
あの,あの,彼の,連体詞 * * * * *,104,10
の,の,の,助詞 終助詞 * * * *,101,10
エレメント,エレメント,エレメント,名詞 普通名詞 一般 * * *,100,10
穴,穴,穴,名詞 普通名詞 一般 * * *,100,10
君,君,君,接尾辞 名詞的 一般 * * *,100,9
どう,どう,どう,副詞 * * * * *,98,10
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,91,10
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,87,10
ば,ば,ば,助詞 接続助詞 * * * *,87,10
もう,もう,もう,副詞 * * * * *,84,10
ゼシカ,ゼシカ,ゼシカ,名詞 普通名詞 一般 * * *,84,10
力,力,力,名詞 普通名詞 一般 * * *,82,10
たち,たち,達,接尾辞 名詞的 一般 * * *,80,10
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,80,10
えっ,えっ,えっ,感動詞 一般 * * * *,79,9
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,79,9
で,で,で,助詞 接続助詞 * * * *,78,10
ジン,ジン,ジン,名詞 普通名詞 一般 * * *,76,7
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,74,10
アンディ,アンディ,アンディー,名詞 固有名詞 人名 一般 * *,73,10
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,70,10
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,70,10
けど,けど,けれど,助詞 接続助詞 * * * *,69,10
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,69,10
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,68,10
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,67,10
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,67,10
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,67,9
だけ,だけ,だけ,助詞 副助詞 * * * *,66,10
シュレード,シュレード,シュレード,名詞 普通名詞 一般 * * *,65,9
あなた,あなた,貴方,代名詞 * * * * *,64,10
今,今,今,名詞 普通名詞 副詞可能 * * *,64,9
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,63,10
なんて,なんて,なんて,助詞 副助詞 * * * *,63,10
カイエン,カイエン,カイエン,名詞 普通名詞 一般 * * *,63,10
まで,まで,まで,助詞 副助詞 * * * *,62,10
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,61,10
そんな,そんな,そんな,連体詞 * * * * *,59,10
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,59,10
人,人,人,名詞 普通名詞 一般 * * *,59,10
よう,よう,様,形状詞 助動詞語幹 * * * *,58,10
ここ,ここ,此処,代名詞 * * * * *,56,10
こんな,こんな,こんな,連体詞 * * * * *,56,10
