Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2160,24
は,は,は,助詞 係助詞 * * * *,1749,24
に,に,に,助詞 格助詞 * * * *,1657,24
て,て,て,助詞 接続助詞 * * * *,1367,24
を,を,を,助詞 格助詞 * * * *,1261,24
〜,〜,〜,補助記号 一般 * * * *,1120,24
が,が,が,助詞 格助詞 * * * *,1091,24
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1070,24
よ,よ,よ,助詞 終助詞 * * * *,765,24
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,702,24
で,で,で,助詞 格助詞 * * * *,688,24
と,と,と,助詞 格助詞 * * * *,681,24
も,も,も,助詞 係助詞 * * * *,680,24
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,629,24
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,598,24
か,か,か,助詞 終助詞 * * * *,548,24
キッド,キッド,キッド,名詞 普通名詞 一般 * * *,532,24
の,の,の,助詞 準体助詞 * * * *,493,24
ん,ん,の,助詞 準体助詞 * * * *,473,24
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,435,24
な,な,な,助詞 終助詞 * * * *,372,24
って,って,って,助詞 副助詞 * * * *,334,24
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,322,24
ね,ね,ね,助詞 終助詞 * * * *,299,24
この,この,此の,連体詞 * * * * *,297,24
怪盗,怪盗,怪盗,名詞 普通名詞 一般 * * *,290,24
お,お,御,接頭辞 * * * * *,283,24
快斗,快斗,快斗,名詞 固有名詞 人名 名 * *,254,24
か,か,か,助詞 副助詞 * * * *,234,24
こと,こと,こと,名詞 普通名詞 一般 * * *,234,24
それ,それ,其れ,代名詞 * * * * *,225,24
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,215,24
から,から,から,助詞 接続助詞 * * * *,214,24
から,から,から,助詞 格助詞 * * * *,206,24
その,その,其の,連体詞 * * * * *,205,24
私,私,私,代名詞 * * * * *,202,23
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,197,24
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,187,24
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,185,24
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,182,24
何,何,何,代名詞 * * * * *,182,24
これ,これ,此れ,代名詞 * * * * *,175,24
青子,青子,青子,名詞 固有名詞 人名 名 * *,172,24
警部,警部,警部,名詞 普通名詞 一般 * * *,166,22
わ,わ,わ,助詞 終助詞 * * * *,161,22
どう,どう,どう,副詞 * * * * *,158,24
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,158,24
あの,あの,彼の,連体詞 * * * * *,155,23
奴,奴,奴,名詞 普通名詞 一般 * * *,153,24
俺,俺,俺,代名詞 * * * * *,152,24
そう,そう,そう,副詞 * * * * *,150,24
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,150,24
ば,ば,ば,助詞 接続助詞 * * * *,147,24
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,143,24
中森,中森,中森,名詞 固有名詞 人名 姓 * *,135,24
さん,さん,さん,接尾辞 名詞的 一般 * * *,134,22
が,が,が,助詞 接続助詞 * * * *,132,23
・,・,・,補助記号 一般 * * * *,130,23
宝石,宝石,宝石,名詞 普通名詞 一般 * * *,122,18
あなた,あなた,貴方,代名詞 * * * * *,118,21
なん,なん,何,代名詞 * * * * *,115,23
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,113,24
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,113,23
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,111,22
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,109,24
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,109,23
よう,よう,様,形状詞 助動詞語幹 * * * *,106,21
もう,もう,もう,副詞 * * * * *,102,24
だけ,だけ,だけ,助詞 副助詞 * * * *,102,23
あっ,あっ,あっ,感動詞 一般 * * * *,100,24
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,100,24
の,の,の,助詞 終助詞 * * * *,97,23
前,前,前,名詞 普通名詞 副詞可能 * * *,97,21
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,93,23
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,93,22
マジック,マジック,マジック,名詞 普通名詞 一般 * * *,92,18
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,91,23
ん,ん,んっ,感動詞 一般 * * * *,90,23
えっ,えっ,えっ,感動詞 一般 * * * *,90,22
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,89,24
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,89,23
声,声,声,名詞 普通名詞 一般 * * *,89,19
ああ,ああ,ああ,感動詞 一般 * * * *,88,22
で,で,で,助詞 接続助詞 * * * *,86,24
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,86,23
一,一,1,名詞 数詞 * * * *,86,21
紅子,紅子,紅子,名詞 固有名詞 人名 名 * *,86,8
よ〜,よ〜,よ,助詞 終助詞 * * * *,85,22
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,84,23
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,82,16
と,と,と,助詞 接続助詞 * * * *,81,23
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,81,22
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,80,22
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,80,20
誰,誰,誰,代名詞 * * * * *,79,23
まで,まで,まで,助詞 副助詞 * * * *,77,22
予告,予告,予告,名詞 普通名詞 サ変可能 * * *,76,21
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,75,21
時,時,時,名詞 普通名詞 副詞可能 * * *,74,21
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,73,22
今,今,今,名詞 普通名詞 副詞可能 * * *,72,23
し,し,し,助詞 接続助詞 * * * *,72,22
お前,お前,御前,代名詞 * * * * *,71,22
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,71,22
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,71,20
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,71,20
けど,けど,けれど,助詞 接続助詞 * * * *,70,24
そんな,そんな,そんな,連体詞 * * * * *,70,21
ら,ら,等,接尾辞 名詞的 一般 * * *,68,21
彼,彼,彼,代名詞 * * * * *,68,20
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,67,23
人,人,人,名詞 普通名詞 一般 * * *,67,19
盗,盗,盗,接尾辞 名詞的 一般 * * *,67,13
ちょっと,ちょっと,一寸,副詞 * * * * *,66,22
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,66,21
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,65,22
しかし,しかし,然し,接続詞 * * * * *,65,21
君,君,君,接尾辞 名詞的 一般 * * *,65,18
警官,警官,警官,名詞 普通名詞 一般 * * *,65,18
わけ,わけ,訳,名詞 普通名詞 一般 * * *,64,22
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,64,21
おい,おい,おい,感動詞 一般 * * * *,64,21
白馬,白馬,白馬,名詞 固有名詞 地名 一般 * *,64,6
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,63,23
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,63,22
様,様,様,接尾辞 名詞的 一般 * * *,63,20
ここ,ここ,此処,代名詞 * * * * *,62,22
音,音,音,名詞 普通名詞 一般 * * *,62,19
どこ,どこ,どこ,代名詞 * * * * *,61,22
なに,なに,何,代名詞 * * * * *,61,19
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,60,22
はい,はい,はい,感動詞 一般 * * * *,59,22
へ,へ,へ,助詞 格助詞 * * * *,59,21
マジシャン,マジシャン,マジシャン,名詞 普通名詞 一般 * * *,58,18
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,57,20
まあ,まあ,まあ,副詞 * * * * *,57,19
あ,あ,あっ,感動詞 一般 * * * *,56,20
っ,っ,っ,補助記号 一般 * * * *,55,18
寺井,寺井,寺井,名詞 固有名詞 地名 一般 * *,55,16
あ,あ,あー,感動詞 フィラー * * * *,53,19
中,中,中,名詞 普通名詞 副詞可能 * * *,53,17
君,君,君,代名詞 * * * * *,53,13
え,え,えっ,感動詞 一般 * * * *,52,21
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,52,17
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,51,22
なぁ,なぁ,な,助詞 終助詞 * * * *,51,17
ね〜,ね〜,ね,助詞 終助詞 * * * *,50,16
コナン,コナン,コナン,名詞 固有名詞 人名 一般 * *,50,16
年,年,年,名詞 普通名詞 助数詞可能 * * *,50,16
黒羽,黒羽,黒羽,名詞 固有名詞 人名 姓 * *,49,24
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,49,20
ちゃま,ちゃま,様,接尾辞 名詞的 一般 * * *,49,14
じゃあ,じゃあ,で,接続詞 * * * * *,48,20
たち,たち,達,接尾辞 名詞的 一般 * * *,48,20
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,48,18
お父さん,お父さん,お父さん,名詞 普通名詞 一般 * * *,48,17
い,い,い,助詞 終助詞 * * * *,48,16
ショー,ショー,ショー,名詞 普通名詞 一般 * * *,48,16
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,47,21
フッ,フッ,ふっ,副詞 * * * * *,47,19
もの,もの,物,名詞 普通名詞 サ変可能 * * *,47,18
ジイ,ジイ,爺,名詞 普通名詞 一般 * * *,47,17
ため,ため,為,名詞 普通名詞 副詞可能 * * *,46,18
なんて,なんて,なんて,助詞 副助詞 * * * *,45,20
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,45,17
ぼっ,ぼっ,ぼっ,名詞 普通名詞 一般 * * *,45,12
機,機,機,名詞 普通名詞 助数詞可能 * * *,45,6
こんな,こんな,こんな,連体詞 * * * * *,44,21
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,44,19
手,手,手,名詞 普通名詞 助数詞可能 * * *,44,19
