Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,262,1
の,の,の,助詞 格助詞 * * * *,240,1
は,は,は,助詞 係助詞 * * * *,225,1
に,に,に,助詞 格助詞 * * * *,203,1
て,て,て,助詞 接続助詞 * * * *,196,1
〜,〜,〜,補助記号 一般 * * * *,192,1
を,を,を,助詞 格助詞 * * * *,153,1
が,が,が,助詞 格助詞 * * * *,141,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,129,1
よ,よ,よ,助詞 終助詞 * * * *,119,1
も,も,も,助詞 係助詞 * * * *,111,1
な,な,な,助詞 終助詞 * * * *,95,1
ん,ん,の,助詞 準体助詞 * * * *,93,1
で,で,で,助詞 格助詞 * * * *,90,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,83,1
か,か,か,助詞 終助詞 * * * *,80,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,77,1
の,の,の,助詞 準体助詞 * * * *,67,1
と,と,と,助詞 格助詞 * * * *,61,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,57,1
から,から,から,助詞 接続助詞 * * * *,54,1
って,って,って,助詞 副助詞 * * * *,52,1
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,48,1
ブタ,ブタ,豚,名詞 普通名詞 一般 * * *,48,1
ね,ね,ね,助詞 終助詞 * * * *,47,1
ポルコ,ポルコ,ポルコ,名詞 普通名詞 一般 * * *,47,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,44,1
俺,俺,俺,代名詞 * * * * *,40,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,36,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,36,1
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,36,1
野郎,野郎,野郎,名詞 普通名詞 一般 * * *,36,1
か,か,か,助詞 副助詞 * * * *,33,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,31,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,31,1
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,31,1
の,の,の,助詞 終助詞 * * * *,30,1
何,何,何,代名詞 * * * * *,30,1
私,私,私,代名詞 * * * * *,30,1
そう,そう,そう,副詞 * * * * *,29,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,28,1
お,お,御,接頭辞 * * * * *,27,1
っ,っ,っ,補助記号 一般 * * * *,27,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,27,1
わ,わ,わ,助詞 終助詞 * * * *,27,1
フィオ,フィオ,フィオ,名詞 普通名詞 一般 * * *,27,1
この,この,此の,連体詞 * * * * *,26,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,25,1
やがっ,やがる,やがる,助動詞 * * * 五段-ラ行 連用形-促音便,25,1
その,その,其の,連体詞 * * * * *,24,1
で,で,で,助詞 接続助詞 * * * *,24,1
ジーナ,ジーナ,ジーナ,名詞 固有名詞 人名 一般 * *,24,1
艇,艇,艇,名詞 普通名詞 助数詞可能 * * *,24,1
が,が,が,助詞 接続助詞 * * * *,23,1
それ,それ,其れ,代名詞 * * * * *,23,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,21,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,21,1
カーチス,カーチス,カーチス,名詞 固有名詞 人名 一般 * *,21,1
飛行艇,飛行艇,飛行艇,名詞 普通名詞 一般 * * *,21,1
だけ,だけ,だけ,助詞 副助詞 * * * *,20,1
へ,へ,へ,助詞 格助詞 * * * *,20,1
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,19,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,19,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,18,1
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,18,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,18,1
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,18,1
話,話,話,名詞 普通名詞 サ変可能 * * *,18,1
さ,さ,さ,助詞 終助詞 * * * *,17,1
どう,どう,どう,副詞 * * * * *,17,1
ら,ら,等,接尾辞 名詞的 一般 * * *,17,1
今,今,今,名詞 普通名詞 副詞可能 * * *,17,1
達,達,達,接尾辞 名詞的 一般 * * *,17,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,16,1
から,から,から,助詞 格助詞 * * * *,16,1
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,16,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,16,1
なぁ,なぁ,な,助詞 終助詞 * * * *,16,1
こと,こと,こと,名詞 普通名詞 一般 * * *,15,1
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,15,1
と,と,と,助詞 接続助詞 * * * *,15,1
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,15,1
時,時,時,名詞 普通名詞 副詞可能 * * *,15,1
気,気,気,名詞 普通名詞 一般 * * *,15,1
空賊,空賊,空賊,名詞 普通名詞 一般 * * *,15,1
お前,お前,御前,代名詞 * * * * *,14,1
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,14,1
てめぇ,てめぇ,てまえ,代名詞 * * * * *,14,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,14,1
乗り,乗り,乗り,接尾辞 名詞的 一般 * * *,14,1
人,人,人,名詞 普通名詞 一般 * * *,14,1
あなた,あなた,貴方,代名詞 * * * * *,13,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,13,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,13,1
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,13,1
女,女,女,名詞 普通名詞 一般 * * *,13,1
あの,あの,彼の,連体詞 * * * * *,12,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,12,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,12,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,12,1
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,12,1
もう,もう,もう,副詞 * * * * *,12,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,12,1
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,12,1
前,前,前,名詞 普通名詞 副詞可能 * * *,12,1
来る,来る,来る,動詞 非自立可能 * * カ行変格 終止形-一般,12,1
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,12,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,11,1
きれい,きれい,奇麗,形状詞 一般 * * * *,11,1
まで,まで,まで,助詞 副助詞 * * * *,11,1
アメリカ,アメリカ,アメリカ,名詞 固有名詞 地名 国 * *,11,1
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,11,1
ボス,ボス,ボス,名詞 普通名詞 一般 * * *,11,1
・,・,・,補助記号 一般 * * * *,11,1
これ,これ,此れ,代名詞 * * * * *,10,1
また,また,又,接続詞 * * * * *,10,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,10,1
より,より,より,助詞 格助詞 * * * *,10,1
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,10,1
飛ん,飛ぶ,飛ぶ,動詞 一般 * * 五段-バ行 連用形-撥音便,10,1
い,い,い,助詞 終助詞 * * * *,9,1
ここ,ここ,此処,代名詞 * * * * *,9,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,9,1
ちまっ,ちまう,ちまう,助動詞 * * * 五段-ワア行 連用形-促音便,9,1
どこ,どこ,どこ,代名詞 * * * * *,9,1
やら,やる,遣る,動詞 非自立可能 * * 五段-ラ行 未然形-一般,9,1
アドリア,アドリア,アドリア,名詞 固有名詞 地名 一般 * *,9,1
エンジン,エンジン,エンジン,名詞 普通名詞 一般 * * *,9,1
仕事,仕事,仕事,名詞 普通名詞 サ変可能 * * *,9,1
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,9,1
戦争,戦争,戦争,名詞 普通名詞 サ変可能 * * *,9,1
男,男,男,名詞 普通名詞 一般 * * *,9,1
聞い,聞く,聞く,動詞 一般 * * 五段-カ行 連用形-イ音便,9,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,9,1
けど,けど,けれど,助詞 接続助詞 * * * *,8,1
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,8,1
しか,しか,しか,助詞 副助詞 * * * *,8,1
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,8,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,8,1
ね〜,ね〜,ね,助詞 終助詞 * * * *,8,1
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,8,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,8,1
