Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,237,1
て,て,て,助詞 接続助詞 * * * *,228,1
に,に,に,助詞 格助詞 * * * *,199,1
は,は,は,助詞 係助詞 * * * *,169,1
が,が,が,助詞 格助詞 * * * *,162,1
も,も,も,助詞 係助詞 * * * *,154,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,133,1
よ,よ,よ,助詞 終助詞 * * * *,133,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,129,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,117,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,114,1
おっこ,おっこ,おっこ,名詞 固有名詞 人名 名 * *,108,1
はぁ,はぁ,はあ,感動詞 一般 * * * *,108,1
お,お,御,接頭辞 * * * * *,103,1
を,を,を,助詞 格助詞 * * * *,103,1
ね,ね,ね,助詞 終助詞 * * * *,97,1
ん,ん,の,助詞 準体助詞 * * * *,92,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,87,1
で,で,で,助詞 格助詞 * * * *,86,1
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,79,1
と,と,と,助詞 格助詞 * * * *,74,1
か,か,か,助詞 終助詞 * * * *,72,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,72,1
あっ,あっ,あっ,感動詞 一般 * * * *,67,1
って,って,って,助詞 副助詞 * * * *,67,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,66,1
の,の,の,助詞 準体助詞 * * * *,65,1
ん,ん,んっ,感動詞 一般 * * * *,64,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,53,1
わ,わ,わ,助詞 終助詞 * * * *,46,1
の,の,の,助詞 終助詞 * * * *,45,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,44,1
うっ,うっ,うう,感動詞 一般 * * * *,41,1
何,何,何,代名詞 * * * * *,41,1
こと,こと,こと,名詞 普通名詞 一般 * * *,40,1
えっ,えっ,えっ,感動詞 一般 * * * *,39,1
か,か,か,助詞 副助詞 * * * *,37,1
から,から,から,助詞 接続助詞 * * * *,36,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,36,1
あたし,あたし,私,代名詞 * * * * *,34,1
から,から,から,助詞 格助詞 * * * *,34,1
で,で,で,助詞 接続助詞 * * * *,31,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,31,1
屋,屋,屋,接尾辞 名詞的 一般 * * *,31,1
なぁ,なぁ,な,助詞 終助詞 * * * *,30,1
ウリ,ウリ,ウリ,名詞 普通名詞 一般 * * *,30,1
坊,坊,坊,接尾辞 名詞的 一般 * * *,30,1
あ,あ,あっ,感動詞 一般 * * * *,29,1
そう,そう,そう,副詞 * * * * *,29,1
はい,はい,はい,感動詞 一般 * * * *,29,1
もう,もう,もう,副詞 * * * * *,29,1
春,春,春,名詞 普通名詞 副詞可能 * * *,29,1
若おかみ,若おかみ,若女将,名詞 普通名詞 一般 * * *,29,1
どう,どう,どう,副詞 * * * * *,28,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,28,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,28,1
あぁ,あぁ,ああ,感動詞 一般 * * * *,27,1
あなた,あなた,貴方,代名詞 * * * * *,27,1
うん,うん,うん,感動詞 一般 * * * *,27,1
それ,それ,其れ,代名詞 * * * * *,27,1
っ,っ,っ,補助記号 一般 * * * *,27,1
わたし,わたし,私,代名詞 * * * * *,27,1
おかみ,おかみ,女将,名詞 普通名詞 一般 * * *,26,1
ここ,ここ,此処,代名詞 * * * * *,26,1
はっ,はっ,はっ,感動詞 一般 * * * *,26,1
旅館,旅館,旅館,名詞 普通名詞 一般 * * *,26,1
様,様,様,接尾辞 名詞的 一般 * * *,25,1
〜,〜,〜,補助記号 一般 * * * *,23,1
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,23,1
湯,湯,湯,名詞 普通名詞 一般 * * *,23,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,22,1
なんて,なんて,なんて,助詞 副助詞 * * * *,22,1
峰子,峰子,峰子,名詞 固有名詞 人名 名 * *,22,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,21,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,21,1
な,な,な,助詞 終助詞 * * * *,21,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,21,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,21,1
真月,真月,真月,名詞 固有名詞 人名 姓 * *,21,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,20,1
おれ,おれ,俺,代名詞 * * * * *,20,1
お父さん,お父さん,お父さん,名詞 普通名詞 一般 * * *,20,1
この,この,此の,連体詞 * * * * *,20,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,20,1
ばあ,ばあ,婆,名詞 普通名詞 一般 * * *,20,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,20,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,19,1
んっ,んっ,んっ,感動詞 一般 * * * *,19,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,18,1
うぅ,うぅ,うう,感動詞 一般 * * * *,18,1
お母さん,お母さん,お母さん,名詞 普通名詞 一般 * * *,18,1
これ,これ,此れ,代名詞 * * * * *,18,1
ご,ご,御,接頭辞 * * * * *,18,1
その,その,其の,連体詞 * * * * *,18,1
い,い,い,助詞 終助詞 * * * *,17,1
お客様,お客様,御客様,名詞 普通名詞 一般 * * *,17,1
けど,けど,けれど,助詞 接続助詞 * * * *,17,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,17,1
ふり,ふり,振り,名詞 普通名詞 助数詞可能 * * *,17,1
水,水,水,名詞 普通名詞 一般 * * *,17,1
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,16,1
ちょっと,ちょっと,一寸,副詞 * * * * *,16,1
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,16,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,16,1
わぁ,わぁ,わあ,感動詞 一般 * * * *,16,1
ピン,ピン,ぴん,副詞 * * * * *,16,1
温泉,温泉,温泉,名詞 普通名詞 一般 * * *,16,1
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,16,1
し,し,し,助詞 接続助詞 * * * *,15,1
だけ,だけ,だけ,助詞 副助詞 * * * *,15,1
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,15,1
ー,ー,ー,補助記号 一般 * * * *,15,1
美陽,美陽,美陽,名詞 固有名詞 人名 名 * *,15,1
花,花,花,名詞 普通名詞 一般 * * *,15,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,15,1
関,関,関,名詞 固有名詞 人名 姓 * *,15,1
あの,あの,彼の,連体詞 * * * * *,14,1
ねぇ,ねぇ,ね,助詞 終助詞 * * * *,14,1
ぼく,ぼく,僕,代名詞 * * * * *,14,1
よう,よう,様,形状詞 助動詞語幹 * * * *,14,1
んー,んー,んー,感動詞 フィラー * * * *,14,1
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,14,1
領,領,領,接尾辞 名詞的 一般 * * *,14,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,13,1
うち,うち,内,名詞 普通名詞 副詞可能 * * *,13,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,13,1
くん,くん,君,接尾辞 名詞的 一般 * * *,13,1
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,13,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,13,1
なん,なん,何,代名詞 * * * * *,13,1
ふふっ,ふふっ,ふふ,感動詞 一般 * * * *,13,1
また,また,又,接続詞 * * * * *,13,1
ユーレイ,ユーレイ,幽霊,名詞 普通名詞 一般 * * *,13,1
気,気,気,名詞 普通名詞 一般 * * *,13,1
う,う,うう,感動詞 一般 * * * *,12,1
ううん,ううん,ううん,感動詞 一般 * * * *,12,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,12,1
だれ,だれ,誰,代名詞 * * * * *,12,1
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,12,1
時,時,時,名詞 普通名詞 副詞可能 * * *,12,1
食べ,食べる,食べる,動詞 一般 * * 下一段-バ行 連用形-一般,12,1
あかね,あかね,茜,名詞 普通名詞 一般 * * *,11,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,11,1
いらっしゃい,いらっしゃる,いらっしゃる,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,11,1
こんな,こんな,こんな,連体詞 * * * * *,11,1
ふふ,ふふ,ふふ,感動詞 一般 * * * *,11,1
や,や,や,助詞 副助詞 * * * *,11,1
プリン,プリン,プリン,名詞 普通名詞 一般 * * *,11,1
う,う,うー,感動詞 フィラー * * * *,10,1
うわぁ,うわぁ,うわ,感動詞 一般 * * * *,10,1
お客,お客,御客,名詞 普通名詞 一般 * * *,10,1
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,10,1
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,10,1
はぁっ,はぁっ,はあ,感動詞 一般 * * * *,10,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,10,1
や,や,や,助詞 終助詞 * * * *,10,1
よく,よく,良く,副詞 * * * * *,10,1
ジャンプ,ジャンプ,ジャンプ,名詞 普通名詞 サ変可能 * * *,10,1
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,10,1
康,康,康,名詞 固有名詞 人名 名 * *,10,1
物,物,物,名詞 普通名詞 サ変可能 * * *,10,1
言わ,言う,言う,動詞 一般 * * 五段-ワア行 未然形-一般,10,1
えぇ,えぇ,ええ,感動詞 一般 * * * *,9,1
おまえ,おまえ,御前,代名詞 * * * * *,9,1
かしら,かしら,かしら,助詞 終助詞 * * * *,9,1
そんな,そんな,そんな,連体詞 * * * * *,9,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,9,1
ば,ば,ば,助詞 接続助詞 * * * *,9,1
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,9,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,9,1
グローリー,グローリー,グローリー,名詞 普通名詞 一般 * * *,9,1
人,人,人,名詞 普通名詞 一般 * * *,9,1
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,9,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,9,1
鈴,鈴,鈴,名詞 普通名詞 一般 * * *,9,1
あれ,あれ,あれ,感動詞 一般 * * * *,8,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,8,1
お嬢,お嬢,御嬢,名詞 普通名詞 一般 * * *,8,1
こちら,こちら,此方,代名詞 * * * * *,8,1
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,8,1
