Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,773,13
の,の,の,助詞 格助詞 * * * *,765,13
侑,侑,侑,名詞 固有名詞 人名 名 * *,700,13
は,は,は,助詞 係助詞 * * * *,688,13
に,に,に,助詞 格助詞 * * * *,615,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,566,13
も,も,も,助詞 係助詞 * * * *,525,13
と,と,と,助詞 格助詞 * * * *,504,13
が,が,が,助詞 格助詞 * * * *,446,13
燈子,燈子,燈子,名詞 固有名詞 人名 名 * *,439,13
で,で,で,助詞 格助詞 * * * *,392,13
か,か,か,助詞 終助詞 * * * *,371,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,364,13
って,って,って,助詞 副助詞 * * * *,361,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,347,13
ん,ん,の,助詞 準体助詞 * * * *,337,13
よ,よ,よ,助詞 終助詞 * * * *,331,13
ね,ね,ね,助詞 終助詞 * * * *,304,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,301,13
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,299,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,295,13
私,私,私,代名詞 * * * * *,284,13
の,の,の,助詞 準体助詞 * * * *,280,13
を,を,を,助詞 格助詞 * * * *,277,13
か,か,か,助詞 副助詞 * * * *,239,13
から,から,から,助詞 接続助詞 * * * *,231,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,226,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,225,13
けど,けど,けれど,助詞 接続助詞 * * * *,215,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,204,13
こと,こと,こと,名詞 普通名詞 一般 * * *,201,13
沙弥香,沙弥香,沙弥香,名詞 固有名詞 人名 名 * *,201,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,198,13
あ,あ,あっ,感動詞 一般 * * * *,197,13
何,何,何,代名詞 * * * * *,159,13
そう,そう,そう,副詞 * * * * *,156,13
な,な,な,助詞 終助詞 * * * *,152,13
の,の,の,助詞 終助詞 * * * *,149,13
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,140,13
さん,さん,さん,接尾辞 名詞的 一般 * * *,135,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,135,13
生徒会,生徒会,生徒会,名詞 普通名詞 一般 * * *,134,13
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,128,13
それ,それ,其れ,代名詞 * * * * *,124,13
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,122,13
好き,好き,好き,形状詞 一般 * * * *,121,12
どう,どう,どう,副詞 * * * * *,114,13
こよみ,こよみ,暦,名詞 普通名詞 一般 * * *,108,13
し,し,し,助詞 接続助詞 * * * *,107,13
七海,七海,七海,名詞 固有名詞 人名 姓 * *,107,13
人,人,人,名詞 普通名詞 一般 * * *,100,13
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,99,13
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,99,13
槙,槙,槙,名詞 固有名詞 人名 姓 * *,99,12
小糸,小糸,小糸,名詞 固有名詞 人名 一般 * *,96,13
お,お,御,接頭辞 * * * * *,94,13
はい,はい,はい,感動詞 一般 * * * *,89,13
〜,〜,〜,補助記号 一般 * * * *,86,13
うん,うん,うん,感動詞 一般 * * * *,85,13
から,から,から,助詞 格助詞 * * * *,85,13
朱里,朱里,朱里,名詞 固有名詞 人名 名 * *,82,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,81,13
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,78,13
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,77,13
その,その,其の,連体詞 * * * * *,76,12
ん,ん,んっ,感動詞 一般 * * * *,74,13
ハァ,ハァ,はあ,感動詞 一般 * * * *,74,10
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,73,13
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,73,13
もう,もう,もう,副詞 * * * * *,72,13
えっ,えっ,えっ,感動詞 一般 * * * *,70,13
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,66,13
自分,自分,自分,名詞 普通名詞 一般 * * *,66,12
･,・,・,補助記号 一般 * * * *,66,11
誰,誰,誰,代名詞 * * * * *,65,13
