Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,718,13
て,て,て,助詞 接続助詞 * * * *,654,13
の,の,の,助詞 格助詞 * * * *,645,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,619,13
に,に,に,助詞 格助詞 * * * *,601,13
を,を,を,助詞 格助詞 * * * *,548,13
と,と,と,助詞 格助詞 * * * *,521,13
が,が,が,助詞 格助詞 * * * *,512,13
の,の,の,助詞 準体助詞 * * * *,357,13
も,も,も,助詞 係助詞 * * * *,343,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,320,13
ん,ん,の,助詞 準体助詞 * * * *,297,13
か,か,か,助詞 終助詞 * * * *,259,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,258,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,244,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,237,13
よ,よ,よ,助詞 終助詞 * * * *,232,13
で,で,で,助詞 格助詞 * * * *,228,13
こと,こと,こと,名詞 普通名詞 一般 * * *,225,13
か,か,か,助詞 副助詞 * * * *,208,13
って,って,って,助詞 副助詞 * * * *,207,13
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,184,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,157,13
木,木,木,名詞 普通名詞 一般 * * *,157,13
から,から,から,助詞 接続助詞 * * * *,154,13
な,な,な,助詞 終助詞 * * * *,154,13
それ,それ,其れ,代名詞 * * * * *,146,13
ね,ね,ね,助詞 終助詞 * * * *,129,13
僕,僕,僕,代名詞 * * * * *,127,13
そう,そう,そう,副詞 * * * * *,120,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,113,13
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,113,12
その,その,其の,連体詞 * * * * *,109,13
けれど,けれど,けれど,助詞 接続助詞 * * * *,105,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,105,13
ば,ば,ば,助詞 接続助詞 * * * *,104,13
々,々,々,補助記号 一般 * * * *,95,13
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,95,13
阿良,阿良,阿良,名詞 固有名詞 人名 姓 * *,95,13
もの,もの,物,名詞 普通名詞 サ変可能 * * *,91,13
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,87,13
どう,どう,どう,副詞 * * * * *,87,13
何,何,何,代名詞 * * * * *,84,13
この,この,此の,連体詞 * * * * *,83,13
なん,なん,何,代名詞 * * * * *,82,12
お前,お前,御前,代名詞 * * * * *,82,9
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,77,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,76,13
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,74,13
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,72,13
よう,よう,様,形状詞 助動詞語幹 * * * *,72,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,69,13
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,67,13
話,話,話,名詞 普通名詞 サ変可能 * * *,66,13
から,から,から,助詞 格助詞 * * * *,62,13
まあ,まあ,まあ,副詞 * * * * *,62,13
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,60,13
い,い,いー,感動詞 フィラー * * * *,60,4
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,60,4
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,59,13
怪異,怪異,怪異,名詞 普通名詞 形状詞可能 * * *,57,11
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,56,13
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,55,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,55,13
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,54,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,54,11
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,53,13
くん,くん,君,接尾辞 名詞的 一般 * * *,51,9
私,私,私,代名詞 * * * * *,50,8
けど,けど,けれど,助詞 接続助詞 * * * *,46,12
わけ,わけ,訳,名詞 普通名詞 一般 * * *,46,12
鬼,鬼,鬼,名詞 普通名詞 一般 * * *,46,4
そんな,そんな,そんな,連体詞 * * * * *,45,13
いや,いや,否,感動詞 一般 * * * *,43,12
火,火,火,名詞 普通名詞 一般 * * *,42,4
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,41,13
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,41,11
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,39,13
だけ,だけ,だけ,助詞 副助詞 * * * *,37,13
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,37,12
これ,これ,此れ,代名詞 * * * * *,37,10
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,36,13
と,と,と,助詞 接続助詞 * * * *,36,13
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,36,11
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,35,10
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,34,11
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,33,13
が,が,が,助詞 接続助詞 * * * *,33,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,33,11
斧,斧,斧,名詞 普通名詞 一般 * * *,33,4
ドーナツ,ドーナツ,ドーナツ,名詞 普通名詞 一般 * * *,33,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 終止形-一般,32,13
あの,あの,彼の,連体詞 * * * * *,31,13
しれ,しれる,知る,動詞 一般 * * 下一段-ラ行 未然形-一般,31,13
なんて,なんて,なんて,助詞 副助詞 * * * *,31,12
の,の,の,助詞 終助詞 * * * *,31,12
とき,とき,時,名詞 普通名詞 副詞可能 * * *,31,10
人,人,人,名詞 普通名詞 一般 * * *,31,10
乃,乃,の,助詞 格助詞 * * * *,31,4
まで,まで,まで,助詞 副助詞 * * * *,30,10
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,30,9
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,30,4
今,今,今,名詞 普通名詞 副詞可能 * * *,29,11
月,月,月,名詞 普通名詞 助数詞可能 * * *,29,6
お,お,御,接頭辞 * * * * *,28,12
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,28,11
ため,ため,為,名詞 普通名詞 副詞可能 * * *,27,10
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,27,10
思う,思う,思う,動詞 一般 * * 五段-ワア行 終止形-一般,27,8
様,様,様,接尾辞 名詞的 一般 * * *,27,5
ここ,ここ,此処,代名詞 * * * * *,26,11
もう,もう,もう,副詞 * * * * *,26,10
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,25,11
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,25,11
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,25,10
くらい,くらい,くらい,助詞 副助詞 * * * *,25,9
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,24,9
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,24,7
言う,言う,言う,動詞 一般 * * 五段-ワア行 連体形-一般,23,11
誰,誰,誰,代名詞 * * * * *,23,11
れる,れる,れる,助動詞 * * * 助動詞-レル 連体形-一般,23,10
言わ,言う,言う,動詞 一般 * * 五段-ワア行 未然形-一般,23,10
さ,さ,さ,助詞 終助詞 * * * *,23,9
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,23,9
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,23,6
神社,神社,神社,名詞 普通名詞 一般 * * *,23,2
言う,言う,言う,動詞 一般 * * 五段-ワア行 終止形-一般,22,12
そこ,そこ,其処,代名詞 * * * * *,22,8
一,一,1,名詞 数詞 * * * *,22,7
石,石,石,名詞 普通名詞 一般 * * *,22,1
