Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,795,16
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,792,16
の,の,の,助詞 格助詞 * * * *,787,16
に,に,に,助詞 格助詞 * * * *,734,16
は,は,は,助詞 係助詞 * * * *,725,16
よ,よ,よ,助詞 終助詞 * * * *,581,16
ん,ん,の,助詞 準体助詞 * * * *,527,16
も,も,も,助詞 係助詞 * * * *,505,16
が,が,が,助詞 格助詞 * * * *,504,16
子,子,子,名詞 普通名詞 一般 * * *,450,16
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,449,16
榀,榀,科,名詞 普通名詞 一般 * * *,439,16
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,437,16
で,で,で,助詞 格助詞 * * * *,432,16
と,と,と,助詞 格助詞 * * * *,401,16
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,381,16
か,か,か,助詞 終助詞 * * * *,368,16
陸生,陸生,陸生,名詞 普通名詞 サ変可能 * * *,364,16
の,の,の,助詞 準体助詞 * * * *,345,16
ね,ね,ね,助詞 終助詞 * * * *,339,16
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,318,16
から,から,から,助詞 接続助詞 * * * *,312,16
って,って,って,助詞 副助詞 * * * *,308,16
何,何,何,代名詞 * * * * *,271,16
か,か,か,助詞 副助詞 * * * *,259,16
晴,晴,晴れ,名詞 普通名詞 一般 * * *,246,16
こと,こと,こと,名詞 普通名詞 一般 * * *,245,16
を,を,を,助詞 格助詞 * * * *,234,16
な,な,な,助詞 終助詞 * * * *,217,16
あっ,あっ,あっ,感動詞 一般 * * * *,213,16
の,の,の,助詞 終助詞 * * * *,213,16
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,211,16
けど,けど,けれど,助詞 接続助詞 * * * *,210,16
そう,そう,そう,副詞 * * * * *,196,16
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,195,16
私,私,私,代名詞 * * * * *,192,16
俺,俺,俺,代名詞 * * * * *,190,16
浪,浪,浪,名詞 普通名詞 一般 * * *,190,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,187,16
君,君,君,接尾辞 名詞的 一般 * * *,175,16
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,164,16
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,162,16
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,155,16
し,し,し,助詞 接続助詞 * * * *,137,16
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,132,16
から,から,から,助詞 格助詞 * * * *,131,16
