Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,1382,15
の,の,の,助詞 格助詞 * * * *,1373,15
に,に,に,助詞 格助詞 * * * *,1143,15
を,を,を,助詞 格助詞 * * * *,1135,15
て,て,て,助詞 接続助詞 * * * *,1027,15
〜,〜,〜,補助記号 一般 * * * *,730,15
が,が,が,助詞 格助詞 * * * *,696,15
と,と,と,助詞 格助詞 * * * *,635,15
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,611,15
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,454,15
も,も,も,助詞 係助詞 * * * *,449,15
か,か,か,助詞 終助詞 * * * *,441,15
の,の,の,助詞 準体助詞 * * * *,381,15
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,380,15
で,で,で,助詞 格助詞 * * * *,365,15
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,299,15
な,な,な,助詞 終助詞 * * * *,299,15
殿下,殿下,殿下,名詞 普通名詞 一般 * * *,281,15
ナルサス,ナルサス,ナルサス,名詞 普通名詞 一般 * * *,278,15
兵,兵,兵,名詞 普通名詞 一般 * * *,255,15
こと,こと,こと,名詞 普通名詞 一般 * * *,236,15
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,225,15
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,209,15
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,192,15
お,お,御,接頭辞 * * * * *,191,15
はっ,はっ,はっ,感動詞 一般 * * * *,173,15
私,私,私,代名詞 * * * * *,173,15
たち,たち,達,接尾辞 名詞的 一般 * * *,166,15
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,165,15
この,この,此の,連体詞 * * * * *,156,15
ば,ば,ば,助詞 接続助詞 * * * *,151,15
が,が,が,助詞 接続助詞 * * * *,148,15
ルシタニア,ルシタニア,ルシタニア,名詞 固有名詞 地名 一般 * *,146,14
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,144,15
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,136,15
それ,それ,其れ,代名詞 * * * * *,134,15
ぬ,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-一般,132,15
よ,よ,よ,助詞 終助詞 * * * *,132,15
お主,お主,お主,代名詞 * * * * *,129,14
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,123,15
カーラーン,カーラーン,カーラーン,名詞 普通名詞 一般 * * *,123,10
か,か,か,助詞 副助詞 * * * *,119,15
パルス,パルス,パルス,名詞 普通名詞 一般 * * *,117,15
あっ,あっ,あっ,感動詞 一般 * * * *,115,15
から,から,から,助詞 格助詞 * * * *,114,15
何,何,何,代名詞 * * * * *,112,15
俺,俺,俺,代名詞 * * * * *,108,15
王,王,王,名詞 普通名詞 一般 * * *,108,15
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,103,15
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,103,15
よう,よう,様,形状詞 助動詞語幹 * * * *,102,15
ら,ら,等,接尾辞 名詞的 一般 * * *,100,15
アルス,アルス,アルス,名詞 普通名詞 一般 * * *,100,15
ラーン,ラーン,ラーン,名詞 普通名詞 一般 * * *,100,15
ダリューン,ダリューン,ダリューン,名詞 普通名詞 一般 * * *,100,14
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,99,15
エラム,エラム,エラム,名詞 固有名詞 地名 一般 * *,99,14
様,様,様,接尾辞 名詞的 一般 * * *,98,15
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,96,14
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,95,15
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,95,15
