Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1088,5
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,960,5
は,は,は,助詞 係助詞 * * * *,935,5
て,て,て,助詞 接続助詞 * * * *,911,5
に,に,に,助詞 格助詞 * * * *,876,5
が,が,が,助詞 格助詞 * * * *,605,5
を,を,を,助詞 格助詞 * * * *,589,5
と,と,と,助詞 格助詞 * * * *,496,5
っちゃ,っちゃ,て,助詞 接続助詞 * * * *,443,5
も,も,も,助詞 係助詞 * * * *,431,5
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,429,5
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,416,5
ラム,ラム,ラム,名詞 普通名詞 一般 * * *,402,5
か,か,か,助詞 終助詞 * * * *,395,5
何,何,何,代名詞 * * * * *,364,5
の,の,の,助詞 準体助詞 * * * *,360,5
ん,ん,の,助詞 準体助詞 * * * *,339,5
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,330,5
で,で,で,助詞 格助詞 * * * *,325,5
な,な,な,助詞 終助詞 * * * *,297,5
よ,よ,よ,助詞 終助詞 * * * *,293,5
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,281,5
ダーリン,ダーリン,ダーリン,名詞 固有名詞 人名 一般 * *,252,5
こと,こと,こと,名詞 普通名詞 一般 * * *,228,5
さん,さん,さん,接尾辞 名詞的 一般 * * *,182,5
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,178,5
この,この,此の,連体詞 * * * * *,168,5
ね,ね,ね,助詞 終助詞 * * * *,167,5
ああ,ああ,ああ,感動詞 一般 * * * *,157,5
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,154,5
って,って,って,助詞 副助詞 * * * *,153,5
お,お,御,接頭辞 * * * * *,150,5
か,か,か,助詞 副助詞 * * * *,150,5
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,143,5
どう,どう,どう,副詞 * * * * *,143,5
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,143,5
お前,お前,御前,代名詞 * * * * *,138,5
あっ,あっ,あっ,感動詞 一般 * * * *,137,5
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,137,5
わ,わ,わ,助詞 終助詞 * * * *,133,5
うち,うち,内,名詞 普通名詞 副詞可能 * * *,132,5
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,124,5
それ,それ,其れ,代名詞 * * * * *,122,5
これ,これ,此れ,代名詞 * * * * *,113,5
俺,俺,俺,代名詞 * * * * *,109,5
様,様,様,接尾辞 名詞的 一般 * * *,109,5
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,106,5
その,その,其の,連体詞 * * * * *,106,5
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,103,5
あの,あの,彼の,連体詞 * * * * *,101,5
そう,そう,そう,副詞 * * * * *,99,5
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,97,5
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,97,5
が,が,が,助詞 接続助詞 * * * *,96,5
から,から,から,助詞 格助詞 * * * *,94,5
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,85,5
の,の,の,助詞 終助詞 * * * *,85,5
から,から,から,助詞 接続助詞 * * * *,84,5
ば,ば,ば,助詞 接続助詞 * * * *,84,5
諸星,諸星,諸星,名詞 固有名詞 人名 姓 * *,84,5
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,82,5
もう,もう,もう,副詞 * * * * *,82,5
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,80,5
誰,誰,誰,代名詞 * * * * *,76,5
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,72,5
ルピカ,ルピカ,ルピカ,名詞 普通名詞 一般 * * *,72,1
ん,ん,んっ,感動詞 一般 * * * *,68,5
あたる,あたる,当たる,動詞 一般 * * 五段-ラ行 終止形-一般,66,5
い,い,い,助詞 終助詞 * * * *,66,5
エル,エル,エル,名詞 固有名詞 人名 一般 * *,66,1
よう,よう,様,形状詞 助動詞語幹 * * * *,63,5
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,62,5
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,61,5
たち,たち,達,接尾辞 名詞的 一般 * * *,61,5
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,60,5
だけ,だけ,だけ,助詞 副助詞 * * * *,59,5
ああっ,ああっ,ああ,感動詞 一般 * * * *,58,5
うん,うん,うん,感動詞 一般 * * * *,58,5
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,58,5
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,58,5
僕,僕,僕,代名詞 * * * * *,57,5
うわあ,うわあ,うわ,感動詞 一般 * * * *,56,5
や,や,や,助詞 副助詞 * * * *,56,5
ハハハ,ハハハ,ははは,感動詞 一般 * * * *,56,4
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,54,5
今,今,今,名詞 普通名詞 副詞可能 * * *,54,5
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,53,5
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,53,5
へ,へ,へ,助詞 格助詞 * * * *,53,5
まで,まで,まで,助詞 副助詞 * * * *,53,5
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,52,5
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,52,5
もの,もの,物,名詞 普通名詞 サ変可能 * * *,52,5
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,51,5
そんな,そんな,そんな,連体詞 * * * * *,51,5
もん,もん,もん,名詞 普通名詞 一般 * * *,51,5
私,私,私,代名詞 * * * * *,51,5
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,49,5
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,49,5
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,48,5
で,で,で,助詞 接続助詞 * * * *,48,5
どこ,どこ,どこ,代名詞 * * * * *,48,5
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,46,5
はっ,はっ,はっ,感動詞 一般 * * * *,46,5
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,46,5
好き,好き,好き,形状詞 一般 * * * *,46,4
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,45,5
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,45,5
・,・,・,補助記号 一般 * * * *,45,2
こんな,こんな,こんな,連体詞 * * * * *,43,5
じゃ,じゃ,で,助詞 格助詞 * * * *,43,5
面,面,面,名詞 普通名詞 助数詞可能 * * *,43,5
ほれ薬,ほれ薬,惚れ薬,名詞 普通名詞 一般 * * *,43,1
あなた,あなた,貴方,代名詞 * * * * *,42,5
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,42,5
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,42,5
あれ,あれ,彼れ,代名詞 * * * * *,41,5
と,と,と,助詞 接続助詞 * * * *,41,5
っぽ,っぽい,ぽい,接尾辞 形容詞的 * * 形容詞 語幹-一般,41,1
ルパ,ルパ,ルパ,名詞 普通名詞 一般 * * *,41,1
あ,あ,あっ,感動詞 一般 * * * *,40,5
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,40,5
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,40,5
友引,友引,友引,名詞 普通名詞 一般 * * *,40,5
はあ,はあ,はあ,感動詞 一般 * * * *,39,5
ら,ら,等,接尾辞 名詞的 一般 * * *,39,5
嫌,嫌,嫌,形状詞 一般 * * * *,39,5
けど,けど,けれど,助詞 接続助詞 * * * *,38,5
なんて,なんて,なんて,助詞 副助詞 * * * *,38,5
ばか,ばか,ばか,名詞 普通名詞 形状詞可能 * * *,38,5
気,気,気,名詞 普通名詞 一般 * * *,38,5
男,男,男,名詞 普通名詞 一般 * * *,38,5
知ら,知る,知る,動詞 一般 * * 五段-ラ行 未然形-一般,38,5
結婚,結婚,結婚,名詞 普通名詞 サ変可能 * * *,38,4
あ,あ,あー,感動詞 フィラー * * * *,37,5
いや,いや,否,感動詞 一般 * * * *,37,5
