Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1790,24
は,は,は,助詞 係助詞 * * * *,1559,24
に,に,に,助詞 格助詞 * * * *,1409,24
て,て,て,助詞 接続助詞 * * * *,1375,24
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1243,24
を,を,を,助詞 格助詞 * * * *,1223,24
が,が,が,助詞 格助詞 * * * *,1154,24
も,も,も,助詞 係助詞 * * * *,694,24
と,と,と,助詞 格助詞 * * * *,646,24
か,か,か,助詞 終助詞 * * * *,607,24
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,606,24
で,で,で,助詞 格助詞 * * * *,561,24
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,553,24
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,537,24
ん,ん,の,助詞 準体助詞 * * * *,532,24
森羅,森羅,森羅,名詞 普通名詞 一般 * * *,485,24
な,な,な,助詞 終助詞 * * * *,464,24
よ,よ,よ,助詞 終助詞 * * * *,445,24
俺,俺,俺,代名詞 * * * * *,407,24
の,の,の,助詞 準体助詞 * * * *,386,24
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,343,22
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,338,24
第,第,第,接頭辞 * * * * *,330,24
お前,お前,御前,代名詞 * * * * *,285,24
〜,〜,〜,補助記号 一般 * * * *,267,24
備,備,備,名詞 固有名詞 人名 名 * *,266,23
桜,桜,桜,名詞 固有名詞 人名 姓 * *,266,23
何,何,何,代名詞 * * * * *,251,24
こと,こと,こと,名詞 普通名詞 一般 * * *,240,24
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,234,24
か,か,か,助詞 副助詞 * * * *,231,24
アーサー,アーサー,アーサー,名詞 固有名詞 人名 一般 * *,231,20
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,211,24
炎,炎,炎,名詞 普通名詞 一般 * * *,205,24
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,196,24
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,182,24
あっ,あっ,あっ,感動詞 一般 * * * *,177,24
この,この,此の,連体詞 * * * * *,171,24
ヴァルカン,ヴァルカン,ヴァルカン,名詞 普通名詞 一般 * * *,167,9
焔,焔,炎,名詞 普通名詞 一般 * * *,163,22
から,から,から,助詞 接続助詞 * * * *,161,24
シンラ,シンラ,シンラ,名詞 固有名詞 一般 * * *,159,24
音,音,音,名詞 普通名詞 一般 * * *,159,24
火縄,火縄,火縄,名詞 普通名詞 一般 * * *,154,21
たち,たち,達,接尾辞 名詞的 一般 * * *,153,24
から,から,から,助詞 格助詞 * * * *,152,24
って,って,って,助詞 副助詞 * * * *,151,23
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,147,24
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,146,24
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,142,24
うっ,うっ,うう,感動詞 一般 * * * *,142,23
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,141,23
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,138,24
大隊長,大隊長,大隊長,名詞 普通名詞 一般 * * *,137,23
が,が,が,助詞 接続助詞 * * * *,136,23
私,私,私,代名詞 * * * * *,132,23
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,130,23
アイリス,アイリス,アイリス,名詞 普通名詞 一般 * * *,124,19
茉希,茉希,茉希,名詞 固有名詞 人名 名 * *,124,19
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,123,24
ああ,ああ,ああ,感動詞 一般 * * * *,121,22
なん,なん,何,代名詞 * * * * *,120,24
ね,ね,ね,助詞 終助詞 * * * *,118,23
どう,どう,どう,副詞 * * * * *,117,24
ば,ば,ば,助詞 接続助詞 * * * *,117,24
紅,紅,紅,名詞 普通名詞 一般 * * *,117,9
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,114,24
ら,ら,等,接尾辞 名詞的 一般 * * *,113,23
火華,火華,火花,名詞 普通名詞 一般 * * *,113,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,112,23
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,112,23
環,環,環,名詞 普通名詞 一般 * * *,112,14
あの,あの,彼の,連体詞 * * * * *,108,23
者,者,者,接尾辞 名詞的 一般 * * *,108,19
ジョヴァンニ,ジョヴァンニ,ジョバンニ,名詞 固有名詞 人名 一般 * *,108,9
その,その,其の,連体詞 * * * * *,105,24
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,105,23
ビト,ビト,ビト,名詞 固有名詞 人名 一般 * *,104,21
そう,そう,そう,副詞 * * * * *,103,23
それ,それ,其れ,代名詞 * * * * *,103,23
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,103,23
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,103,22
隊,隊,隊,接尾辞 名詞的 一般 * * *,103,19
だけ,だけ,だけ,助詞 副助詞 * * * *,99,24
人,人,人,名詞 普通名詞 一般 * * *,98,23
ショウ,ショウ,ショウ,名詞 普通名詞 一般 * * *,95,12
丸,丸,丸,接尾辞 名詞的 一般 * * *,95,9
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,94,23
今,今,今,名詞 普通名詞 副詞可能 * * *,94,23
あ,あ,あっ,感動詞 一般 * * * *,92,23
伝導,伝導,伝導,名詞 普通名詞 サ変可能 * * *,91,17
よう,よう,様,形状詞 助動詞語幹 * * * *,90,23
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,88,24
はい,はい,はい,感動詞 一般 * * * *,86,23
これ,これ,此れ,代名詞 * * * * *,85,23
中隊長,中隊長,中隊長,名詞 普通名詞 一般 * * *,84,20
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,82,24
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,82,22
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,81,20
消防官,消防官,消防官,名詞 普通名詞 一般 * * *,81,20
炉,炉,炉,名詞 普通名詞 一般 * * *,81,10
紺,紺,紺,名詞 普通名詞 一般 * * *,81,10
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,78,21
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,77,23
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,76,23
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,75,23
烈火,烈火,烈火,名詞 普通名詞 一般 * * *,75,5
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,74,23
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,73,23
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,73,22
お,お,御,接頭辞 * * * * *,72,22
もの,もの,物,名詞 普通名詞 サ変可能 * * *,71,18
消防,消防,消防,名詞 普通名詞 一般 * * *,71,17
ここ,ここ,此処,代名詞 * * * * *,70,24
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,70,23
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,70,22
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,70,20
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,68,22
そんな,そんな,そんな,連体詞 * * * * *,66,23
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,66,21
ため,ため,為,名詞 普通名詞 副詞可能 * * *,66,18
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,65,24
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,65,21
リヒト,リヒト,リヒト,名詞 普通名詞 一般 * * *,65,10
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,64,24
バーンズ,バーンズ,バーンズ,名詞 固有名詞 人名 一般 * *,64,6
もう,もう,もう,副詞 * * * * *,63,23
まで,まで,まで,助詞 副助詞 * * * *,63,21
で,で,で,助詞 接続助詞 * * * *,61,21
気,気,気,名詞 普通名詞 一般 * * *,60,22
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,60,19
君,君,君,接尾辞 名詞的 一般 * * *,59,19
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,58,23
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,58,20
フッ,フッ,ふっ,副詞 * * * * *,57,19
ビト,ビト,人,名詞 普通名詞 一般 * * *,57,16
ハア,ハア,はあ,感動詞 一般 * * * *,56,19
シスター,シスター,シスター,名詞 普通名詞 一般 * * *,56,17
特殊,特殊,特殊,形状詞 一般 * * * *,56,16
タマキ,タマキ,タマキ,名詞 普通名詞 一般 * * *,56,14
アドラバースト,アドラバースト,アドラバースト,名詞 普通名詞 一般 * * *,56,12
マキ,マキ,マキ,名詞 固有名詞 人名 名 * *,55,20
前,前,前,名詞 普通名詞 副詞可能 * * *,55,20
命,命,命,名詞 普通名詞 一般 * * *,55,16
隊員,隊員,隊員,名詞 普通名詞 一般 * * *,55,16
わけ,わけ,訳,名詞 普通名詞 一般 * * *,54,21
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,54,19
騎士,騎士,騎士,名詞 普通名詞 一般 * * *,54,11
発火,発火,発火,名詞 普通名詞 サ変可能 * * *,53,20
カリム,カリム,カリム,名詞 固有名詞 人名 一般 * *,53,7
ヒーロー,ヒーロー,ヒーロー,名詞 普通名詞 一般 * * *,52,14
て,てる,てる,助動詞 * * * 下一段-タ行 連体形-省略,51,21
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,50,19
こんな,こんな,こんな,連体詞 * * * * *,50,19
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,48,21
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,48,18
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,48,17
象,象,象,名詞 普通名詞 一般 * * *,48,7
世界,世界,世界,名詞 普通名詞 一般 * * *,47,23
けど,けど,けれど,助詞 接続助詞 * * * *,47,20
能力,能力,能力,名詞 普通名詞 一般 * * *,47,17
また,また,又,接続詞 * * * * *,45,22
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,45,21
男,男,男,名詞 普通名詞 一般 * * *,45,21
相手,相手,相手,名詞 普通名詞 一般 * * *,45,20
爆発,爆発,爆発,名詞 普通名詞 サ変可能 * * *,45,13
なんて,なんて,なんて,助詞 副助詞 * * * *,44,18
ん,ん,んっ,感動詞 一般 * * * *,44,17
火事,火事,火事,名詞 普通名詞 一般 * * *,44,16
ノ,ノ,の,助詞 格助詞 * * * *,44,13
自分,自分,自分,名詞 普通名詞 一般 * * *,43,17
誰,誰,誰,代名詞 * * * * *,43,16
