Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,3375,51
は,は,は,助詞 係助詞 * * * *,3055,51
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2665,51
て,て,て,助詞 接続助詞 * * * *,2559,51
に,に,に,助詞 格助詞 * * * *,2458,51
が,が,が,助詞 格助詞 * * * *,2239,51
を,を,を,助詞 格助詞 * * * *,1685,51
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1473,51
で,で,で,助詞 格助詞 * * * *,1401,51
も,も,も,助詞 係助詞 * * * *,1354,51
と,と,と,助詞 格助詞 * * * *,1201,51
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1173,51
か,か,か,助詞 終助詞 * * * *,1114,51
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1087,51
よ,よ,よ,助詞 終助詞 * * * *,1076,51
ん,ん,の,助詞 準体助詞 * * * *,949,51
ね,ね,ね,助詞 終助詞 * * * *,906,51
の,の,の,助詞 準体助詞 * * * *,885,51
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,792,51
カケル,カケル,カケル,名詞 普通名詞 一般 * * *,788,51
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,748,51
な,な,な,助詞 終助詞 * * * *,748,51
〜,〜,〜,補助記号 一般 * * * *,689,51
って,って,って,助詞 副助詞 * * * *,576,50
こと,こと,こと,名詞 普通名詞 一般 * * *,546,51
俺,俺,俺,代名詞 * * * * *,531,51
何,何,何,代名詞 * * * * *,514,51
これ,これ,此れ,代名詞 * * * * *,480,51
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,477,51
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,461,51
ジャイロゼッター,ジャイロゼッター,ジャイロゼッター,名詞 普通名詞 一般 * * *,451,51
か,か,か,助詞 副助詞 * * * *,446,51
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,421,51
さん,さん,さん,接尾辞 名詞的 一般 * * *,418,50
そう,そう,そう,副詞 * * * * *,394,51
私,私,私,代名詞 * * * * *,382,50
この,この,此の,連体詞 * * * * *,381,51
それ,それ,其れ,代名詞 * * * * *,377,51
シュンスケ,シュンスケ,シュンスケ,名詞 普通名詞 一般 * * *,371,45
たち,たち,達,接尾辞 名詞的 一般 * * *,369,50
君,君,君,接尾辞 名詞的 一般 * * *,367,51
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,362,51
なん,なん,何,代名詞 * * * * *,355,51
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,351,50
から,から,から,助詞 格助詞 * * * *,338,51
わ,わ,わ,助詞 終助詞 * * * *,335,49
どう,どう,どう,副詞 * * * * *,327,51
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,312,51
ライバード,ライバード,ライバード,名詞 普通名詞 一般 * * *,312,40
お,お,御,接頭辞 * * * * *,309,51
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,302,50
から,から,から,助詞 接続助詞 * * * *,302,49
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,292,51
の,の,の,助詞 終助詞 * * * *,290,49
りん,りん,りん,副詞 * * * * *,286,50
お前,お前,御前,代名詞 * * * * *,286,47
ば,ば,ば,助詞 接続助詞 * * * *,283,50
ゼノン,ゼノン,ゼノン,名詞 固有名詞 人名 一般 * *,283,49
ソウタ,ソウタ,ソウタ,名詞 普通名詞 一般 * * *,275,27
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,274,43
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,265,50
アルカディア,アルカディア,アルカディア,名詞 固有名詞 地名 一般 * *,265,49
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,258,48
その,その,其の,連体詞 * * * * *,253,50
もう,もう,もう,副詞 * * * * *,239,51
今,今,今,名詞 普通名詞 副詞可能 * * *,222,49
あっ,あっ,あっ,感動詞 一般 * * * *,221,47
