Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1041,13
て,て,て,助詞 接続助詞 * * * *,933,13
に,に,に,助詞 格助詞 * * * *,825,13
は,は,は,助詞 係助詞 * * * *,785,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,751,13
〜,〜,〜,補助記号 一般 * * * *,720,13
が,が,が,助詞 格助詞 * * * *,682,13
も,も,も,助詞 係助詞 * * * *,590,13
で,で,で,助詞 格助詞 * * * *,544,13
よ,よ,よ,助詞 終助詞 * * * *,490,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,486,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,476,13
を,を,を,助詞 格助詞 * * * *,470,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,438,13
と,と,と,助詞 格助詞 * * * *,418,13
ん,ん,の,助詞 準体助詞 * * * *,410,13
か,か,か,助詞 終助詞 * * * *,381,13
って,って,って,助詞 副助詞 * * * *,374,13
の,の,の,助詞 準体助詞 * * * *,357,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,354,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,338,13
ね,ね,ね,助詞 終助詞 * * * *,300,13
私,私,私,代名詞 * * * * *,289,13
スズ,スズ,錫,名詞 普通名詞 一般 * * *,270,13
から,から,から,助詞 接続助詞 * * * *,269,13
あっ,あっ,あっ,感動詞 一般 * * * *,258,13
な,な,な,助詞 終助詞 * * * *,258,13
か,か,か,助詞 副助詞 * * * *,233,13
サヨ,サヨ,サヨ,名詞 固有名詞 人名 名 * *,228,13
エノ,エノ,エノ,名詞 普通名詞 一般 * * *,226,13
リコ,リコ,リコ,名詞 固有名詞 一般 * * *,213,13
わ,わ,わ,助詞 終助詞 * * * *,205,13
こと,こと,こと,名詞 普通名詞 一般 * * *,201,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,197,13
なん,なん,何,代名詞 * * * * *,195,13
えっ,えっ,えっ,感動詞 一般 * * * *,181,13
マキ,マキ,マキ,名詞 固有名詞 人名 名 * *,174,13
それ,それ,其れ,代名詞 * * * * *,172,13
