Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,674,12
は,は,は,助詞 係助詞 * * * *,672,11
に,に,に,助詞 格助詞 * * * *,633,11
て,て,て,助詞 接続助詞 * * * *,615,11
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,481,12
が,が,が,助詞 格助詞 * * * *,420,12
も,も,も,助詞 係助詞 * * * *,363,11
を,を,を,助詞 格助詞 * * * *,352,11
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,347,11
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,344,11
で,で,で,助詞 格助詞 * * * *,326,11
と,と,と,助詞 格助詞 * * * *,324,11
よ,よ,よ,助詞 終助詞 * * * *,323,12
か,か,か,助詞 終助詞 * * * *,317,11
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,307,11
ん,ん,の,助詞 準体助詞 * * * *,247,11
の,の,の,助詞 準体助詞 * * * *,242,11
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,240,11
何,何,何,代名詞 * * * * *,234,12
ね,ね,ね,助詞 終助詞 * * * *,223,11
って,って,って,助詞 副助詞 * * * *,209,11
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,186,11
こと,こと,こと,名詞 普通名詞 一般 * * *,177,11
な,な,な,助詞 終助詞 * * * *,169,11
か,か,か,助詞 副助詞 * * * *,166,11
さん,さん,さん,接尾辞 名詞的 一般 * * *,143,11
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,141,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,132,11
イツキ,イツキ,イツキ,名詞 普通名詞 一般 * * *,130,12
から,から,から,助詞 接続助詞 * * * *,114,11
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,113,11
〜,〜,〜,補助記号 一般 * * * *,110,12
そう,そう,そう,副詞 * * * * *,109,11
それ,それ,其れ,代名詞 * * * * *,108,11
あッ,あッ,あっ,感動詞 一般 * * * *,107,12
えッ,えッ,えっ,感動詞 一般 * * * *,103,11
俺,俺,俺,代名詞 * * * * *,96,10
の,の,の,助詞 終助詞 * * * *,93,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,91,11
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,89,11
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,87,11
どう,どう,どう,副詞 * * * * *,85,11
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,83,10
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,79,11
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,78,11
お,お,御,接頭辞 * * * * *,76,11
けど,けど,けれど,助詞 接続助詞 * * * *,76,11
お前,お前,御前,代名詞 * * * * *,75,11
私,私,私,代名詞 * * * * *,73,11
この,この,此の,連体詞 * * * * *,72,11
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,71,11
わ,わ,わ,助詞 終助詞 * * * *,70,11
君,君,君,接尾辞 名詞的 一般 * * *,70,11
リナ,リナ,リナ,名詞 固有名詞 人名 一般 * *,69,12
これ,これ,此れ,代名詞 * * * * *,69,11
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,65,11
ああ,ああ,ああ,感動詞 一般 * * * *,63,11
ば,ば,ば,助詞 接続助詞 * * * *,63,11
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,62,11
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,61,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,60,10
あの,あの,彼の,連体詞 * * * * *,57,11
鈴来,鈴来,鈴来,名詞 固有名詞 人名 名 * *,57,8
はい,はい,はい,感動詞 一般 * * * *,56,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,56,11
その,その,其の,連体詞 * * * * *,55,11
し,し,し,助詞 接続助詞 * * * *,55,10
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,54,11
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,53,11
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,52,11
あなた,あなた,貴方,代名詞 * * * * *,52,9
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,51,11
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,51,10
もう,もう,もう,副詞 * * * * *,50,11
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,50,10
コウタ,コウタ,コウタ,名詞 固有名詞 人名 名 * *,49,11
今,今,今,名詞 普通名詞 副詞可能 * * *,49,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,49,10
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,48,11
