Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,3106,40
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2823,40
て,て,て,助詞 接続助詞 * * * *,2759,40
の,の,の,助詞 格助詞 * * * *,2633,40
に,に,に,助詞 格助詞 * * * *,2396,40
が,が,が,助詞 格助詞 * * * *,2058,40
も,も,も,助詞 係助詞 * * * *,1905,40
と,と,と,助詞 格助詞 * * * *,1744,40
で,で,で,助詞 格助詞 * * * *,1575,40
を,を,を,助詞 格助詞 * * * *,1478,40
よ,よ,よ,助詞 終助詞 * * * *,1429,40
の,の,の,助詞 準体助詞 * * * *,1347,40
か,か,か,助詞 終助詞 * * * *,1229,40
ん,ん,の,助詞 準体助詞 * * * *,1208,40
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1202,40
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1143,40
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1113,40
ね,ね,ね,助詞 終助詞 * * * *,1105,40
か,か,か,助詞 副助詞 * * * *,1071,40
何,何,何,代名詞 * * * * *,947,40
な,な,な,助詞 終助詞 * * * *,940,40
こと,こと,こと,名詞 普通名詞 一般 * * *,926,40
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,911,40
って,って,って,助詞 副助詞 * * * *,838,40
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,828,40
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,818,40
から,から,から,助詞 接続助詞 * * * *,804,40
そう,そう,そう,副詞 * * * * *,745,40
それ,それ,其れ,代名詞 * * * * *,735,40
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,668,40
俺,俺,俺,代名詞 * * * * *,637,40
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,573,38
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,538,40
私,私,私,代名詞 * * * * *,535,40
し,し,し,助詞 接続助詞 * * * *,522,40
の,の,の,助詞 終助詞 * * * *,501,40
わ,わ,わ,助詞 終助詞 * * * *,448,40
けど,けど,けれど,助詞 接続助詞 * * * *,439,40
〜,〜,〜,補助記号 一般 * * * *,428,40
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,428,40
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,417,40
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,401,40
