Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,1188,13
の,の,の,助詞 格助詞 * * * *,1184,13
に,に,に,助詞 格助詞 * * * *,1139,13
て,て,て,助詞 接続助詞 * * * *,1010,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,903,13
が,が,が,助詞 格助詞 * * * *,838,13
を,を,を,助詞 格助詞 * * * *,682,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,562,13
と,と,と,助詞 格助詞 * * * *,530,13
も,も,も,助詞 係助詞 * * * *,523,13
か,か,か,助詞 終助詞 * * * *,464,13
で,で,で,助詞 格助詞 * * * *,464,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,461,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,449,13
ん,ん,の,助詞 準体助詞 * * * *,446,13
よ,よ,よ,助詞 終助詞 * * * *,390,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,388,13
何,何,何,代名詞 * * * * *,369,13
の,の,の,助詞 準体助詞 * * * *,362,13
ライディーン,ライディーン,ライディーン,名詞 普通名詞 一般 * * *,308,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,307,13
こと,こと,こと,名詞 普通名詞 一般 * * *,282,13
って,って,って,助詞 副助詞 * * * *,279,13
か,か,か,助詞 副助詞 * * * *,277,13
淳貴,淳貴,淳貴,名詞 固有名詞 人名 名 * *,264,13
な,な,な,助詞 終助詞 * * * *,251,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,217,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,203,13
あっ,あっ,あっ,感動詞 一般 * * * *,187,13
俺,俺,俺,代名詞 * * * * *,185,13
それ,それ,其れ,代名詞 * * * * *,184,13
ね,ね,ね,助詞 終助詞 * * * *,184,13
どう,どう,どう,副詞 * * * * *,183,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,178,13
そう,そう,そう,副詞 * * * * *,167,13
これ,これ,此れ,代名詞 * * * * *,166,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,161,13
この,この,此の,連体詞 * * * * *,158,13
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,154,13
機,機,機,名詞 普通名詞 助数詞可能 * * *,144,13
さん,さん,さん,接尾辞 名詞的 一般 * * *,142,13
から,から,から,助詞 接続助詞 * * * *,136,13
から,から,から,助詞 格助詞 * * * *,134,13
巨獣,巨獣,巨獣,名詞 普通名詞 一般 * * *,131,13
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,126,13
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,122,13
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,122,13
の,の,の,助詞 終助詞 * * * *,119,13
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,114,13
前,前,前,名詞 普通名詞 副詞可能 * * *,110,13
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,107,13
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,105,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,99,13
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,98,13
才賀,才賀,才賀,名詞 固有名詞 人名 姓 * *,97,13
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,94,13
ば,ば,ば,助詞 接続助詞 * * * *,92,13
その,その,其の,連体詞 * * * * *,90,13
もう,もう,もう,副詞 * * * * *,90,13
けど,けど,けれど,助詞 接続助詞 * * * *,90,12
お前,お前,御前,代名詞 * * * * *,89,13
えっ,えっ,えっ,感動詞 一般 * * * *,88,13
なん,なん,何,代名詞 * * * * *,87,13
あの,あの,彼の,連体詞 * * * * *,85,13
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,85,13
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,84,13
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,80,13
ああ,ああ,ああ,感動詞 一般 * * * *,79,13
私,私,私,代名詞 * * * * *,79,13
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,78,13
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,77,13
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,77,13
が,が,が,助詞 接続助詞 * * * *,76,13
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,74,13
今,今,今,名詞 普通名詞 副詞可能 * * *,74,12
わ,わ,わ,助詞 終助詞 * * * *,72,11
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,70,12
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,70,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,69,13
だけ,だけ,だけ,助詞 副助詞 * * * *,69,13
よう,よう,様,形状詞 助動詞語幹 * * * *,69,13
そんな,そんな,そんな,連体詞 * * * * *,66,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,66,13
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,65,12
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,65,12
たち,たち,達,接尾辞 名詞的 一般 * * *,64,11
はい,はい,はい,感動詞 一般 * * * *,64,11
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,63,13
ちょっと,ちょっと,一寸,副詞 * * * * *,61,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,60,13
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,60,13
お,お,御,接頭辞 * * * * *,60,12
もの,もの,物,名詞 普通名詞 サ変可能 * * *,60,12
君,君,君,代名詞 * * * * *,59,11
迅雷,迅雷,迅雷,名詞 普通名詞 一般 * * *,59,10
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,58,11
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,57,13
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,57,12
うっ,うっ,うう,感動詞 一般 * * * *,56,12
どこ,どこ,どこ,代名詞 * * * * *,55,13
わけ,わけ,訳,名詞 普通名詞 一般 * * *,55,13
ん,ん,んっ,感動詞 一般 * * * *,55,12
ここ,ここ,此処,代名詞 * * * * *,54,12
で,で,で,助詞 接続助詞 * * * *,54,12
中,中,中,名詞 普通名詞 副詞可能 * * *,54,12
人,人,人,名詞 普通名詞 一般 * * *,54,12
田崎,田崎,田崎,名詞 固有名詞 人名 姓 * *,54,11
星川,星川,星川,名詞 固有名詞 人名 姓 * *,53,8
疾風,疾風,疾風,名詞 普通名詞 一般 * * *,53,8
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,52,13
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,52,13
あ,あ,あっ,感動詞 一般 * * * *,52,12
いや,いや,否,感動詞 一般 * * * *,52,12
フェードイン,フェードイン,フェードイン,名詞 普通名詞 サ変可能 * * *,51,13
攻撃,攻撃,攻撃,名詞 普通名詞 サ変可能 * * *,51,11
まで,まで,まで,助詞 副助詞 * * * *,50,12
気,気,気,名詞 普通名詞 一般 * * *,50,12
碧乃,碧乃,碧乃,名詞 固有名詞 人名 名 * *,49,11
ゴッド,ゴッド,ゴッド,名詞 普通名詞 一般 * * *,48,13
奴,奴,奴,名詞 普通名詞 一般 * * *,47,13
あれ,あれ,彼れ,代名詞 * * * * *,46,12
隊,隊,隊,接尾辞 名詞的 一般 * * *,46,12
まだ,まだ,未だ,副詞 * * * * *,45,13
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,45,13
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,45,12
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,45,12
うん,うん,うん,感動詞 一般 * * * *,45,9
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,44,13
こっち,こっち,此方,代名詞 * * * * *,44,13
へ,へ,へ,助詞 格助詞 * * * *,44,13
おい,おい,おい,感動詞 一般 * * * *,44,11
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,44,11
