Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,3221,34
は,は,は,助詞 係助詞 * * * *,2779,34
に,に,に,助詞 格助詞 * * * *,2366,34
を,を,を,助詞 格助詞 * * * *,2339,34
て,て,て,助詞 接続助詞 * * * *,2079,34
が,が,が,助詞 格助詞 * * * *,1885,34
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1421,34
と,と,と,助詞 格助詞 * * * *,1159,34
も,も,も,助詞 係助詞 * * * *,1155,34
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1144,34
で,で,で,助詞 格助詞 * * * *,1095,34
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1001,34
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,974,34
か,か,か,助詞 終助詞 * * * *,738,34
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,676,34
の,の,の,助詞 準体助詞 * * * *,639,34
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,611,34
よ,よ,よ,助詞 終助詞 * * * *,572,34
こと,こと,こと,名詞 普通名詞 一般 * * *,516,34
ん,ん,の,助詞 準体助詞 * * * *,513,34
ね,ね,ね,助詞 終助詞 * * * *,470,34
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,463,34
何,何,何,代名詞 * * * * *,428,34
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,402,34
それ,それ,其れ,代名詞 * * * * *,392,34
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,387,34
な,な,な,助詞 終助詞 * * * *,378,34
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,376,34
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,367,34
か,か,か,助詞 副助詞 * * * *,359,34
って,って,って,助詞 副助詞 * * * *,336,34
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,324,34
〜,〜,〜,補助記号 一般 * * * *,323,34
その,その,其の,連体詞 * * * * *,293,34
この,この,此の,連体詞 * * * * *,279,34
私,私,私,代名詞 * * * * *,276,33
宜野座,宜野座,宜野座,名詞 固有名詞 地名 一般 * *,260,34
