Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
が,が,が,助詞 格助詞 * * * *,17,1
を,を,を,助詞 格助詞 * * * *,10,1
か,か,か,助詞 副助詞 * * * *,8,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,8,1
何,何,何,代名詞 * * * * *,8,1
て,て,て,助詞 接続助詞 * * * *,6,1
に,に,に,助詞 格助詞 * * * *,6,1
の,の,の,助詞 格助詞 * * * *,6,1
は,は,は,助詞 係助詞 * * * *,6,1
また,また,又,接続詞 * * * * *,5,1
きっと,きっと,きっと,副詞 * * * * *,4,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,4,1
で,で,で,助詞 格助詞 * * * *,4,1
ん,ん,の,助詞 準体助詞 * * * *,4,1
僕,僕,僕,代名詞 * * * * *,4,1
この,この,此の,連体詞 * * * * *,3,1
そう,そう,そう,副詞 * * * * *,3,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,3,1
られ,られる,られる,助動詞 * * * 助動詞-レル 連用形-一般,3,1
モンスター,モンスター,モンスター,名詞 普通名詞 一般 * * *,3,1
世界,世界,世界,名詞 普通名詞 一般 * * *,3,1
始まる,始まる,始まる,動詞 一般 * * 五段-ラ行 連体形-一般,3,1
終わり,終わる,終わる,動詞 非自立可能 * * 五段-ラ行 連用形-一般,3,1
いく,いく,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,2,1
いっ,いく,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,2,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,2,1
その,その,其の,連体詞 * * * * *,2,1
だけ,だけ,だけ,助詞 副助詞 * * * *,2,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,2,1
で,で,で,助詞 接続助詞 * * * *,2,1
と,と,と,助詞 格助詞 * * * *,2,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,2,1
も,も,も,助詞 係助詞 * * * *,2,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,2,1
儚い,儚い,儚い,形容詞 一般 * * 形容詞 連体形-一般,2,1
眩い,眩い,眩い,形容詞 一般 * * 形容詞 連体形-一般,2,1
行ける,行ける,行く,動詞 非自立可能 * * 下一段-カ行 連体形-一般,2,1
轟く,轟く,轟く,動詞 一般 * * 五段-カ行 終止形-一般,2,1
銃声,銃声,銃声,名詞 普通名詞 一般 * * *,2,1
閃光,閃光,閃光,名詞 普通名詞 一般 * * *,2,1
駆け,駆ける,駆ける,動詞 一般 * * 下一段-カ行 連用形-一般,2,1
ああ,ああ,ああ,感動詞 一般 * * * *,1,1
あいつ,あいつ,彼奴,代名詞 * * * * *,1,1
いく,いく,行く,動詞 非自立可能 * * 五段-カ行 連体形-一般,1,1
いくつ,いくつ,幾つ,名詞 普通名詞 一般 * * *,1,1
から,から,から,助詞 格助詞 * * * *,1,1
こう,こう,こう,副詞 * * * * *,1,1
こそ,こそ,こそ,助詞 係助詞 * * * *,1,1
こと,こと,こと,名詞 普通名詞 一般 * * *,1,1
さ,さ,さ,接尾辞 名詞的 一般 * * *,1,1
さあ,さあ,さあ,感動詞 一般 * * * *,1,1
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,1,1
ず,ぬ,ず,助動詞 * * * 助動詞-ヌ 連用形-一般,1,1
ずっと,ずっと,ずっと,副詞 * * * * *,1,1
せ,する,為る,動詞 非自立可能 * * サ行変格 未然形-セ,1,1
そこ,そこ,其処,代名詞 * * * * *,1,1
そっと,そっと,そっと,副詞 * * * * *,1,1
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,1,1
だす,だす,出す,動詞 非自立可能 * * 五段-サ行 終止形-一般,1,1
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,1,1
ちまわ,ちまう,ちまう,助動詞 * * * 五段-ワア行 未然形-一般,1,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,1,1
てく,てく,てく,助動詞 * * * 五段-カ行 連体形-一般,1,1
で,でる,てる,助動詞 * * * 下一段-ダ行 連用形-一般,1,1
でる,でる,てる,助動詞 * * * 下一段-ダ行 連体形-一般,1,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,1,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,1,1
など,など,など,助詞 副助詞 * * * *,1,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,1,1
ぬ,ぬ,ず,助動詞 * * * 助動詞-ヌ 連体形-一般,1,1
ぼやけ,ぼやける,ぼやける,動詞 一般 * * 下一段-カ行 連用形-一般,1,1
まま,まま,侭,名詞 普通名詞 副詞可能 * * *,1,1
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,1,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,1,1
よう,よう,様,形状詞 助動詞語幹 * * * *,1,1
ロープ,ロープ,ロープ,名詞 普通名詞 一般 * * *,1,1
丸め,丸める,丸める,動詞 一般 * * 下一段-マ行 連用形-一般,1,1
乱れ,乱れる,乱れる,動詞 一般 * * 下一段-ラ行 連用形-一般,1,1
今度,今度,今度,名詞 普通名詞 副詞可能 * * *,1,1
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,1,1
仕留める,仕留める,仕留める,動詞 一般 * * 下一段-マ行 終止形-一般,1,1
体,体,体,名詞 普通名詞 一般 * * *,1,1
光,光,光,名詞 普通名詞 一般 * * *,1,1
出来,出来る,出来る,動詞 非自立可能 * * 上一段-カ行 連用形-一般,1,1
叫ん,叫ぶ,叫ぶ,動詞 一般 * * 五段-バ行 連用形-撥音便,1,1
可能性,可能性,可能性,名詞 普通名詞 一般 * * *,1,1
呼吸,呼吸,呼吸,名詞 普通名詞 サ変可能 * * *,1,1
囲ま,囲む,囲む,動詞 一般 * * 五段-マ行 未然形-一般,1,1
夕暮れ,夕暮れ,夕暮れ,名詞 普通名詞 一般 * * *,1,1
失敗,失敗,失敗,名詞 普通名詞 サ変可能 * * *,1,1
奥,奥,奥,名詞 普通名詞 一般 * * *,1,1
子猫,子猫,子猫,名詞 普通名詞 一般 * * *,1,1
孤独,孤独,孤独,名詞 普通名詞 形状詞可能 * * *,1,1
廻っ,廻る,回る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,1,1
引き,引く,引く,動詞 一般 * * 五段-カ行 連用形-一般,1,1
引き金,引き金,引き金,名詞 普通名詞 一般 * * *,1,1
弾,弾,弾,名詞 普通名詞 一般 * * *,1,1
弾倉,弾倉,弾倉,名詞 普通名詞 一般 * * *,1,1
怯え,怯える,怯える,動詞 一般 * * 下一段-ア行 連用形-一般,1,1
恐れる,恐れる,恐れる,動詞 一般 * * 下一段-ラ行 連体形-一般,1,1
恐怖心,恐怖心,恐怖心,名詞 普通名詞 一般 * * *,1,1
息,息,息,名詞 普通名詞 一般 * * *,1,1
意識,意識,意識,名詞 普通名詞 サ変可能 * * *,1,1
感づか,感づく,感付く,動詞 一般 * * 五段-カ行 未然形-一般,1,1
持ち上げ,持ち上げる,持ち上げる,動詞 一般 * * 下一段-ガ行 未然形-一般,1,1
指先,指先,指先,名詞 普通名詞 一般 * * *,1,1
捨て,捨てる,捨てる,動詞 一般 * * 下一段-タ行 未然形-一般,1,1
探し,探す,探す,動詞 一般 * * 五段-サ行 連用形-一般,1,1
散弾銃,散弾銃,散弾銃,名詞 普通名詞 一般 * * *,1,1
整え,整える,整える,動詞 一般 * * 下一段-ア行 連用形-一般,1,1
暴れ,暴れる,暴れる,動詞 一般 * * 下一段-ラ行 連用形-一般,1,1
望ん,望む,望む,動詞 一般 * * 五段-マ行 連用形-撥音便,1,1
正体,正体,正体,名詞 普通名詞 一般 * * *,1,1
死ん,死ぬ,死ぬ,動詞 一般 * * 五段-ナ行 連用形-撥音便,1,1
殺し,殺し,殺し,名詞 普通名詞 一般 * * *,1,1
殺気,殺気,殺気,名詞 普通名詞 一般 * * *,1,1
浮き足,浮き足,浮き足,名詞 普通名詞 一般 * * *,1,1
生まれ,生まれる,生まれる,動詞 一般 * * 下一段-ラ行 連用形-一般,1,1
目,目,目,名詞 普通名詞 一般 * * *,1,1
真夜中,真夜中,真夜中,名詞 普通名詞 副詞可能 * * *,1,1
穏やか,穏やか,穏やか,形状詞 一般 * * * *,1,1
立っ,立つ,立つ,動詞 一般 * * 五段-タ行 連用形-促音便,1,1
純粋,純粋,純粋,形状詞 一般 * * * *,1,1
繋い,繋ぐ,繋ぐ,動詞 一般 * * 五段-ガ行 連用形-イ音便,1,1
肥大,肥大,肥大,名詞 普通名詞 サ変可能 * * *,1,1
