Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,523,7
に,に,に,助詞 格助詞 * * * *,414,7
は,は,は,助詞 係助詞 * * * *,394,7
て,て,て,助詞 接続助詞 * * * *,382,7
が,が,が,助詞 格助詞 * * * *,301,7
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,286,7
を,を,を,助詞 格助詞 * * * *,260,7
〜,〜,〜,補助記号 一般 * * * *,247,7
も,も,も,助詞 係助詞 * * * *,212,7
よ,よ,よ,助詞 終助詞 * * * *,209,7
で,で,で,助詞 格助詞 * * * *,196,7
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,186,7
と,と,と,助詞 格助詞 * * * *,184,7
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,177,7
ん,ん,の,助詞 準体助詞 * * * *,162,7
響,響,響き,名詞 普通名詞 一般 * * *,152,7
オレ,オレ,俺,代名詞 * * * * *,139,7
ダンス,ダンス,ダンス,名詞 普通名詞 サ変可能 * * *,135,7
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,131,7
たち,たち,達,接尾辞 名詞的 一般 * * *,125,7
か,か,か,助詞 終助詞 * * * *,123,7
舞人,舞人,舞人,名詞 普通名詞 一般 * * *,119,5
の,の,の,助詞 準体助詞 * * * *,117,7
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,110,7
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,107,7
あっ,あっ,あっ,感動詞 一般 * * * *,106,7
ね,ね,ね,助詞 終助詞 * * * *,102,7
アウル,アウル,アウル,名詞 固有名詞 人名 一般 * *,91,7
何,何,何,代名詞 * * * * *,87,7
か,か,か,助詞 副助詞 * * * *,86,7
翼,翼,翼,名詞 固有名詞 人名 名 * *,86,7
こと,こと,こと,名詞 普通名詞 一般 * * *,85,7
うん,うん,うん,感動詞 一般 * * * *,79,7
･,・,・,補助記号 一般 * * * *,73,7
って,って,って,助詞 副助詞 * * * *,72,7
お前,お前,御前,代名詞 * * * * *,72,6
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,70,7
君,君,君,接尾辞 名詞的 一般 * * *,70,7
な,な,な,助詞 終助詞 * * * *,68,7
の,の,の,助詞 終助詞 * * * *,66,7
どう,どう,どう,副詞 * * * * *,63,7
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,63,7
琴音,琴音,琴音,名詞 固有名詞 人名 名 * *,62,7
王,王,王,名詞 普通名詞 一般 * * *,61,5
この,この,此の,連体詞 * * * * *,55,7
それ,それ,其れ,代名詞 * * * * *,55,7
えっ,えっ,えっ,感動詞 一般 * * * *,53,7
タンク,タンク,タンク,名詞 普通名詞 一般 * * *,51,7
これ,これ,此れ,代名詞 * * * * *,50,7
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,50,7
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,50,7
トーコ,トーコ,トウコ,名詞 固有名詞 人名 名 * *,50,2
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,49,7
ミンク,ミンク,ミンク,名詞 普通名詞 一般 * * *,46,7
ボク,ボク,僕,代名詞 * * * * *,45,7
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,43,7
その,その,其の,連体詞 * * * * *,43,7
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,43,7
から,から,から,助詞 接続助詞 * * * *,42,7
お,お,御,接頭辞 * * * * *,42,5
なん,なん,何,代名詞 * * * * *,41,7
コレオ,コレオ,コレオ,名詞 普通名詞 一般 * * *,40,6
から,から,から,助詞 格助詞 * * * *,39,7
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,39,7
もう,もう,もう,副詞 * * * * *,39,7
おう,おう,おお,感動詞 一般 * * * *,38,7
ブレイキン,ブレイキン,ブレイキン,名詞 普通名詞 一般 * * *,38,7
びー,びー,びい,副詞 * * * * *,37,2
ちゃま,ちゃま,様,接尾辞 名詞的 一般 * * *,36,6
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,35,6
坊,坊,坊,名詞 普通名詞 一般 * * *,35,5
さん,さん,さん,接尾辞 名詞的 一般 * * *,34,7
そう,そう,そう,副詞 * * * * *,34,7
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,34,7
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,34,7
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,33,7
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,33,7
わ,わ,わ,助詞 終助詞 * * * *,33,7
ああっ,ああっ,ああ,感動詞 一般 * * * *,33,6
わたし,わたし,私,代名詞 * * * * *,32,7
音,音,音,名詞 普通名詞 一般 * * *,31,6
風,風,風,名詞 普通名詞 一般 * * *,31,4
香,香,香,名詞 普通名詞 一般 * * *,31,4
で,で,で,助詞 接続助詞 * * * *,30,7
まで,まで,まで,助詞 副助詞 * * * *,30,6
フラッシュ,フラッシュ,フラッシュ,名詞 普通名詞 一般 * * *,30,6
母さん,母さん,母さん,名詞 普通名詞 一般 * * *,30,4
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,28,7
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,28,7
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,28,7
トーン,トーン,トーン,名詞 普通名詞 一般 * * *,28,7
今,今,今,名詞 普通名詞 副詞可能 * * *,28,7
翼,翼,翼,名詞 普通名詞 一般 * * *,28,5
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,27,7
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,27,7
す,す,っす,助動詞 * * * 助動詞-デス 終止形-一般,27,6
忍者,忍者,忍者,名詞 普通名詞 一般 * * *,27,2
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,26,7
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,26,7
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,26,7
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,26,6
ー,ー,ー,補助記号 一般 * * * *,26,5
英史,英史,英史,名詞 固有名詞 人名 名 * *,26,5
中,中,中,名詞 普通名詞 副詞可能 * * *,25,7
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,25,6
どこ,どこ,どこ,代名詞 * * * * *,24,7
超,超,超,接頭辞 * * * * *,24,7
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,24,6
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,24,6
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,23,7
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,23,7
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,23,7
ムーブ,ムーブ,ムーブ,名詞 普通名詞 一般 * * *,23,5
君,君,君,代名詞 * * * * *,23,5
ワニ,ワニ,鰐,名詞 普通名詞 一般 * * *,23,4
けど,けど,けれど,助詞 接続助詞 * * * *,22,7
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,22,7
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,22,7
ああ,ああ,ああ,感動詞 一般 * * * *,22,6
なんて,なんて,なんて,助詞 副助詞 * * * *,22,6
あの,あの,彼の,連体詞 * * * * *,22,5
こんな,こんな,こんな,連体詞 * * * * *,22,5
美樹,美樹,美樹,名詞 固有名詞 人名 名 * *,22,5
あまあま,あまあま,甘々,形状詞 一般 * * * *,22,1
アドリーヌ,アドリーヌ,アドリーヌ,名詞 普通名詞 一般 * * *,21,7
人,人,人,名詞 普通名詞 一般 * * *,21,7
ば,ば,ば,助詞 接続助詞 * * * *,21,6
