Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,53,1
は,は,は,助詞 係助詞 * * * *,47,1
に,に,に,助詞 格助詞 * * * *,44,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,43,1
の,の,の,助詞 格助詞 * * * *,43,1
よ,よ,よ,助詞 終助詞 * * * *,38,1
〜,〜,〜,補助記号 一般 * * * *,34,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,29,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,29,1
が,が,が,助詞 格助詞 * * * *,28,1
か,か,か,助詞 終助詞 * * * *,26,1
で,で,で,助詞 格助詞 * * * *,25,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,24,1
ん,ん,の,助詞 準体助詞 * * * *,24,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,23,1
と,と,と,助詞 格助詞 * * * *,22,1
を,を,を,助詞 格助詞 * * * *,22,1
も,も,も,助詞 係助詞 * * * *,19,1
な,な,な,助詞 終助詞 * * * *,17,1
おれ,おれ,俺,代名詞 * * * * *,16,1
吾郎,吾郎,吾郎,名詞 固有名詞 人名 名 * *,16,1
の,の,の,助詞 準体助詞 * * * *,15,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,14,1
から,から,から,助詞 接続助詞 * * * *,13,1
茂野,茂野,茂野,名詞 固有名詞 人名 姓 * *,13,1
何,何,何,代名詞 * * * * *,12,1
君,君,君,接尾辞 名詞的 一般 * * *,12,1
か,か,か,助詞 副助詞 * * * *,11,1
けど,けど,けれど,助詞 接続助詞 * * * *,11,1
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,11,1
おじ,おじ,伯父,名詞 普通名詞 一般 * * *,9,1
こと,こと,こと,名詞 普通名詞 一般 * * *,9,1
その,その,其の,連体詞 * * * * *,9,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,9,1
おと,おと,音,名詞 普通名詞 一般 * * *,8,1
から,から,から,助詞 格助詞 * * * *,8,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,8,1
って,って,って,助詞 副助詞 * * * *,8,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,8,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,8,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,8,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,8,1
ね,ね,ね,助詞 終助詞 * * * *,8,1
ハァ,ハァ,はあ,感動詞 一般 * * * *,8,1
本田,本田,本田,名詞 固有名詞 一般 * * *,8,1
あの,あの,彼の,連体詞 * * * * *,7,1
まで,まで,まで,助詞 副助詞 * * * *,7,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,7,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,7,1
かあさん,かあさん,かあさん,名詞 普通名詞 一般 * * *,6,1
これ,これ,此れ,代名詞 * * * * *,6,1
たち,たち,達,接尾辞 名詞的 一般 * * *,6,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,6,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,6,1
へ,へ,へ,助詞 格助詞 * * * *,6,1
また,また,又,接続詞 * * * * *,6,1
もう,もう,もう,副詞 * * * * *,6,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,6,1
桃子,桃子,桃子,名詞 固有名詞 人名 名 * *,6,1
肩,肩,肩,名詞 普通名詞 一般 * * *,6,1
野球,野球,野球,名詞 普通名詞 一般 * * *,6,1
い,い,い,助詞 終助詞 * * * *,5,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,5,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,5,1
いつ,いつ,いつ,代名詞 * * * * *,5,1
くる,くる,来る,動詞 非自立可能 * * カ行変格 終止形-一般,5,1
この,この,此の,連体詞 * * * * *,5,1
だけ,だけ,だけ,助詞 副助詞 * * * *,5,1
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,5,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,5,1
と,と,と,助詞 接続助詞 * * * *,5,1
どう,どう,どう,副詞 * * * * *,5,1
ね〜,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,5,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,5,1
今,今,今,名詞 普通名詞 副詞可能 * * *,5,1
小森,小森,小森,名詞 固有名詞 人名 姓 * *,5,1
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,5,1
球,球,玉,名詞 普通名詞 助数詞可能 * * *,5,1
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,5,1
あっ,あっ,あっ,感動詞 一般 * * * *,4,1
お,お,御,接頭辞 * * * * *,4,1
お前,お前,御前,代名詞 * * * * *,4,1
きっと,きっと,きっと,副詞 * * * * *,4,1
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,4,1
そう,そう,そう,副詞 * * * * *,4,1
ちょっと,ちょっと,一寸,副詞 * * * * *,4,1
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,4,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,4,1
なんて,なんて,なんて,助詞 副助詞 * * * *,4,1
わ,わ,わ,助詞 終助詞 * * * *,4,1
わかっ,わかる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,4,1
わけ,わけ,訳,名詞 普通名詞 一般 * * *,4,1
リトル,リトル,リトル,名詞 普通名詞 一般 * * *,4,1
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,4,1
僕,僕,僕,代名詞 * * * * *,4,1
優勝,優勝,優勝,名詞 普通名詞 サ変可能 * * *,4,1
前,前,前,名詞 普通名詞 副詞可能 * * *,4,1
勝っ,勝つ,勝つ,動詞 一般 * * 五段-タ行 連用形-促音便,4,1
学校,学校,学校,名詞 普通名詞 一般 * * *,4,1
帰っ,帰る,帰る,動詞 一般 * * 五段-ラ行 連用形-促音便,4,1
必ず,必ず,必ず,副詞 * * * * *,4,1
戻っ,戻る,戻る,動詞 一般 * * 五段-ラ行 連用形-促音便,4,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,4,1
結婚,結婚,結婚,名詞 普通名詞 サ変可能 * * *,4,1
試合,試合,試合,名詞 普通名詞 サ変可能 * * *,4,1
あいつ,あいつ,彼奴,代名詞 * * * * *,3,1
あと,あと,後,名詞 普通名詞 副詞可能 * * *,3,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,3,1
うん,うん,うん,感動詞 一般 * * * *,3,1
えっ,えっ,えっ,感動詞 一般 * * * *,3,1
おい,おい,おい,感動詞 一般 * * * *,3,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,3,1
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,3,1
それ,それ,其れ,代名詞 * * * * *,3,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,3,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,3,1
でき,できる,出来る,動詞 非自立可能 * * 上一段-カ行 未然形-一般,3,1
な〜,な〜,な,助詞 終助詞 * * * *,3,1
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,3,1
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,3,1
の,の,の,助詞 終助詞 * * * *,3,1
ば,ば,ば,助詞 接続助詞 * * * *,3,1
ほんと,ほんと,本当,名詞 普通名詞 一般 * * *,3,1
下さい,下さる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,3,1
体,体,体,名詞 普通名詞 一般 * * *,3,1
全員,全員,全員,名詞 普通名詞 副詞可能 * * *,3,1
別,別,別,名詞 普通名詞 形状詞可能 * * *,3,1
嫌わ,嫌う,嫌う,動詞 一般 * * 五段-ワア行 未然形-一般,3,1
子,子,子,名詞 普通名詞 一般 * * *,3,1
思う,思う,思う,動詞 一般 * * 五段-ワア行 終止形-一般,3,1
拍手,拍手,拍手,名詞 普通名詞 サ変可能 * * *,3,1
新,新,新,接頭辞 * * * * *,3,1
本田,本田,本田,名詞 固有名詞 人名 姓 * *,3,1
横浜,横浜,横浜,名詞 固有名詞 地名 一般 * *,3,1
父親,父親,父親,名詞 普通名詞 一般 * * *,3,1
練習,練習,練習,名詞 普通名詞 サ変可能 * * *,3,1
選手,選手,選手,名詞 普通名詞 一般 * * *,3,1
あ〜,あ〜,ああ,感動詞 一般 * * * *,2,1
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,2,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,2,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,2,1
ぇ,ぇ,ぇ,補助記号 一般 * * * *,2,1
え,え,えっ,感動詞 一般 * * * *,2,1
おせっかい,おせっかい,御節介,名詞 普通名詞 形状詞可能 * * *,2,1
おめでとう,おめでとう,おめでとう,感動詞 一般 * * * *,2,1
おやじ,おやじ,親父,名詞 普通名詞 一般 * * *,2,1
かぁ,かぁ,か,助詞 終助詞 * * * *,2,1
か月,か月,箇月,名詞 普通名詞 助数詞可能 * * *,2,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,2,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,2,1
くれる,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連体形-一般,2,1
ぐらい,ぐらい,くらい,助詞 副助詞 * * * *,2,1
こう,こう,こう,副詞 * * * * *,2,1
ここ,ここ,此処,代名詞 * * * * *,2,1
さ,さ,さ,接尾辞 名詞的 一般 * * *,2,1
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,2,1
さよなら,さよなら,さようなら,感動詞 一般 * * * *,2,1
し,し,し,助詞 接続助詞 * * * *,2,1
じゃ,じゃ,で,接続詞 * * * * *,2,1
すぐ,すぐ,直ぐ,副詞 * * * * *,2,1
すげ,すげ,菅,名詞 普通名詞 一般 * * *,2,1
すごく,すごい,凄い,形容詞 一般 * * 形容詞 連用形-一般,2,1
すっかり,すっかり,すっかり,副詞 * * * * *,2,1
すま,すむ,すむ,動詞 一般 * * 五段-マ行 未然形-一般,2,1
すみ,すむ,すむ,動詞 一般 * * 五段-マ行 連用形-一般,2,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,2,1
ず,ぬ,ず,助動詞 * * * 助動詞-ヌ 連用形-一般,2,1
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,2,1
そう,そう,そう,形状詞 助動詞語幹 * * * *,2,1
たく,たい,たい,助動詞 * * * 助動詞-タイ 連用形-一般,2,1
たった,たった,唯,副詞 * * * * *,2,1
たって,たって,たって,助詞 接続助詞 * * * *,2,1
だ,だ,た,助動詞 * * * 助動詞-タ 連体形-一般,2,1
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,2,1
て,て,って,助詞 副助詞 * * * *,2,1
て,てる,てる,助動詞 * * * 下一段-タ行 連体形-省略,2,1
なぁ,なぁ,な,助詞 終助詞 * * * *,2,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,2,1
なかっ,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-促音便,2,1
なきゃ,ない,ない,助動詞 * * * 助動詞-ナイ 仮定形-融合,2,1
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,2,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,2,1
ね〜,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,2,1
ねぇ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,2,1
はず,はず,筈,名詞 普通名詞 一般 * * *,2,1
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,2,1
やっぱ,やっぱ,矢張り,副詞 * * * * *,2,1
やっぱり,やっぱり,矢張り,副詞 * * * * *,2,1
よ〜,よ〜,よ,助詞 終助詞 * * * *,2,1
よう,よう,様,形状詞 助動詞語幹 * * * *,2,1
ら,ら,等,接尾辞 名詞的 一般 * * *,2,1
わから,わかる,分かる,動詞 一般 * * 五段-ラ行 未然形-一般,2,1
わり,わり,割,名詞 普通名詞 助数詞可能 * * *,2,1
ん,ん,んっ,感動詞 一般 * * * *,2,1
アッハハ,アッハハ,アッハハ,名詞 普通名詞 一般 * * *,2,1
オッサン,オッサン,オッサン,名詞 普通名詞 一般 * * *,2,1
ゲーム,ゲーム,ゲーム,名詞 普通名詞 一般 * * *,2,1
