Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,69,1
の,の,の,助詞 格助詞 * * * *,65,1
に,に,に,助詞 格助詞 * * * *,49,1
も,も,も,助詞 係助詞 * * * *,45,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,44,1
て,て,て,助詞 接続助詞 * * * *,37,1
と,と,と,助詞 格助詞 * * * *,25,1
を,を,を,助詞 格助詞 * * * *,25,1
で,で,で,助詞 格助詞 * * * *,24,1
から,から,から,助詞 格助詞 * * * *,23,1
が,が,が,助詞 格助詞 * * * *,23,1
ね,ね,ね,助詞 終助詞 * * * *,22,1
よ,よ,よ,助詞 終助詞 * * * *,22,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,21,1
くん,くん,君,接尾辞 名詞的 一般 * * *,19,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,19,1
ノボル,ノボル,ノボル,名詞 固有名詞 人名 名 * *,19,1
ん,ん,の,助詞 準体助詞 * * * *,17,1
か,か,か,助詞 副助詞 * * * *,15,1
って,って,って,助詞 副助詞 * * * *,15,1
メール,メール,メール,名詞 普通名詞 サ変可能 * * *,14,1
わたし,わたし,私,代名詞 * * * * *,13,1
こと,こと,こと,名詞 普通名詞 一般 * * *,12,1
ミカコ,ミカコ,ミカコ,名詞 固有名詞 人名 名 * *,12,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,11,1
の,の,の,助詞 準体助詞 * * * *,11,1
まで,まで,まで,助詞 副助詞 * * * *,11,1
長峰,長峰,長峰,名詞 固有名詞 人名 姓 * *,11,1
年,年,年,名詞 普通名詞 助数詞可能 * * *,10,1
けど,けど,けれど,助詞 接続助詞 * * * *,9,1
だけ,だけ,だけ,助詞 副助詞 * * * *,9,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,9,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,8,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,8,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,8,1
うん,うん,うん,感動詞 一般 * * * *,8,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,8,1
ねえ,ねえ,ねえ,感動詞 一般 * * * *,8,1
の,の,の,助詞 終助詞 * * * *,8,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,8,1
か,か,か,助詞 終助詞 * * * *,7,1
ずっと,ずっと,ずっと,副詞 * * * * *,7,1
私,私,私,代名詞 * * * * *,7,1
ここ,ここ,此処,代名詞 * * * * *,6,1
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,6,1
リシテア,リシテア,リシテア,名詞 普通名詞 一般 * * *,6,1
一,一,1,名詞 数詞 * * * *,6,1
時間,時間,時間,名詞 普通名詞 助数詞可能 * * *,6,1
木星,木星,木星,名詞 固有名詞 一般 * * *,6,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,5,1
から,から,から,助詞 接続助詞 * * * *,5,1
この,この,此の,連体詞 * * * * *,5,1
そう,そう,そう,副詞 * * * * *,5,1
どこ,どこ,どこ,代名詞 * * * * *,5,1
な,な,な,助詞 終助詞 * * * *,5,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,5,1
なに,なに,何,代名詞 * * * * *,5,1
ぼく,ぼく,僕,代名詞 * * * * *,5,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,5,1
シリウス,シリウス,シリウス,名詞 固有名詞 一般 * * *,5,1
何,何,何,代名詞 * * * * *,5,1
あの,あの,彼の,連体詞 * * * * *,4,1
いく,いく,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,4,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,4,1
お,お,御,接頭辞 * * * * *,4,1
かかる,かかる,掛かる,動詞 非自立可能 * * 五段-ラ行 連体形-一般,4,1
きっと,きっと,きっと,副詞 * * * * *,4,1
これ,これ,此れ,代名詞 * * * * *,4,1
たい,たい,たい,助動詞 * * * 助動詞-タイ 連体形-一般,4,1
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,4,1
もう,もう,もう,副詞 * * * * *,4,1
中学,中学,中学,名詞 普通名詞 一般 * * *,4,1
人,人,人,接尾辞 名詞的 一般 * * *,4,1
号,号,号,名詞 普通名詞 助数詞可能 * * *,4,1
地球,地球,地球,名詞 普通名詞 一般 * * *,4,1
夏,夏,夏,名詞 普通名詞 副詞可能 * * *,4,1
太陽系,太陽系,太陽系,名詞 普通名詞 一般 * * *,4,1
宇宙,宇宙,宇宙,名詞 普通名詞 一般 * * *,4,1
届く,届く,届く,動詞 一般 * * 五段-カ行 連体形-一般,4,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,4,1
火星,火星,火星,名詞 固有名詞 一般 * * *,4,1
雨,雨,雨,名詞 普通名詞 一般 * * *,4,1
雲,雲,雲,名詞 普通名詞 一般 * * *,4,1
頃,頃,頃,名詞 普通名詞 副詞可能 * * *,4,1
高校,高校,高校,名詞 普通名詞 一般 * * *,4,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,3,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,3,1
し,し,し,助詞 接続助詞 * * * *,3,1
それ,それ,其れ,代名詞 * * * * *,3,1
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,3,1
たち,たち,達,接尾辞 名詞的 一般 * * *,3,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,3,1
ちゃう,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 終止形-一般,3,1
どう,どう,どう,副詞 * * * * *,3,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,3,1
もっと,もっと,もっと,副詞 * * * * *,3,1
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,3,1
コンビニ,コンビニ,コンビニ,名詞 普通名詞 一般 * * *,3,1
タルシス,タルシス,タルシス,名詞 固有名詞 地名 一般 * *,3,1
メンバー,メンバー,メンバー,名詞 普通名詞 一般 * * *,3,1
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,3,1
世界,世界,世界,名詞 普通名詞 一般 * * *,3,1
今,今,今,名詞 普通名詞 副詞可能 * * *,3,1
僕,僕,僕,代名詞 * * * * *,3,1
先,先,先,名詞 普通名詞 副詞可能 * * *,3,1
出発,出発,出発,名詞 普通名詞 サ変可能 * * *,3,1
匂い,匂い,匂い,名詞 普通名詞 一般 * * *,3,1
後,後,後,名詞 普通名詞 副詞可能 * * *,3,1
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,3,1
私たち,私たち,私達,名詞 普通名詞 一般 * * *,3,1
艦隊,艦隊,艦隊,名詞 普通名詞 一般 * * *,3,1
調査,調査,調査,名詞 普通名詞 サ変可能 * * *,3,1
距離,距離,距離,名詞 普通名詞 一般 * * *,3,1
遠く,遠い,遠い,形容詞 一般 * * 形容詞 連用形-一般,3,1
選抜,選抜,選抜,名詞 普通名詞 サ変可能 * * *,3,1
あなた,あなた,貴方,代名詞 * * * * *,2,1
いま,いま,今,名詞 普通名詞 副詞可能 * * *,2,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,2,1
ずれ,ずれる,ずれる,動詞 一般 * * 下一段-ラ行 連用形-一般,2,1
ただいま,ただいま,只今,名詞 普通名詞 副詞可能 * * *,2,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,2,1
で,で,で,助詞 接続助詞 * * * *,2,1
どんどん,どんどん,どんどん,副詞 * * * * *,2,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,2,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,2,1
なきゃ,ない,ない,助動詞 * * * 助動詞-ナイ 仮定形-融合,2,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,2,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,2,1
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,2,1
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,2,1
ば,ば,ば,助詞 接続助詞 * * * *,2,1
ふう,ふう,風,名詞 普通名詞 形状詞可能 * * *,2,1
へ,へ,へ,助詞 格助詞 * * * *,2,1
まあ,まあ,まあ,副詞 * * * * *,2,1
また,また,又,副詞 * * * * *,2,1
よう,よう,様,形状詞 助動詞語幹 * * * *,2,1
よく,よく,良く,副詞 * * * * *,2,1
よー,よー,よ,助詞 終助詞 * * * *,2,1
ら,ら,等,接尾辞 名詞的 一般 * * *,2,1
わかっ,わかる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,2,1
わたしたち,わたしたち,私達,名詞 普通名詞 一般 * * *,2,1
アガルタ,アガルタ,アガルタ,名詞 固有名詞 地名 一般 * *,2,1
オレ,オレ,俺,代名詞 * * * * *,2,1
