Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,716,12
は,は,は,助詞 係助詞 * * * *,697,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,654,12
に,に,に,助詞 格助詞 * * * *,593,12
の,の,の,助詞 格助詞 * * * *,579,12
よ,よ,よ,助詞 終助詞 * * * *,508,12
も,も,も,助詞 係助詞 * * * *,472,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,433,12
が,が,が,助詞 格助詞 * * * *,431,12
で,で,で,助詞 格助詞 * * * *,394,12
ん,ん,の,助詞 準体助詞 * * * *,370,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,367,12
か,か,か,助詞 終助詞 * * * *,364,12
ね,ね,ね,助詞 終助詞 * * * *,338,12
と,と,と,助詞 格助詞 * * * *,329,12
何,何,何,代名詞 * * * * *,315,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,313,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,268,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,256,12
を,を,を,助詞 格助詞 * * * *,251,12
な,な,な,助詞 終助詞 * * * *,229,12
の,の,の,助詞 準体助詞 * * * *,226,12
か,か,か,助詞 副助詞 * * * *,212,12
芹沼,芹沼,芹沼,名詞 固有名詞 地名 一般 * *,187,12
〜,〜,〜,補助記号 一般 * * * *,186,12
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,179,12
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,177,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,175,12
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,174,12
って,って,って,助詞 副助詞 * * * *,170,12
俺,俺,俺,代名詞 * * * * *,166,12
から,から,から,助詞 接続助詞 * * * *,161,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,156,12
えッ,えッ,えっ,感動詞 一般 * * * *,154,12
四ノ宮,四ノ宮,四ノ宮,名詞 固有名詞 地名 一般 * *,152,12
そう,そう,そう,副詞 * * * * *,149,12
あッ,あッ,あっ,感動詞 一般 * * * *,140,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,136,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,134,12
の,の,の,助詞 終助詞 * * * *,131,12
私,私,私,代名詞 * * * * *,131,12
こと,こと,こと,名詞 普通名詞 一般 * * *,130,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,121,12
六,六,6,名詞 数詞 * * * *,120,12
君,君,君,接尾辞 名詞的 一般 * * *,120,12
どう,どう,どう,副詞 * * * * *,117,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,109,12
これ,これ,此れ,代名詞 * * * * *,106,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,106,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,106,12
けど,けど,けれど,助詞 接続助詞 * * * *,103,12
それ,それ,其れ,代名詞 * * * * *,100,12
うん,うん,うん,感動詞 一般 * * * *,98,12
し,し,し,助詞 接続助詞 * * * *,95,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,93,12
志麻,志麻,志麻,名詞 固有名詞 人名 名 * *,92,9
お,お,御,接頭辞 * * * * *,91,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,89,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,85,12
あの,あの,彼の,連体詞 * * * * *,81,12
七島,七島,七島,名詞 普通名詞 一般 * * *,79,12
五十嵐,五十嵐,五十嵐,名詞 固有名詞 人名 姓 * *,77,12
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,76,12
･,・,・,補助記号 一般 * * * *,76,12
この,この,此の,連体詞 * * * * *,75,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,73,12
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,73,12
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,72,12
はい,はい,はい,感動詞 一般 * * * *,71,11
ああ,ああ,ああ,感動詞 一般 * * * *,68,12
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,67,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,66,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,65,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,64,12
花依,花依,花依,名詞 固有名詞 人名 名 * *,64,12
お前,お前,御前,代名詞 * * * * *,63,11
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,61,12
もう,もう,もう,副詞 * * * * *,61,12
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,60,12
から,から,から,助詞 格助詞 * * * *,59,11
ッ,ッ,ッ,名詞 普通名詞 一般 * * *,57,12
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,55,12
ら,ら,等,接尾辞 名詞的 一般 * * *,53,12
人,人,人,名詞 普通名詞 一般 * * *,53,12
今,今,今,名詞 普通名詞 副詞可能 * * *,53,12
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,53,11
達,達,達,接尾辞 名詞的 一般 * * *,52,11
ホント,ホント,本当,名詞 普通名詞 一般 * * *,51,12
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,50,12
僕,僕,僕,代名詞 * * * * *,50,11
その,その,其の,連体詞 * * * * *,49,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,49,12
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,49,11
好き,好き,好き,形状詞 一般 * * * *,48,11
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,47,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,45,12
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,45,12
ここ,ここ,此処,代名詞 * * * * *,45,11
シオン,シオン,シオン,名詞 普通名詞 一般 * * *,45,10
じゃあ,じゃあ,で,接続詞 * * * * *,44,11
で,で,で,助詞 接続助詞 * * * *,43,12
殿,殿,殿,名詞 普通名詞 一般 * * *,43,5
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,42,12
ば,ば,ば,助詞 接続助詞 * * * *,42,12
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,42,11
まで,まで,まで,助詞 副助詞 * * * *,42,11
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,41,11
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,40,12
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,40,12
ちょっと,ちょっと,一寸,副詞 * * * * *,40,11
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,40,11
こんな,こんな,こんな,連体詞 * * * * *,39,11
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,38,12
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,38,10
あれ,あれ,彼れ,代名詞 * * * * *,37,12
そんな,そんな,そんな,連体詞 * * * * *,37,11
いや,いや,否,感動詞 一般 * * * *,36,12
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,36,11
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,35,11
誰,誰,誰,代名詞 * * * * *,35,11
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,35,10
だけ,だけ,だけ,助詞 副助詞 * * * *,34,12
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,34,12
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,34,11
と,と,と,助詞 接続助詞 * * * *,33,11
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,33,11
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,33,10
て,てる,てる,助動詞 * * * 下一段-タ行 連体形-省略,33,10
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,32,11
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,32,11
もの,もの,物,名詞 普通名詞 サ変可能 * * *,32,8
こう,こう,こう,副詞 * * * * *,31,12
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,31,10
男,男,男,名詞 普通名詞 一般 * * *,31,10
