Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,5219,44
は,は,は,助詞 係助詞 * * * *,3685,44
に,に,に,助詞 格助詞 * * * *,3520,44
て,て,て,助詞 接続助詞 * * * *,3162,44
を,を,を,助詞 格助詞 * * * *,2982,44
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2735,44
が,が,が,助詞 格助詞 * * * *,2566,44
と,と,と,助詞 格助詞 * * * *,2050,44
も,も,も,助詞 係助詞 * * * *,1940,44
で,で,で,助詞 格助詞 * * * *,1889,44
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1787,44
〜,〜,〜,補助記号 一般 * * * *,1593,44
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,1554,44
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1482,44
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1357,44
よ,よ,よ,助詞 終助詞 * * * *,1227,44
の,の,の,助詞 準体助詞 * * * *,1194,44
か,か,か,助詞 終助詞 * * * *,1083,44
ん,ん,の,助詞 準体助詞 * * * *,971,44
な,な,な,助詞 終助詞 * * * *,868,44
ね,ね,ね,助詞 終助詞 * * * *,820,44
創真,創真,創真,名詞 固有名詞 人名 名 * *,799,44
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,709,44
こと,こと,こと,名詞 普通名詞 一般 * * *,682,44
って,って,って,助詞 副助詞 * * * *,646,44
か,か,か,助詞 副助詞 * * * *,594,44
この,この,此の,連体詞 * * * * *,560,44
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,559,43
俺,俺,俺,代名詞 * * * * *,550,43
料理,料理,料理,名詞 普通名詞 サ変可能 * * *,520,44
あっ,あっ,あっ,感動詞 一般 * * * *,506,44
幸平,幸平,幸平,名詞 固有名詞 人名 名 * *,495,44
それ,それ,其れ,代名詞 * * * * *,483,44
お,お,御,接頭辞 * * * * *,472,44
から,から,から,助詞 接続助詞 * * * *,457,44
から,から,から,助詞 格助詞 * * * *,439,44
何,何,何,代名詞 * * * * *,420,44
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,417,43
そう,そう,そう,副詞 * * * * *,412,44
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,404,44
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,402,43
私,私,私,代名詞 * * * * *,397,42
えり,えり,襟,名詞 普通名詞 一般 * * *,393,40
わ,わ,わ,助詞 終助詞 * * * *,389,44
･,・,・,補助記号 一般 * * * *,389,44
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,371,44
これ,これ,此れ,代名詞 * * * * *,365,44
どう,どう,どう,副詞 * * * * *,356,44
君,君,君,接尾辞 名詞的 一般 * * *,356,44
その,その,其の,連体詞 * * * * *,347,44
恵,恵,恵,名詞 固有名詞 人名 名 * *,335,41
なん,なん,何,代名詞 * * * * *,321,43
たち,たち,達,接尾辞 名詞的 一般 * * *,318,44
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,307,44
まで,まで,まで,助詞 副助詞 * * * *,297,44
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,295,44
けど,けど,けれど,助詞 接続助詞 * * * *,292,43
だけ,だけ,だけ,助詞 副助詞 * * * *,290,44
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,280,37
お前,お前,御前,代名詞 * * * * *,279,42
食,食,食,名詞 普通名詞 助数詞可能 * * *,278,42
さん,さん,さん,接尾辞 名詞的 一般 * * *,277,44
ああ,ああ,ああ,感動詞 一般 * * * *,273,43
タクミ,タクミ,タクミ,名詞 固有名詞 人名 名 * *,267,31
あの,あの,彼の,連体詞 * * * * *,264,43
が,が,が,助詞 接続助詞 * * * *,263,43
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,260,41
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,258,43
よう,よう,様,形状詞 助動詞語幹 * * * *,257,44
ば,ば,ば,助詞 接続助詞 * * * *,255,43
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,251,43
一色,一色,一色,名詞 普通名詞 一般 * * *,249,25
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,238,43
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,238,42
堂島,堂島,堂島,名詞 固有名詞 地名 一般 * *,236,18
悠姫,悠姫,悠姫,名詞 固有名詞 人名 名 * *,235,36
薙切,薙切,薙切,名詞 普通名詞 一般 * * *,231,37
今,今,今,名詞 普通名詞 副詞可能 * * *,229,44
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,228,43
城一郎,城一郎,城一郎,名詞 固有名詞 人名 名 * *,227,17
えっ,えっ,えっ,感動詞 一般 * * * *,223,43
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,222,42
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,221,43
さ,さ,さ,接尾辞 名詞的 一般 * * *,220,41
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,217,43
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,215,42
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,215,42
戟,戟,戟,名詞 普通名詞 一般 * * *,214,40
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,213,40
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,211,44
もう,もう,もう,副詞 * * * * *,211,44
で,で,で,助詞 接続助詞 * * * *,211,43
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,209,42
の,の,の,助詞 終助詞 * * * *,208,44
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,208,43
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,203,42
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,201,44
君,君,君,代名詞 * * * * *,200,39
なんて,なんて,なんて,助詞 副助詞 * * * *,199,43
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,199,42
品,品,品,名詞 普通名詞 助数詞可能 * * *,196,41
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,192,43
え,え,えー,感動詞 フィラー * * * *,192,37
十傑,十傑,十傑,名詞 普通名詞 一般 * * *,189,34
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,188,43
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,187,43
ら,ら,等,接尾辞 名詞的 一般 * * *,181,42
田所,田所,田所,名詞 固有名詞 人名 姓 * *,180,36
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,179,44
音,音,音,名詞 普通名詞 一般 * * *,179,37
もの,もの,物,名詞 普通名詞 サ変可能 * * *,175,42
うん,うん,うん,感動詞 一般 * * * *,173,41
っす,っす,っす,助動詞 * * * 助動詞-デス 終止形-一般,171,40
や,や,や,助詞 副助詞 * * * *,170,43
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,169,42
勝負,勝負,勝負,名詞 普通名詞 サ変可能 * * *,169,35
様,様,様,接尾辞 名詞的 一般 * * *,168,33
へ,へ,へ,助詞 格助詞 * * * *,165,40
郁魅,郁魅,郁魅,名詞 固有名詞 人名 名 * *,164,28
薊,薊,薊,名詞 普通名詞 一般 * * *,164,20
ん,ん,んっ,感動詞 一般 * * * *,161,41
葉山,葉山,葉山,名詞 固有名詞 地名 一般 * *,161,18
月,月,月,名詞 普通名詞 助数詞可能 * * *,157,41
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,157,41
一,一,1,名詞 数詞 * * * *,156,40
食材,食材,食材,名詞 普通名詞 一般 * * *,153,38
第,第,第,接頭辞 * * * * *,153,32
肉,肉,肉,名詞 普通名詞 一般 * * *,152,25
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,151,42
さ,さ,さ,助詞 終助詞 * * * *,150,39
そんな,そんな,そんな,連体詞 * * * * *,149,41
味,味,味,名詞 普通名詞 一般 * * *,149,38
竜胆,竜胆,竜胆,名詞 普通名詞 一般 * * *,149,21
そして,そして,そして,接続詞 * * * * *,145,41
席,席,席,名詞 普通名詞 一般 * * *,144,29
生徒,生徒,生徒,名詞 普通名詞 一般 * * *,144,23
四宮,四宮,四宮,名詞 固有名詞 人名 姓 * *,144,13
皿,皿,皿,名詞 普通名詞 助数詞可能 * * *,142,31
久我,久我,久我,名詞 固有名詞 人名 姓 * *,142,14
わけ,わけ,訳,名詞 普通名詞 一般 * * *,141,43
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,140,41
学生,学生,学生,名詞 普通名詞 一般 * * *,140,19
涼子,涼子,涼子,名詞 固有名詞 人名 名 * *,138,35
一同,一同,一同,名詞 普通名詞 一般 * * *,136,35
料理人,料理人,料理人,名詞 普通名詞 一般 * * *,134,39
し,し,し,助詞 接続助詞 * * * *,133,41
麗,麗,麗,名詞 固有名詞 人名 名 * *,133,18
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,132,42
ここ,ここ,此処,代名詞 * * * * *,132,39
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,132,39
遠,遠,遠,接頭辞 * * * * *,132,38
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,131,40
僕,僕,僕,代名詞 * * * * *,131,34
す,す,っす,助動詞 * * * 助動詞-デス 終止形-一般,130,35
りな,りな,りな,名詞 固有名詞 人名 名 * *,130,28
あ,あ,あっ,感動詞 一般 * * * *,129,39
なぁ,なぁ,な,助詞 終助詞 * * * *,125,28
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,120,39
うっ,うっ,うう,感動詞 一般 * * * *,120,37
いや,いや,否,感動詞 一般 * * * *,119,40
い,い,い,助詞 終助詞 * * * *,119,39
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,118,39
人,人,人,名詞 普通名詞 一般 * * *,117,38
はい,はい,はい,感動詞 一般 * * * *,117,32
緋沙子,緋沙子,緋沙子,名詞 固有名詞 人名 名 * *,116,32
青木,青木,青木,名詞 固有名詞 人名 姓 * *,116,30
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,114,35
ん,ん,ん,助詞 格助詞 * * * *,113,39
調理,調理,調理,名詞 普通名詞 サ変可能 * * *,112,36
アリス,アリス,アリス,名詞 固有名詞 人名 一般 * *,111,26
まだ,まだ,未だ,副詞 * * * * *,110,40
香り,香り,香り,名詞 普通名詞 一般 * * *,109,28
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,108,40
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,108,39
んっ,んっ,んっ,感動詞 一般 * * * *,108,30
学園,学園,学園,名詞 普通名詞 一般 * * *,107,32
佐藤,佐藤,佐藤,名詞 固有名詞 人名 姓 * *,107,31
アン,アン,アン,名詞 固有名詞 人名 一般 * *,107,13
蕎麦,蕎麦,蕎麦,名詞 普通名詞 一般 * * *,107,3
はっ,はっ,はっ,感動詞 一般 * * * *,106,35
人,人,人,接尾辞 名詞的 一般 * * *,106,34
そう,そう,そう,形状詞 助動詞語幹 * * * *,104,41
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,104,37
ため,ため,為,名詞 普通名詞 副詞可能 * * *,104,37
とき,とき,時,名詞 普通名詞 副詞可能 * * *,104,32
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,104,26
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,103,34
丸井,丸井,丸井,名詞 固有名詞 一般 * * *,103,25
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,101,39
こんな,こんな,こんな,連体詞 * * * * *,99,37
まあ,まあ,まあ,副詞 * * * * *,98,38
風味,風味,風味,名詞 普通名詞 一般 * * *,98,30
もも,もも,もも,名詞 普通名詞 一般 * * *,97,11
より,より,より,助詞 格助詞 * * * *,96,37
ちょっと,ちょっと,一寸,副詞 * * * * *,95,30
作っ,作る,作る,動詞 一般 * * 五段-ラ行 連用形-促音便,94,37
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,94,37
自分,自分,自分,名詞 普通名詞 一般 * * *,94,36
司,司,司,名詞 固有名詞 人名 姓 * *,94,16
と,と,と,助詞 接続助詞 * * * *,93,40
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,92,39
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,92,36
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,90,35
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,90,34
あと,あと,後,名詞 普通名詞 副詞可能 * * *,90,32
斎藤,斎藤,斎藤,名詞 固有名詞 人名 姓 * *,90,12
ゆきひら,ゆきひら,行平,名詞 普通名詞 一般 * * *,89,39
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,89,36
時間,時間,時間,名詞 普通名詞 助数詞可能 * * *,89,34
客,客,客,名詞 普通名詞 一般 * * *,89,19
中,中,中,名詞 普通名詞 副詞可能 * * *,88,39
誰,誰,誰,代名詞 * * * * *,88,35
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,88,34
次,次,次,名詞 普通名詞 一般 * * *,88,33
女,女,女,名詞 普通名詞 一般 * * *,88,24
紀ノ国,紀ノ国,紀ノ国,名詞 固有名詞 地名 一般 * *,88,11
叡山,叡山,叡山,名詞 固有名詞 地名 一般 * *,87,18
気,気,気,名詞 普通名詞 一般 * * *,86,37
ああっ,ああっ,ああ,感動詞 一般 * * * *,85,28
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,85,24
ふみ,ふみ,ふみ,名詞 固有名詞 人名 名 * *,85,6
前,前,前,名詞 普通名詞 副詞可能 * * *,84,38
アルディーニ,アルディーニ,アルディーニ,名詞 普通名詞 一般 * * *,84,26
緒,緒,緒,名詞 普通名詞 一般 * * *,84,6
ねぇ,ねぇ,ね,助詞 終助詞 * * * *,83,23
試験,試験,試験,名詞 普通名詞 サ変可能 * * *,83,18
男子,男子,男子,名詞 普通名詞 一般 * * *,82,16
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,81,31
日向子,日向子,日向子,名詞 固有名詞 人名 名 * *,81,7
み,みる,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,80,36
れる,れる,れる,助動詞 * * * 助動詞-レル 連体形-一般,80,34
