Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,217,1
は,は,は,助詞 係助詞 * * * *,183,1
に,に,に,助詞 格助詞 * * * *,157,1
て,て,て,助詞 接続助詞 * * * *,156,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,153,1
が,が,が,助詞 格助詞 * * * *,135,1
芳佳,芳佳,芳佳,名詞 固有名詞 人名 名 * *,130,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,116,1
あっ,あっ,あっ,感動詞 一般 * * * *,112,1
〜,〜,〜,補助記号 一般 * * * *,107,1
を,を,を,助詞 格助詞 * * * *,107,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,95,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,94,1
も,も,も,助詞 係助詞 * * * *,83,1
宮藤,宮藤,宮藤,名詞 固有名詞 人名 姓 * *,82,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,77,1
と,と,と,助詞 格助詞 * * * *,73,1
よ,よ,よ,助詞 終助詞 * * * *,73,1
静夏,静夏,静夏,名詞 固有名詞 人名 名 * *,73,1
で,で,で,助詞 格助詞 * * * *,70,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,68,1
ネウロイ,ネウロイ,ネウロイ,名詞 普通名詞 一般 * * *,64,1
ん,ん,の,助詞 準体助詞 * * * *,60,1
ね,ね,ね,助詞 終助詞 * * * *,58,1
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,56,1
か,か,か,助詞 終助詞 * * * *,54,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,45,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,44,1
わ,わ,わ,助詞 終助詞 * * * *,44,1
少尉,少尉,少尉,名詞 普通名詞 一般 * * *,40,1
の,の,の,助詞 準体助詞 * * * *,39,1
えっ,えっ,えっ,感動詞 一般 * * * *,38,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,37,1
私,私,私,代名詞 * * * * *,36,1
うっ,うっ,うう,感動詞 一般 * * * *,35,1
から,から,から,助詞 接続助詞 * * * *,35,1
んっ,んっ,んっ,感動詞 一般 * * * *,35,1
ペリーヌ,ペリーヌ,ペリーヌ,名詞 普通名詞 一般 * * *,35,1
ミーナ,ミーナ,ミーナ,名詞 固有名詞 人名 一般 * *,34,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,32,1
バルク,バルク,バルク,名詞 普通名詞 一般 * * *,31,1
