Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,723,12
て,て,て,助詞 接続助詞 * * * *,644,12
の,の,の,助詞 格助詞 * * * *,619,12
に,に,に,助詞 格助詞 * * * *,612,12
が,が,が,助詞 格助詞 * * * *,504,12
を,を,を,助詞 格助詞 * * * *,477,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,472,12
よ,よ,よ,助詞 終助詞 * * * *,336,12
も,も,も,助詞 係助詞 * * * *,311,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,308,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,308,12
と,と,と,助詞 格助詞 * * * *,304,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,291,12
ん,ん,の,助詞 準体助詞 * * * *,274,12
で,で,で,助詞 格助詞 * * * *,273,12
か,か,か,助詞 終助詞 * * * *,221,12
何,何,何,代名詞 * * * * *,215,12
魔法,魔法,魔法,名詞 普通名詞 一般 * * *,206,11
の,の,の,助詞 準体助詞 * * * *,184,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,179,12
俺,俺,俺,代名詞 * * * * *,178,12
こと,こと,こと,名詞 普通名詞 一般 * * *,163,12
な,な,な,助詞 終助詞 * * * *,162,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,154,12
武,武,武,名詞 普通名詞 一般 * * *,151,12
ね,ね,ね,助詞 終助詞 * * * *,138,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,134,12
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,130,12
あッ,あッ,あっ,感動詞 一般 * * * *,127,12
って,って,って,助詞 副助詞 * * * *,126,11
の,の,の,助詞 終助詞 * * * *,125,12
六,六,6,名詞 数詞 * * * *,122,12
から,から,から,助詞 接続助詞 * * * *,120,12
〜,〜,〜,補助記号 一般 * * * *,112,12
どう,どう,どう,副詞 * * * * *,107,12
君,君,君,接尾辞 名詞的 一般 * * *,107,11
私,私,私,代名詞 * * * * *,104,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,103,12
か,か,か,助詞 副助詞 * * * *,99,12
えッ,えッ,えっ,感動詞 一般 * * * *,96,12
そう,そう,そう,副詞 * * * * *,92,12
月光,月光,月光,名詞 普通名詞 一般 * * *,91,11
武,武,武,名詞 固有名詞 人名 名 * *,89,11
それ,それ,其れ,代名詞 * * * * *,88,12
五十島,五十島,五十島,名詞 固有名詞 人名 姓 * *,85,11
これ,これ,此れ,代名詞 * * * * *,84,12
伊田,伊田,伊田,名詞 固有名詞 人名 姓 * *,83,12
お前,お前,御前,代名詞 * * * * *,82,11
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,78,12
わ,わ,わ,助詞 終助詞 * * * *,78,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,77,11
けど,けど,けれど,助詞 接続助詞 * * * *,76,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,75,11
