Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1112,13
は,は,は,助詞 係助詞 * * * *,912,13
を,を,を,助詞 格助詞 * * * *,754,13
に,に,に,助詞 格助詞 * * * *,752,13
て,て,て,助詞 接続助詞 * * * *,749,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,650,13
が,が,が,助詞 格助詞 * * * *,625,13
も,も,も,助詞 係助詞 * * * *,456,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,432,13
よ,よ,よ,助詞 終助詞 * * * *,426,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,386,13
と,と,と,助詞 格助詞 * * * *,369,13
で,で,で,助詞 格助詞 * * * *,365,13
の,の,の,助詞 準体助詞 * * * *,311,13
ん,ん,の,助詞 準体助詞 * * * *,297,13
か,か,か,助詞 終助詞 * * * *,294,13
〜,〜,〜,補助記号 一般 * * * *,214,13
俺,俺,俺,代名詞 * * * * *,192,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,167,13
な,な,な,助詞 終助詞 * * * *,164,13
お前,お前,御前,代名詞 * * * * *,163,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,156,13
事,事,事,名詞 普通名詞 一般 * * *,152,13
って,って,って,助詞 副助詞 * * * *,148,13
この,この,此の,連体詞 * * * * *,144,13
白面,白面,白面,名詞 普通名詞 一般 * * *,142,13
なん,なん,何,代名詞 * * * * *,141,13
槍,槍,槍,名詞 普通名詞 一般 * * *,140,13
ああ,ああ,ああ,感動詞 一般 * * * *,128,13
ら,ら,等,接尾辞 名詞的 一般 * * *,128,13
それ,それ,其れ,代名詞 * * * * *,120,13
から,から,から,助詞 接続助詞 * * * *,115,13
者,者,者,名詞 普通名詞 一般 * * *,111,13
潮,潮,潮,名詞 普通名詞 一般 * * *,107,11
獣,獣,獣,名詞 普通名詞 一般 * * *,106,13
何,何,何,代名詞 * * * * *,103,13
その,その,其の,連体詞 * * * * *,97,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,97,13
とら,とら,虎,名詞 普通名詞 一般 * * *,97,12
白面,白面,素面,名詞 普通名詞 一般 * * *,96,13
さん,さん,さん,接尾辞 名詞的 一般 * * *,94,12
か,か,か,助詞 副助詞 * * * *,93,13
から,から,から,助詞 格助詞 * * * *,93,13
我,我,我,代名詞 * * * * *,93,11
うっ,うっ,うう,感動詞 一般 * * * *,92,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,92,13
はあっ,はあっ,はあ,感動詞 一般 * * * *,91,13
私,私,私,代名詞 * * * * *,91,13
人間,人間,人間,名詞 普通名詞 一般 * * *,89,13
あっ,あっ,あっ,感動詞 一般 * * * *,88,13
達,達,達,接尾辞 名詞的 一般 * * *,86,13
これ,これ,此れ,代名詞 * * * * *,84,13
あいつ,あいつ,彼奴,代名詞 * * * * *,83,12
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,80,13
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,80,13
さ,さ,さ,助詞 終助詞 * * * *,79,13
ね,ね,ね,助詞 終助詞 * * * *,79,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,78,13
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,78,13
時,時,時,名詞 普通名詞 副詞可能 * * *,78,13
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,77,13
はっ,はっ,はっ,感動詞 一般 * * * *,76,13
人,人,人,名詞 普通名詞 一般 * * *,76,13
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,74,13
なあ,なあ,な,助詞 終助詞 * * * *,72,13
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,71,13
もう,もう,もう,副詞 * * * * *,68,13
だけ,だけ,だけ,助詞 副助詞 * * * *,67,13
そう,そう,そう,副詞 * * * * *,67,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,67,12
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,65,13
どう,どう,どう,副詞 * * * * *,64,12
おめえ,おめえ,御前,代名詞 * * * * *,63,10
わし,わし,わし,代名詞 * * * * *,63,10
ば,ば,ば,助詞 接続助詞 * * * *,62,12
っ,っ,っ,補助記号 一般 * * * *,61,13
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,61,13
もの,もの,物,名詞 普通名詞 サ変可能 * * *,61,13
あの,あの,彼の,連体詞 * * * * *,61,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,60,13
が,が,が,助詞 接続助詞 * * * *,59,13
今,今,今,名詞 普通名詞 副詞可能 * * *,59,13
あ,あ,あっ,感動詞 一般 * * * *,57,13
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,57,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,57,12
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,56,13
お,お,御,接頭辞 * * * * *,56,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,55,13
バケモノ,バケモノ,化け物,名詞 普通名詞 一般 * * *,55,12
そんな,そんな,そんな,連体詞 * * * * *,54,13
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,53,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,51,10
手,手,手,名詞 普通名詞 助数詞可能 * * *,50,13
結界,結界,結界,名詞 普通名詞 一般 * * *,49,11
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,48,13
