Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,4357,51
は,は,は,助詞 係助詞 * * * *,3944,51
て,て,て,助詞 接続助詞 * * * *,3588,51
に,に,に,助詞 格助詞 * * * *,3283,51
を,を,を,助詞 格助詞 * * * *,2628,51
が,が,が,助詞 格助詞 * * * *,2598,51
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2505,51
で,で,で,助詞 格助詞 * * * *,1952,51
も,も,も,助詞 係助詞 * * * *,1925,51
と,と,と,助詞 格助詞 * * * *,1834,51
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,1804,51
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1617,51
か,か,か,助詞 終助詞 * * * *,1569,51
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1501,51
よ,よ,よ,助詞 終助詞 * * * *,1437,51
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1388,51
って,って,って,助詞 副助詞 * * * *,1330,51
ん,ん,の,助詞 準体助詞 * * * *,1265,51
の,の,の,助詞 準体助詞 * * * *,1137,51
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,1092,51
こと,こと,こと,名詞 普通名詞 一般 * * *,871,51
な,な,な,助詞 終助詞 * * * *,854,51
ば,ば,ば,助詞 接続助詞 * * * *,823,51
リー,リー,リー,名詞 固有名詞 人名 一般 * *,813,51
ね,ね,ね,助詞 終助詞 * * * *,768,51
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,745,51
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,722,51
〜,〜,〜,補助記号 一般 * * * *,703,51
これ,これ,此れ,代名詞 * * * * *,667,51
か,か,か,助詞 副助詞 * * * *,661,51
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,632,51
それ,それ,其れ,代名詞 * * * * *,626,51
何,何,何,代名詞 * * * * *,624,51
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,613,51
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,603,51
僕,僕,僕,代名詞 * * * * *,590,50
この,この,此の,連体詞 * * * * *,571,51
なん,なん,何,代名詞 * * * * *,553,51
から,から,から,助詞 接続助詞 * * * *,549,51
俺,俺,俺,代名詞 * * * * *,541,51
ガイ,ガイ,ガイ,名詞 普通名詞 一般 * * *,539,43
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,521,51
そう,そう,そう,副詞 * * * * *,519,51
たち,たち,達,接尾辞 名詞的 一般 * * *,511,51
どう,どう,どう,副詞 * * * * *,494,51
ネジ,ネジ,螺子,名詞 普通名詞 一般 * * *,493,51
先生,先生,先生,名詞 普通名詞 一般 * * *,475,43
さん,さん,さん,接尾辞 名詞的 一般 * * *,467,49
テンテン,テンテン,点々,形状詞 タリ * * * *,464,51
様,様,様,接尾辞 名詞的 一般 * * *,462,42
ナルト,ナルト,ナルト,名詞 固有名詞 人名 名 * *,461,46
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,456,51
の,の,の,助詞 終助詞 * * * *,407,51
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,375,51
お,お,御,接頭辞 * * * * *,374,51
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,364,49
その,その,其の,連体詞 * * * * *,358,51
けど,けど,けれど,助詞 接続助詞 * * * *,356,51
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,349,50
丸,丸,丸,接尾辞 名詞的 一般 * * *,349,34
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,346,51
わ,わ,わ,助詞 終助詞 * * * *,337,48
君,君,君,接尾辞 名詞的 一般 * * *,336,48
から,から,から,助詞 格助詞 * * * *,335,51
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,327,51
私,私,私,代名詞 * * * * *,327,48
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,323,51
もう,もう,もう,副詞 * * * * *,312,50
お前,お前,御前,代名詞 * * * * *,306,49
が,が,が,助詞 接続助詞 * * * *,295,51
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,295,51
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,292,51
木,木,木,名詞 普通名詞 一般 * * *,281,46
