Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,7248,127
て,て,て,助詞 接続助詞 * * * *,7081,127
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,6433,127
は,は,は,助詞 係助詞 * * * *,5753,127
に,に,に,助詞 格助詞 * * * *,5428,127
を,を,を,助詞 格助詞 * * * *,4313,127
が,が,が,助詞 格助詞 * * * *,4165,127
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,4109,127
〜,〜,〜,補助記号 一般 * * * *,4034,127
よ,よ,よ,助詞 終助詞 * * * *,3539,127
な,な,な,助詞 終助詞 * * * *,3509,127
か,か,か,助詞 終助詞 * * * *,3505,127
も,も,も,助詞 係助詞 * * * *,3092,127
と,と,と,助詞 格助詞 * * * *,2929,127
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,2877,127
うん,うん,うん,感動詞 一般 * * * *,2806,127
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,2758,127
で,で,で,助詞 格助詞 * * * *,2514,127
ん,ん,の,助詞 準体助詞 * * * *,2438,127
の,の,の,助詞 準体助詞 * * * *,2397,127
悟空,悟空,悟空,名詞 固有名詞 人名 名 * *,2207,127
何,何,何,代名詞 * * * * *,2187,127
あっ,あっ,あっ,感動詞 一般 * * * *,2025,127
クリリン,クリリン,クリリン,名詞 普通名詞 一般 * * *,1591,89
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,1457,127
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,1417,127
こと,こと,こと,名詞 普通名詞 一般 * * *,1255,127
ヤムチャ,ヤムチャ,飲茶,名詞 普通名詞 一般 * * *,1251,95
この,この,此の,連体詞 * * * * *,1153,127
ああ,ああ,ああ,感動詞 一般 * * * *,1096,124
お前,お前,御前,代名詞 * * * * *,1073,126
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,1072,112
えっ,えっ,えっ,感動詞 一般 * * * *,1070,125
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,1068,125
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,1057,120
･,・,・,補助記号 一般 * * * *,1047,118
オラ,オラ,己,代名詞 * * * * *,1042,126
様,様,様,接尾辞 名詞的 一般 * * *,1000,120
どう,どう,どう,副詞 * * * * *,984,125
ね,ね,ね,助詞 終助詞 * * * *,964,120
やつ,やつ,奴,名詞 普通名詞 一般 * * *,949,127
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,947,127
って,って,って,助詞 副助詞 * * * *,942,125
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,933,127
わ,わ,わ,助詞 終助詞 * * * *,923,122
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,915,127
か,か,か,助詞 副助詞 * * * *,915,126
そう,そう,そう,副詞 * * * * *,911,127
たち,たち,達,接尾辞 名詞的 一般 * * *,902,119
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,882,122
天津飯,天津飯,天津飯,名詞 普通名詞 一般 * * *,832,65
ああっ,ああっ,ああ,感動詞 一般 * * * *,830,96
あげる,あげる,上げる,動詞 非自立可能 * * 下一段-ガ行 終止形-一般,819,127
これ,これ,此れ,代名詞 * * * * *,808,124
それ,それ,其れ,代名詞 * * * * *,806,124
から,から,から,助詞 接続助詞 * * * *,787,123
ウーロン,ウーロン,ウーロン,名詞 普通名詞 一般 * * *,786,77
お,お,御,接頭辞 * * * * *,781,127
あの,あの,彼の,連体詞 * * * * *,765,123
ボール,ボール,ボール,名詞 普通名詞 一般 * * *,749,126
俺,俺,俺,代名詞 * * * * *,711,113
ドラゴン,ドラゴン,ドラゴン,名詞 普通名詞 一般 * * *,710,126
うわっ,うわっ,うわ,感動詞 一般 * * * *,671,114
さん,さん,さん,接尾辞 名詞的 一般 * * *,669,108
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,665,119
もう,もう,もう,副詞 * * * * *,624,121
ロマンティック,ロマンティック,ロマンチック,形状詞 一般 * * * *,616,127
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,610,127
ば,ば,ば,助詞 接続助詞 * * * *,601,122
