Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,134,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,132,2
は,は,は,助詞 係助詞 * * * *,122,2
に,に,に,助詞 格助詞 * * * *,110,2
レオ,レオ,レオ,名詞 固有名詞 一般 * * *,78,2
て,て,て,助詞 接続助詞 * * * *,76,2
が,が,が,助詞 格助詞 * * * *,66,2
よ,よ,よ,助詞 終助詞 * * * *,66,2
ミシェーラ,ミシェーラ,ミシェーラ,名詞 普通名詞 一般 * * *,62,2
か,か,か,助詞 終助詞 * * * *,60,2
を,を,を,助詞 格助詞 * * * *,52,2
で,で,で,助詞 格助詞 * * * *,48,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,44,2
も,も,も,助詞 係助詞 * * * *,44,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,42,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,40,2
ん,ん,の,助詞 準体助詞 * * * *,40,2
ガミモヅ,ガミモヅ,ガミモヅ,名詞 普通名詞 一般 * * *,40,2
の,の,の,助詞 準体助詞 * * * *,38,2
〜,〜,〜,補助記号 一般 * * * *,36,2
と,と,と,助詞 格助詞 * * * *,36,2
か,か,か,助詞 副助詞 * * * *,32,2
な,な,な,助詞 終助詞 * * * *,30,2
ね,ね,ね,助詞 終助詞 * * * *,30,2
･,・,・,補助記号 一般 * * * *,30,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,28,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,28,2
なん,なん,何,代名詞 * * * * *,28,2
ザップ,ザップ,ザップ,名詞 固有名詞 一般 * * *,28,2
妹,妹,妹,名詞 普通名詞 一般 * * *,28,2
私,私,私,代名詞 * * * * *,26,2
こと,こと,こと,名詞 普通名詞 一般 * * *,24,2
そう,そう,そう,副詞 * * * * *,24,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,24,2
スティーブン,スティーブン,スティーブン,名詞 固有名詞 人名 一般 * *,24,2
から,から,から,助詞 接続助詞 * * * *,22,2
さん,さん,さん,接尾辞 名詞的 一般 * * *,22,2
トビー,トビー,トビー,名詞 固有名詞 人名 一般 * *,22,2
この,この,此の,連体詞 * * * * *,20,2
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,20,2
って,って,って,助詞 副助詞 * * * *,20,2
あ,あ,あっ,感動詞 一般 * * * *,18,2
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,18,2
それ,それ,其れ,代名詞 * * * * *,18,2
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,18,2
何,何,何,代名詞 * * * * *,18,2
音,音,音,名詞 普通名詞 一般 * * *,18,2
ああ,ああ,ああ,感動詞 一般 * * * *,16,2
その,その,其の,連体詞 * * * * *,16,2
どう,どう,どう,副詞 * * * * *,16,2
ロウ,ロウ,ロウ,名詞 普通名詞 一般 * * *,16,2
君,君,君,代名詞 * * * * *,16,2
あっ,あっ,あっ,感動詞 一般 * * * *,14,2
お,お,御,接頭辞 * * * * *,14,2
お兄ちゃん,お兄ちゃん,お兄ちゃん,名詞 普通名詞 一般 * * *,14,2
ツェッド,ツェッド,ツェッド,名詞 普通名詞 一般 * * *,14,2
眼,眼,目,名詞 普通名詞 一般 * * *,14,2
が,が,が,助詞 接続助詞 * * * *,12,2
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,12,2
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,12,2
な〜,な〜,な,助詞 終助詞 * * * *,12,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,12,2
ね〜,ね〜,ね,助詞 終助詞 * * * *,12,2
ブラック,ブラック,ブラック,名詞 普通名詞 一般 * * *,12,2
レオ,レオ,レオ,名詞 固有名詞 人名 一般 * *,12,2
僕,僕,僕,代名詞 * * * * *,12,2
君,君,君,接尾辞 名詞的 一般 * * *,12,2
あ〜,あ〜,ああ,感動詞 一般 * * * *,10,2
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,10,2
い,い,い,助詞 終助詞 * * * *,10,2
