Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,1191,12
の,の,の,助詞 格助詞 * * * *,1137,12
に,に,に,助詞 格助詞 * * * *,1065,12
を,を,を,助詞 格助詞 * * * *,973,12
て,て,て,助詞 接続助詞 * * * *,791,12
が,が,が,助詞 格助詞 * * * *,603,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,545,12
と,と,と,助詞 格助詞 * * * *,525,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,405,12
も,も,も,助詞 係助詞 * * * *,348,12
で,で,で,助詞 格助詞 * * * *,330,12
か,か,か,助詞 終助詞 * * * *,326,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,321,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,319,12
の,の,の,助詞 準体助詞 * * * *,303,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,287,12
ヤン,ヤン,ヤン,名詞 固有名詞 人名 一般 * *,259,11
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,226,12
こと,こと,こと,名詞 普通名詞 一般 * * *,219,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,219,12
な,な,な,助詞 終助詞 * * * *,205,12
が,が,が,助詞 接続助詞 * * * *,167,12
艦隊,艦隊,艦隊,名詞 普通名詞 一般 * * *,157,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,154,12
私,私,私,代名詞 * * * * *,142,12
敵,敵,敵,名詞 普通名詞 一般 * * *,139,10
ば,ば,ば,助詞 接続助詞 * * * *,136,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,134,12
それ,それ,其れ,代名詞 * * * * *,133,12
帝国,帝国,帝国,名詞 普通名詞 一般 * * *,133,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,123,12
から,から,から,助詞 格助詞 * * * *,120,12
か,か,か,助詞 副助詞 * * * *,111,12
第,第,第,接頭辞 * * * * *,111,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,110,12
軍,軍,軍,名詞 普通名詞 一般 * * *,110,12
ん,ん,の,助詞 準体助詞 * * * *,109,12
ラインハルト,ラインハルト,ラインハルト,名詞 固有名詞 人名 一般 * *,106,7
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,105,12
お,お,御,接頭辞 * * * * *,103,12
ね,ね,ね,助詞 終助詞 * * * *,102,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,96,12
キルヒアイス,キルヒアイス,キルヒアイス,名詞 普通名詞 一般 * * *,96,6
どう,どう,どう,副詞 * * * * *,95,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,95,12
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,95,12
その,その,其の,連体詞 * * * * *,93,12
何,何,何,代名詞 * * * * *,91,12
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,90,12
･,・,・,補助記号 一般 * * * *,89,12
よ,よ,よ,助詞 終助詞 * * * *,89,11
そう,そう,そう,副詞 * * * * *,88,12
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,86,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,83,12
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,82,12
この,この,此の,連体詞 * * * * *,81,12
