Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2602,42
は,は,は,助詞 係助詞 * * * *,2535,42
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2312,42
て,て,て,助詞 接続助詞 * * * *,2239,42
に,に,に,助詞 格助詞 * * * *,2084,42
を,を,を,助詞 格助詞 * * * *,1953,42
が,が,が,助詞 格助詞 * * * *,1799,42
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1384,42
も,も,も,助詞 係助詞 * * * *,1115,42
で,で,で,助詞 格助詞 * * * *,1058,42
か,か,か,助詞 終助詞 * * * *,1044,42
と,と,と,助詞 格助詞 * * * *,969,42
ん,ん,の,助詞 準体助詞 * * * *,898,42
よ,よ,よ,助詞 終助詞 * * * *,896,42
マイク,マイク,マイク,名詞 普通名詞 一般 * * *,846,28
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,839,42
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,797,42
の,の,の,助詞 準体助詞 * * * *,745,42
俺,俺,俺,代名詞 * * * * *,694,42
な,な,な,助詞 終助詞 * * * *,630,42
こと,こと,こと,名詞 普通名詞 一般 * * *,583,42
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,559,42
ね,ね,ね,助詞 終助詞 * * * *,550,42
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,547,42
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,521,42
たち,たち,達,接尾辞 名詞的 一般 * * *,492,42
って,って,って,助詞 副助詞 * * * *,437,42
この,この,此の,連体詞 * * * * *,416,42
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,397,41
か,か,か,助詞 副助詞 * * * *,370,42
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,357,42
何,何,何,代名詞 * * * * *,332,42
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,329,42
これ,これ,此れ,代名詞 * * * * *,322,42
〜,〜,〜,補助記号 一般 * * * *,312,42
それ,それ,其れ,代名詞 * * * * *,309,42
瞬,瞬,瞬,名詞 固有名詞 人名 名 * *,309,42
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,304,42
そう,そう,そう,副詞 * * * * *,301,42
から,から,から,助詞 接続助詞 * * * *,300,40
サッカー,サッカー,サッカー,名詞 普通名詞 一般 * * *,296,38
木,木,木,名詞 普通名詞 一般 * * *,276,42
お前,お前,御前,代名詞 * * * * *,263,42
どう,どう,どう,副詞 * * * * *,259,42
神童,神童,神童,名詞 普通名詞 一般 * * *,256,42
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,255,40
から,から,から,助詞 格助詞 * * * *,254,42
ば,ば,ば,助詞 接続助詞 * * * *,252,41
剣城,剣城,剣城,名詞 固有名詞 人名 姓 * *,246,39
九,九,9,名詞 数詞 * * * *,245,41
天馬,天馬,天馬,名詞 普通名詞 一般 * * *,244,42
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,239,41
坂,坂,坂,名詞 普通名詞 一般 * * *,239,41
私,私,私,代名詞 * * * * *,230,37
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,228,41
試合,試合,試合,名詞 普通名詞 サ変可能 * * *,222,41
さん,さん,さん,接尾辞 名詞的 一般 * * *,214,41
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,207,42
なん,なん,何,代名詞 * * * * *,205,42
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,202,39
ホイッスル,ホイッスル,ホイッスル,名詞 普通名詞 一般 * * *,199,31
ここ,ここ,此処,代名詞 * * * * *,198,41
ら,ら,等,接尾辞 名詞的 一般 * * *,189,42
星,星,星,名詞 普通名詞 一般 * * *,189,23
井吹,井吹,井吹,名詞 固有名詞 人名 姓 * *,188,41
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,186,42
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,186,41
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,186,40
皆,皆,皆,名詞 普通名詞 副詞可能 * * *,185,42
今,今,今,名詞 普通名詞 副詞可能 * * *,185,41
その,その,其の,連体詞 * * * * *,182,41
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,179,41
うん,うん,うん,感動詞 一般 * * * *,178,39
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,173,38
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,173,36
あっ,あっ,あっ,感動詞 一般 * * * *,171,40
宇宙,宇宙,宇宙,名詞 普通名詞 一般 * * *,170,26
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,166,39
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,165,41
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,164,40
僕,僕,僕,代名詞 * * * * *,164,39
君,君,君,接尾辞 名詞的 一般 * * *,164,35
鉄,鉄,鉄,名詞 普通名詞 一般 * * *,162,41
の,の,の,助詞 終助詞 * * * *,160,37
角,角,角,名詞 普通名詞 一般 * * *,158,41
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,157,42
真名部,真名部,真名部,名詞 固有名詞 人名 姓 * *,157,42
力,力,力,名詞 普通名詞 一般 * * *,157,35
が,が,が,助詞 接続助詞 * * * *,155,40
帆,帆,帆,名詞 普通名詞 一般 * * *,151,41
まで,まで,まで,助詞 副助詞 * * * *,150,41
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,148,41
よう,よう,様,形状詞 助動詞語幹 * * * *,146,38
