Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1671,7
は,は,は,助詞 係助詞 * * * *,1627,7
て,て,て,助詞 接続助詞 * * * *,1390,7
を,を,を,助詞 格助詞 * * * *,1331,7
に,に,に,助詞 格助詞 * * * *,1285,7
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1109,7
が,が,が,助詞 格助詞 * * * *,864,7
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,718,7
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,598,7
と,と,と,助詞 格助詞 * * * *,588,7
も,も,も,助詞 係助詞 * * * *,542,7
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,538,7
ヤマト,ヤマト,ヤマト,名詞 固有名詞 地名 一般 * *,471,7
か,か,か,助詞 終助詞 * * * *,447,7
ん,ん,の,助詞 準体助詞 * * * *,418,7
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,394,7
の,の,の,助詞 準体助詞 * * * *,387,7
で,で,で,助詞 格助詞 * * * *,338,7
地球,地球,地球,名詞 普通名詞 一般 * * *,320,7
何,何,何,代名詞 * * * * *,305,7
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,304,7
な,な,な,助詞 終助詞 * * * *,291,7
古代,古代,古代,名詞 普通名詞 副詞可能 * * *,273,7
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,265,7
こと,こと,こと,名詞 普通名詞 一般 * * *,255,7
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,241,7
へ,へ,へ,助詞 格助詞 * * * *,238,7
艦隊,艦隊,艦隊,名詞 普通名詞 一般 * * *,221,7
よ,よ,よ,助詞 終助詞 * * * *,212,7
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,198,7
から,から,から,助詞 格助詞 * * * *,196,7
宇宙,宇宙,宇宙,名詞 普通名詞 一般 * * *,193,7
テレサ,テレサ,テレサ,名詞 固有名詞 人名 一般 * *,183,7
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,180,7
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,179,7
どう,どう,どう,副詞 * * * * *,178,7
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,176,7
さん,さん,さん,接尾辞 名詞的 一般 * * *,173,7
この,この,此の,連体詞 * * * * *,159,7
か,か,か,助詞 副助詞 * * * *,158,7
私,私,私,代名詞 * * * * *,157,7
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,156,7
それ,それ,其れ,代名詞 * * * * *,150,7
これ,これ,此れ,代名詞 * * * * *,149,7
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,148,7
その,その,其の,連体詞 * * * * *,145,7
彗星,彗星,彗星,名詞 普通名詞 一般 * * *,140,7
デスラー,デスラー,デスラー,名詞 普通名詞 一般 * * *,140,6
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,134,7
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,131,7
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,131,7
敵,敵,敵,名詞 普通名詞 一般 * * *,131,7
テレザート,テレザート,テレザート,名詞 普通名詞 一般 * * *,125,7
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,123,7
発射,発射,発射,名詞 普通名詞 サ変可能 * * *,119,7
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,114,7
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,113,7
島,島,島,名詞 普通名詞 一般 * * *,113,7
第,第,第,接頭辞 * * * * *,113,7
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,108,7
まで,まで,まで,助詞 副助詞 * * * *,105,7
艦長,艦長,艦長,名詞 普通名詞 一般 * * *,104,7
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,103,7
今,今,今,名詞 普通名詞 副詞可能 * * *,102,7
俺,俺,俺,代名詞 * * * * *,99,7
が,が,が,助詞 接続助詞 * * * *,97,7
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,95,7
大帝,大帝,大帝,名詞 普通名詞 一般 * * *,94,7
お,お,御,接頭辞 * * * * *,92,7
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,91,7
そう,そう,そう,副詞 * * * * *,91,7
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,91,7
よう,よう,様,形状詞 助動詞語幹 * * * *,91,7
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,90,7
もう,もう,もう,副詞 * * * * *,85,7
総統,総統,総統,名詞 普通名詞 一般 * * *,85,6
あの,あの,彼の,連体詞 * * * * *,84,7
しかし,しかし,然し,接続詞 * * * * *,84,7
ね,ね,ね,助詞 終助詞 * * * *,84,7
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,82,7
帝国,帝国,帝国,名詞 普通名詞 一般 * * *,82,7
ば,ば,ば,助詞 接続助詞 * * * *,80,7
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,79,7
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,78,7
お前,お前,御前,代名詞 * * * * *,77,7
はい,はい,はい,感動詞 一般 * * * *,77,7
って,って,って,助詞 副助詞 * * * *,76,7
で,で,で,助詞 接続助詞 * * * *,76,7
星,星,星,名詞 普通名詞 一般 * * *,75,7
白色,白色,白色,名詞 普通名詞 一般 * * *,75,6
我々,我々,我々,代名詞 * * * * *,73,7
あなた,あなた,貴方,代名詞 * * * * *,69,7
エネルギー,エネルギー,エネルギー,名詞 普通名詞 一般 * * *,69,7
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,68,7
おい,おい,おい,感動詞 一般 * * * *,67,7
たち,たち,達,接尾辞 名詞的 一般 * * *,67,7
前,前,前,名詞 普通名詞 副詞可能 * * *,67,7
もの,もの,物,名詞 普通名詞 サ変可能 * * *,66,7
よし,よし,よし,名詞 普通名詞 一般 * * *,66,7
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,65,7
