Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,1171,12
の,の,の,助詞 格助詞 * * * *,1106,12
輝,輝,輝,名詞 固有名詞 人名 名 * *,1094,12
慧,慧,慧,名詞 固有名詞 人名 名 * *,1086,12
て,て,て,助詞 接続助詞 * * * *,1019,12
に,に,に,助詞 格助詞 * * * *,933,12
が,が,が,助詞 格助詞 * * * *,707,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,673,12
を,を,を,助詞 格助詞 * * * *,643,12
と,と,と,助詞 格助詞 * * * *,566,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,539,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,522,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,509,12
ん,ん,の,助詞 準体助詞 * * * *,505,12
も,も,も,助詞 係助詞 * * * *,501,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,496,12
の,の,の,助詞 準体助詞 * * * *,486,12
か,か,か,助詞 終助詞 * * * *,452,12
花,花,花,名詞 普通名詞 一般 * * *,428,12
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,423,12
で,で,で,助詞 格助詞 * * * *,414,12
よ,よ,よ,助詞 終助詞 * * * *,383,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,380,12
紗,紗,紗,名詞 普通名詞 一般 * * *,366,12
雪,雪,雪,名詞 普通名詞 一般 * * *,366,12
ね,ね,ね,助詞 終助詞 * * * *,357,12
か,か,か,助詞 副助詞 * * * *,292,12
って,って,って,助詞 副助詞 * * * *,291,12
唯,唯,唯,副詞 * * * * *,280,12
瑞葉,瑞葉,瑞葉,名詞 固有名詞 人名 名 * *,277,12
から,から,から,助詞 接続助詞 * * * *,242,12
こと,こと,こと,名詞 普通名詞 一般 * * *,232,12
な,な,な,助詞 終助詞 * * * *,227,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,214,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,205,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,204,12
俺,俺,俺,代名詞 * * * * *,198,12
翔,翔,翔,名詞 固有名詞 人名 名 * *,186,12
馬,馬,馬,接尾辞 名詞的 一般 * * *,185,12
けど,けど,けれど,助詞 接続助詞 * * * *,176,12
そう,そう,そう,副詞 * * * * *,168,12
小春,小春,小春,名詞 普通名詞 一般 * * *,168,9
真緒,真緒,真緒,名詞 固有名詞 人名 名 * *,165,11
