Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1310,15
は,は,は,助詞 係助詞 * * * *,1086,15
て,て,て,助詞 接続助詞 * * * *,952,15
に,に,に,助詞 格助詞 * * * *,900,15
ね,ね,ね,助詞 終助詞 * * * *,860,15
が,が,が,助詞 格助詞 * * * *,707,15
を,を,を,助詞 格助詞 * * * *,704,15
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,629,15
そ,そ,そう,副詞 * * * * *,596,15
と,と,と,助詞 格助詞 * * * *,559,15
ひ,ひ,ひ,名詞 普通名詞 副詞可能 * * *,531,15
ん,ん,の,助詞 準体助詞 * * * *,527,15
も,も,も,助詞 係助詞 * * * *,516,15
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,493,15
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,489,15
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,467,15
で,で,で,助詞 格助詞 * * * *,425,15
さん,さん,さん,接尾辞 名詞的 一般 * * *,418,15
か,か,か,助詞 終助詞 * * * *,409,15
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,379,15
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,376,15
よ,よ,よ,助詞 終助詞 * * * *,341,15
の,の,の,助詞 準体助詞 * * * *,316,15
私,私,私,代名詞 * * * * *,314,15
音,音,音,名詞 普通名詞 一般 * * *,293,15
こと,こと,こと,名詞 普通名詞 一般 * * *,253,15
って,って,って,助詞 副助詞 * * * *,248,15
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,232,15
か,か,か,助詞 副助詞 * * * *,219,15
名緒,名緒,名緒,名詞 固有名詞 人名 名 * *,205,15
甘粕,甘粕,甘粕,名詞 固有名詞 人名 姓 * *,202,15
ま,ま,まー,感動詞 フィラー * * * *,179,15
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,177,15
小此木,小此木,小此木,名詞 固有名詞 人名 姓 * *,173,15
お,お,御,接頭辞 * * * * *,166,15
保,保,保,名詞 普通名詞 一般 * * *,164,15
柿,柿,柿,名詞 普通名詞 一般 * * *,164,15
から,から,から,助詞 接続助詞 * * * *,160,15
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,157,15
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,153,15
〜,〜,〜,補助記号 一般 * * * *,150,15
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,144,15
あ,あ,あっ,感動詞 一般 * * * *,143,15
から,から,から,助詞 格助詞 * * * *,133,15
何,何,何,代名詞 * * * * *,128,15
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,127,15
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,121,15
どう,どう,どう,副詞 * * * * *,120,15
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,119,15
そう,そう,そう,副詞 * * * * *,113,15
それ,それ,其れ,代名詞 * * * * *,109,15
絵,絵,絵,名詞 普通名詞 一般 * * *,109,9
