Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2390,50
は,は,は,助詞 係助詞 * * * *,2382,50
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2381,50
て,て,て,助詞 接続助詞 * * * *,2296,50
に,に,に,助詞 格助詞 * * * *,2057,50
を,を,を,助詞 格助詞 * * * *,2048,50
が,が,が,助詞 格助詞 * * * *,1697,50
號,號,號,名詞 普通名詞 一般 * * *,1515,50
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,998,50
〜,〜,〜,補助記号 一般 * * * *,993,50
も,も,も,助詞 係助詞 * * * *,986,50
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,904,50
ん,ん,の,助詞 準体助詞 * * * *,896,50
と,と,と,助詞 格助詞 * * * *,890,50
よ,よ,よ,助詞 終助詞 * * * *,882,50
翔,翔,翔,名詞 固有名詞 人名 名 * *,871,50
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,848,50
剴,剴,剴,名詞 普通名詞 一般 * * *,829,50
で,で,で,助詞 格助詞 * * * *,828,50
か,か,か,助詞 終助詞 * * * *,802,50
の,の,の,助詞 準体助詞 * * * *,699,50
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,631,49
ゲッター,ゲッター,ゲッター,名詞 普通名詞 一般 * * *,583,50
何,何,何,代名詞 * * * * *,568,50
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,504,50
たち,たち,達,接尾辞 名詞的 一般 * * *,488,50
な,な,な,助詞 終助詞 * * * *,476,50
ゲッターロボ,ゲッターロボ,ゲッターロボ,名詞 普通名詞 一般 * * *,469,50
こと,こと,こと,名詞 普通名詞 一般 * * *,433,50
由自,由自,由自,名詞 固有名詞 人名 名 * *,423,45
わ,わ,わ,助詞 終助詞 * * * *,388,50
メタル,メタル,メタル,名詞 普通名詞 一般 * * *,384,49
か,か,か,助詞 副助詞 * * * *,368,50
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,366,50
ビースト,ビースト,ビースト,名詞 普通名詞 一般 * * *,365,49
どう,どう,どう,副詞 * * * * *,356,50
ワン,ワン,ワン,名詞 普通名詞 一般 * * *,351,43
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,344,50
この,この,此の,連体詞 * * * * *,343,50
って,って,って,助詞 副助詞 * * * *,322,48
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,319,50
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,314,50
あっ,あっ,あっ,感動詞 一般 * * * *,313,47
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,312,50
博士,博士,博士,名詞 普通名詞 一般 * * *,307,44
さん,さん,さん,接尾辞 名詞的 一般 * * *,293,42
ね,ね,ね,助詞 終助詞 * * * *,291,48
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,284,49
これ,これ,此れ,代名詞 * * * * *,275,49
ナルキス,ナルキス,ナルキス,名詞 普通名詞 一般 * * *,274,21
うん,うん,うん,感動詞 一般 * * * *,261,49
から,から,から,助詞 格助詞 * * * *,255,48
ば,ば,ば,助詞 接続助詞 * * * *,248,48
俺,俺,俺,代名詞 * * * * *,247,48
そう,そう,そう,副詞 * * * * *,231,49
