Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,1278,14
の,の,の,助詞 格助詞 * * * *,1236,14
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1163,14
に,に,に,助詞 格助詞 * * * *,1050,14
が,が,が,助詞 格助詞 * * * *,928,14
て,て,て,助詞 接続助詞 * * * *,849,14
を,を,を,助詞 格助詞 * * * *,815,14
キリル,キリル,キリル,名詞 固有名詞 人名 一般 * *,701,14
ダグ,ダグ,ダグ,名詞 固有名詞 人名 一般 * *,583,14
と,と,と,助詞 格助詞 * * * *,525,14
も,も,も,助詞 係助詞 * * * *,520,14
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,485,14
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,476,14
か,か,か,助詞 終助詞 * * * *,458,14
ん,ん,の,助詞 準体助詞 * * * *,429,14
よ,よ,よ,助詞 終助詞 * * * *,405,14
で,で,で,助詞 格助詞 * * * *,398,14
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,394,14
な,な,な,助詞 終助詞 * * * *,351,14
って,って,って,助詞 副助詞 * * * *,307,14
俺,俺,俺,代名詞 * * * * *,306,14
の,の,の,助詞 準体助詞 * * * *,304,14
あ,あ,あっ,感動詞 一般 * * * *,244,14
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,243,14
こと,こと,こと,名詞 普通名詞 一般 * * *,240,14
か,か,か,助詞 副助詞 * * * *,239,14
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,226,14
ディーナ,ディーナ,ディーナ,名詞 固有名詞 人名 一般 * *,224,14
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,199,14
から,から,から,助詞 接続助詞 * * * *,185,14
お前,お前,御前,代名詞 * * * * *,176,14
ああ,ああ,ああ,感動詞 一般 * * * *,174,14
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,174,14
何,何,何,代名詞 * * * * *,172,14
そう,そう,そう,副詞 * * * * *,170,14
〜,〜,〜,補助記号 一般 * * * *,169,14
ケイ,ケイ,ケイ,名詞 固有名詞 人名 一般 * *,155,14
クーパー,クーパー,クーパー,名詞 固有名詞 人名 一般 * *,153,6
トラヴィス,トラヴィス,トラビス,名詞 固有名詞 人名 一般 * *,152,14
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,143,14
ね,ね,ね,助詞 終助詞 * * * *,142,14
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,140,14
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,137,14
それ,それ,其れ,代名詞 * * * * *,136,14
･,・,・,補助記号 一般 * * * *,133,14
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,122,14
マックス,マックス,マックス,名詞 固有名詞 人名 一般 * *,116,13
どう,どう,どう,副詞 * * * * *,115,14
アンセム,アンセム,アンセム,名詞 普通名詞 一般 * * *,115,13
ザベル,ザベル,ザベル,名詞 普通名詞 一般 * * *,115,9
けど,けど,けれど,助詞 接続助詞 * * * *,111,14
その,その,其の,連体詞 * * * * *,109,14
たち,たち,達,接尾辞 名詞的 一般 * * *,107,13
から,から,から,助詞 格助詞 * * * *,106,14
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,105,14
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,103,14
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,103,13
が,が,が,助詞 接続助詞 * * * *,101,14
この,この,此の,連体詞 * * * * *,100,14
これ,これ,此れ,代名詞 * * * * *,99,14
さん,さん,さん,接尾辞 名詞的 一般 * * *,99,14
なん,なん,何,代名詞 * * * * *,97,14
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,93,14
だけ,だけ,だけ,助詞 副助詞 * * * *,93,14
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,91,14
アップル,アップル,アップル,名詞 普通名詞 一般 * * *,86,10
私,私,私,代名詞 * * * * *,85,11
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,84,14
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,83,14
音,音,音,名詞 普通名詞 一般 * * *,80,14
ユリ,ユリ,百合,名詞 普通名詞 一般 * * *,80,13
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,79,14
そんな,そんな,そんな,連体詞 * * * * *,78,14
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,78,14
いや,いや,否,感動詞 一般 * * * *,76,14
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,76,14
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,73,14
ば,ば,ば,助詞 接続助詞 * * * *,73,14
デリック,デリック,デリック,名詞 普通名詞 一般 * * *,72,13
君,君,君,代名詞 * * * * *,71,12
ミラ,ミラ,ミラ,名詞 固有名詞 人名 一般 * *,71,8
ん,ん,ん,助詞 格助詞 * * * *,70,14
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,70,14
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,69,14
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,68,14
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,68,14
話,話,話,名詞 普通名詞 サ変可能 * * *,68,14
あっ,あっ,あっ,感動詞 一般 * * * *,68,10
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,66,14
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,65,13
え,え,え,助詞 終助詞 * * * *,64,14
語り,語る,語る,動詞 一般 * * 五段-ラ行 連用形-一般,63,14
あの,あの,彼の,連体詞 * * * * *,62,14
もう,もう,もう,副詞 * * * * *,62,14
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,60,14
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,59,14
けど,けど,けれど,接続詞 * * * * *,59,14
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,58,13
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,57,13
刑事,刑事,刑事,名詞 普通名詞 一般 * * *,57,13
捜査,捜査,捜査,名詞 普通名詞 サ変可能 * * *,57,13
ため,ため,為,名詞 普通名詞 副詞可能 * * *,56,14
へ,へ,へ,助詞 格助詞 * * * *,56,14
男,男,男,名詞 普通名詞 一般 * * *,56,14
まで,まで,まで,助詞 副助詞 * * * *,55,14
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,55,13
で,で,で,助詞 接続助詞 * * * *,53,14
よう,よう,様,形状詞 助動詞語幹 * * * *,53,14
今,今,今,名詞 普通名詞 副詞可能 * * *,53,14
し,し,し,助詞 接続助詞 * * * *,53,13
なんて,なんて,なんて,助詞 副助詞 * * * *,53,13
お,お,御,接頭辞 * * * * *,52,14
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,52,14
あいつ,あいつ,彼奴,代名詞 * * * * *,52,13
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,51,14
ここ,ここ,此処,代名詞 * * * * *,51,13
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,51,13
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,50,13
軍部,軍部,軍部,名詞 普通名詞 一般 * * *,50,7
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,49,14
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,49,14
誰,誰,誰,代名詞 * * * * *,49,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,48,13
え,え,えっ,感動詞 一般 * * * *,47,11
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,46,14
う,う,うう,感動詞 一般 * * * *,46,13
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,45,14
おい,おい,おい,感動詞 一般 * * * *,45,14
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,45,14
銃声,銃声,銃声,名詞 普通名詞 一般 * * *,45,13
ら,ら,等,接尾辞 名詞的 一般 * * *,44,13
エスペランサ,エスペランサ,エスペランサ,名詞 普通名詞 一般 * * *,44,12
て,てる,てる,助動詞 * * * 下一段-タ行 連体形-省略,43,13
別,別,別,名詞 普通名詞 形状詞可能 * * *,43,13
セブン,セブン,セブン,名詞 普通名詞 一般 * * *,43,12
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,43,11
さ,さ,さ,助詞 終助詞 * * * *,42,14
手,手,手,名詞 普通名詞 助数詞可能 * * *,40,13
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,40,11
相棒,相棒,相棒,名詞 普通名詞 一般 * * *,40,10
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,39,14
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,39,12
パーティー,パーティー,パーティー,名詞 普通名詞 一般 * * *,39,1
こいつ,こいつ,此奴,代名詞 * * * * *,38,13
ん,ん,んっ,感動詞 一般 * * * *,38,13
前,前,前,名詞 普通名詞 副詞可能 * * *,38,13
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,38,12
エル,エル,エル,名詞 固有名詞 人名 一般 * *,38,1
と,と,と,助詞 接続助詞 * * * *,37,14
そう,そう,そう,名詞 助動詞語幹 * * * *,36,13
とき,とき,時,名詞 普通名詞 副詞可能 * * *,36,13
ハア,ハア,はあ,感動詞 一般 * * * *,36,10
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,35,13
ジョー,ジョー,ジョー,名詞 固有名詞 人名 一般 * *,35,1
わけ,わけ,訳,名詞 普通名詞 一般 * * *,34,13
うっ,うっ,うう,感動詞 一般 * * * *,34,10
ヒーロー,ヒーロー,ヒーロー,名詞 普通名詞 一般 * * *,34,8
彼,彼,彼,代名詞 * * * * *,33,13
こう,こう,こう,副詞 * * * * *,33,12
我々,我々,我々,代名詞 * * * * *,33,11
犯人,犯人,犯人,名詞 普通名詞 一般 * * *,33,4
ハリー,ハリー,ハリー,名詞 固有名詞 人名 一般 * *,33,1
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,32,13
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,32,12
あんた,あんた,貴方,代名詞 * * * * *,32,11
もの,もの,物,名詞 普通名詞 サ変可能 * * *,32,11
オー,オー,オー,名詞 普通名詞 一般 * * *,32,11
バンブーマン,バンブーマン,バンブーマン,名詞 普通名詞 一般 * * *,32,5
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,31,12
人,人,人,名詞 普通名詞 一般 * * *,31,12
どこ,どこ,どこ,代名詞 * * * * *,30,13
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,30,13
そう,そう,そう,形状詞 助動詞語幹 * * * *,30,12
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,30,12
まだ,まだ,未だ,副詞 * * * * *,30,12
事件,事件,事件,名詞 普通名詞 一般 * * *,30,12
自分,自分,自分,名詞 普通名詞 一般 * * *,30,12
の,の,の,助詞 終助詞 * * * *,30,11
こっち,こっち,此方,代名詞 * * * * *,29,13
気,気,気,名詞 普通名詞 一般 * * *,29,13
こんな,こんな,こんな,連体詞 * * * * *,29,12
ちょっと,ちょっと,一寸,副詞 * * * * *,29,12
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,29,11
