Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,3287,33
は,は,は,助詞 係助詞 * * * *,3264,33
に,に,に,助詞 格助詞 * * * *,2742,33
を,を,を,助詞 格助詞 * * * *,2734,33
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2399,33
が,が,が,助詞 格助詞 * * * *,2213,33
て,て,て,助詞 接続助詞 * * * *,2063,33
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1314,33
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1253,33
も,も,も,助詞 係助詞 * * * *,1249,33
と,と,と,助詞 格助詞 * * * *,1187,33
で,で,で,助詞 格助詞 * * * *,1042,33
エレン,エレン,エレン,名詞 固有名詞 人名 一般 * *,1038,32
か,か,か,助詞 終助詞 * * * *,896,33
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,820,33
の,の,の,助詞 準体助詞 * * * *,819,33
ん,ん,の,助詞 準体助詞 * * * *,774,33
巨人,巨人,巨人,名詞 普通名詞 一般 * * *,730,33
よ,よ,よ,助詞 終助詞 * * * *,675,33
こと,こと,こと,名詞 普通名詞 一般 * * *,630,33
な,な,な,助詞 終助詞 * * * *,599,33
アルミン,アルミン,アルミン,名詞 普通名詞 一般 * * *,585,32
俺,俺,俺,代名詞 * * * * *,573,33
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,534,33
お前,お前,御前,代名詞 * * * * *,513,33
何,何,何,代名詞 * * * * *,501,33
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,486,33
か,か,か,助詞 副助詞 * * * *,477,33
それ,それ,其れ,代名詞 * * * * *,407,33
たち,たち,達,接尾辞 名詞的 一般 * * *,405,33
リヴァイ,リヴァイ,リヴァイ,名詞 普通名詞 一般 * * *,386,32
って,って,って,助詞 副助詞 * * * *,375,33
この,この,此の,連体詞 * * * * *,368,33
から,から,から,助詞 格助詞 * * * *,360,33
ミカサ,ミカサ,ミカサ,名詞 普通名詞 一般 * * *,358,32
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,346,33
あっ,あっ,あっ,感動詞 一般 * * * *,337,32
ば,ば,ば,助詞 接続助詞 * * * *,326,33
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,324,32
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,319,33
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,308,33
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,307,33
どう,どう,どう,副詞 * * * * *,298,33
ら,ら,等,接尾辞 名詞的 一般 * * *,290,33
から,から,から,助詞 接続助詞 * * * *,290,31
エルヴィン,エルヴィン,エルビン,名詞 固有名詞 人名 一般 * *,286,31
そう,そう,そう,副詞 * * * * *,284,33
ジャン,ジャン,ジャン,名詞 固有名詞 人名 一般 * *,284,30
壁,壁,壁,名詞 普通名詞 一般 * * *,282,33
その,その,其の,連体詞 * * * * *,280,33
ハンジ,ハンジ,ハンジ,名詞 普通名詞 一般 * * *,278,30
私,私,私,代名詞 * * * * *,277,29
が,が,が,助詞 接続助詞 * * * *,258,33
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,258,33
〜,〜,〜,補助記号 一般 * * * *,247,32
ここ,ここ,此処,代名詞 * * * * *,245,33
もう,もう,もう,副詞 * * * * *,244,33
これ,これ,此れ,代名詞 * * * * *,237,31
あの,あの,彼の,連体詞 * * * * *,229,33
音,音,音,名詞 普通名詞 一般 * * *,225,30
ライナー,ライナー,ライナー,名詞 普通名詞 一般 * * *,222,20
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,219,33
だけ,だけ,だけ,助詞 副助詞 * * * *,216,33
調査,調査,調査,名詞 普通名詞 サ変可能 * * *,213,29
ああ,ああ,ああ,感動詞 一般 * * * *,205,33
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,200,33
人類,人類,人類,名詞 普通名詞 一般 * * *,200,31
･,・,・,補助記号 一般 * * * *,199,26
うっ,うっ,うう,感動詞 一般 * * * *,196,30
兵士,兵士,兵士,名詞 普通名詞 一般 * * *,195,29
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,192,32
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,191,33
なん,なん,何,代名詞 * * * * *,190,31
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,188,33
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,188,33
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,186,33
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,181,33
まで,まで,まで,助詞 副助詞 * * * *,181,33
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,178,33
今,今,今,名詞 普通名詞 副詞可能 * * *,176,32
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,173,32
兵団,兵団,兵団,名詞 普通名詞 一般 * * *,173,25
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,170,33
力,力,力,名詞 普通名詞 一般 * * *,169,30
よう,よう,様,形状詞 助動詞語幹 * * * *,165,33
僕,僕,僕,代名詞 * * * * *,165,20
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,164,32
ベルトルト,ベルトルト,ベルトルト,名詞 固有名詞 人名 一般 * *,163,21
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,160,32
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,159,33
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,157,33
ね,ね,ね,助詞 終助詞 * * * *,155,33
グリシャ,グリシャ,グリシャ,名詞 普通名詞 一般 * * *,154,18
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,153,27
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,152,33
おい,おい,おい,感動詞 一般 * * * *,150,29
