Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,529,1
は,は,は,助詞 係助詞 * * * *,429,1
を,を,を,助詞 格助詞 * * * *,353,1
に,に,に,助詞 格助詞 * * * *,311,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,247,1
て,て,て,助詞 接続助詞 * * * *,233,1
が,が,が,助詞 格助詞 * * * *,218,1
遊戯,遊戯,遊戯,名詞 普通名詞 サ変可能 * * *,174,1
藍,藍,藍,名詞 普通名詞 一般 * * *,155,1
神,神,神,名詞 普通名詞 一般 * * *,135,1
海馬,海馬,海馬,名詞 普通名詞 一般 * * *,129,1
で,で,で,助詞 格助詞 * * * *,128,1
と,と,と,助詞 格助詞 * * * *,128,1
あ,あ,あっ,感動詞 一般 * * * *,120,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,118,1
僕,僕,僕,代名詞 * * * * *,117,1
う,う,うう,感動詞 一般 * * * *,115,1
〜,〜,〜,補助記号 一般 * * * *,112,1
も,も,も,助詞 係助詞 * * * *,112,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,105,1
この,この,此の,連体詞 * * * * *,99,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,98,1
城之内,城之内,城之内,名詞 固有名詞 人名 姓 * *,96,1
君,君,君,代名詞 * * * * *,94,1
俺,俺,俺,代名詞 * * * * *,79,1
これ,これ,此れ,代名詞 * * * * *,77,1
たち,たち,達,接尾辞 名詞的 一般 * * *,77,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,77,1
か,か,か,助詞 終助詞 * * * *,76,1
ん,ん,の,助詞 準体助詞 * * * *,73,1
モンスター,モンスター,モンスター,名詞 普通名詞 一般 * * *,72,1
よ,よ,よ,助詞 終助詞 * * * *,70,1
な,な,な,助詞 終助詞 * * * *,67,1
こと,こと,こと,名詞 普通名詞 一般 * * *,60,1
うう,うう,うう,感動詞 一般 * * * *,53,1
世界,世界,世界,名詞 普通名詞 一般 * * *,53,1
の,の,の,助詞 準体助詞 * * * *,52,1
ハア,ハア,はあ,感動詞 一般 * * * *,50,1
