Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,295,1
の,の,の,助詞 格助詞 * * * *,252,1
て,て,て,助詞 接続助詞 * * * *,186,1
くん,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-撥音便,154,1
に,に,に,助詞 格助詞 * * * *,132,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,126,1
は,は,は,助詞 係助詞 * * * *,126,1
お母さん,お母さん,お母さん,名詞 普通名詞 一般 * * *,115,1
お父さん,お父さん,お父さん,名詞 普通名詞 一般 * * *,115,1
が,が,が,助詞 格助詞 * * * *,106,1
で,で,で,助詞 格助詞 * * * *,106,1
も,も,も,助詞 係助詞 * * * *,106,1
よ,よ,よ,助詞 終助詞 * * * *,96,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,95,1
ミライ,ミライ,ミライ,名詞 普通名詞 一般 * * *,87,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,79,1
お,お,御,接頭辞 * * * * *,75,1
と,と,と,助詞 格助詞 * * * *,74,1
を,を,を,助詞 格助詞 * * * *,73,1
ね,ね,ね,助詞 終助詞 * * * *,69,1
の,の,の,助詞 準体助詞 * * * *,65,1
って,って,って,助詞 副助詞 * * * *,63,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,63,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,61,1
の,の,の,助詞 終助詞 * * * *,56,1
くん,くん,君,接尾辞 名詞的 一般 * * *,55,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,53,1
か,か,か,助詞 終助詞 * * * *,46,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,45,1
はい,はい,はい,感動詞 一般 * * * *,45,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,44,1
ん,ん,の,助詞 準体助詞 * * * *,43,1
うん,うん,うん,感動詞 一般 * * * *,42,1
ば,ば,ば,助詞 接続助詞 * * * *,41,1
何,何,何,代名詞 * * * * *,41,1
あ,あ,あっ,感動詞 一般 * * * *,39,1
から,から,から,助詞 接続助詞 * * * *,39,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,38,1
ああ,ああ,ああ,感動詞 一般 * * * *,36,1
音,音,音,名詞 普通名詞 一般 * * *,32,1
な,な,な,助詞 終助詞 * * * *,31,1
か,か,か,助詞 副助詞 * * * *,28,1
こと,こと,こと,名詞 普通名詞 一般 * * *,28,1
っ,っ,っ,補助記号 一般 * * * *,28,1
ゆっこ,ゆっこ,ゆっこ,名詞 固有名詞 人名 名 * *,28,1
もう,もう,もう,副詞 * * * * *,27,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,26,1
そう,そう,そう,副詞 * * * * *,26,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,26,1
で,で,で,助詞 接続助詞 * * * *,25,1
どう,どう,どう,副詞 * * * * *,25,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,25,1
はあ,はあ,はあ,感動詞 一般 * * * *,25,1
ぁ,ぁ,ぁ,補助記号 一般 * * * *,24,1
私,私,私,代名詞 * * * * *,24,1
から,から,から,助詞 格助詞 * * * *,23,1
これ,これ,此れ,代名詞 * * * * *,23,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,23,1
なん,なん,何,代名詞 * * * * *,23,1
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,22,1
男の子,男の子,男の子,名詞 普通名詞 一般 * * *,21,1
赤ちゃん,赤ちゃん,赤ちゃん,名詞 普通名詞 一般 * * *,21,1
あ,あ,あー,感動詞 フィラー * * * *,20,1
さ,さ,さ,助詞 終助詞 * * * *,20,1
それ,それ,其れ,代名詞 * * * * *,20,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,19,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,19,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,19,1
あっ,あっ,あっ,感動詞 一般 * * * *,18,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,18,1
え,え,えっ,感動詞 一般 * * * *,17,1
お兄ちゃん,お兄ちゃん,お兄ちゃん,名詞 普通名詞 一般 * * *,17,1
ほんと,ほんと,本当,名詞 普通名詞 一般 * * *,17,1
今,今,今,名詞 普通名詞 副詞可能 * * *,17,1
好き,好き,好き,形状詞 一般 * * * *,17,1
新幹線,新幹線,新幹線,名詞 普通名詞 一般 * * *,17,1
青年,青年,青年,名詞 普通名詞 一般 * * *,17,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,15,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,15,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,15,1
ん,ん,んっ,感動詞 一般 * * * *,15,1
名前,名前,名前,名詞 普通名詞 一般 * * *,15,1
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,14,1
わかっ,わかる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,14,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,14,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,13,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,13,1
め,め,め,名詞 普通名詞 一般 * * *,13,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,13,1
アナウンス,アナウンス,アナウンス,名詞 普通名詞 サ変可能 * * *,13,1
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,13,1
泣き声,泣き声,泣き声,名詞 普通名詞 一般 * * *,13,1
あれ,あれ,あれ,感動詞 一般 * * * *,12,1
い,い,い,助詞 終助詞 * * * *,12,1
うっ,うっ,うう,感動詞 一般 * * * *,12,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,12,1
なあ,なあ,な,助詞 終助詞 * * * *,12,1
イヤ,イヤ,嫌,形状詞 一般 * * * *,12,1
声,声,声,名詞 普通名詞 一般 * * *,12,1
鳴き声,鳴き声,鳴き声,名詞 普通名詞 一般 * * *,12,1
え,え,えー,感動詞 フィラー * * * *,11,1
く,くる,来る,動詞 非自立可能 * * カ行変格 連体形-省略,11,1
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,11,1
たち,たち,達,接尾辞 名詞的 一般 * * *,11,1
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,11,1
と,と,と,助詞 接続助詞 * * * *,11,1
のっ,のっ,のっ,副詞 * * * * *,11,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,11,1
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,11,1
少女,少女,少女,名詞 普通名詞 一般 * * *,11,1
時,時,時,名詞 普通名詞 副詞可能 * * *,11,1
父,父,父,名詞 普通名詞 一般 * * *,11,1
ううん,ううん,ううん,感動詞 一般 * * * *,10,1
うーん,うーん,ううん,感動詞 一般 * * * *,10,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,10,1
この,この,此の,連体詞 * * * * *,10,1
ご,ご,御,接頭辞 * * * * *,10,1
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,10,1
じゃあ,じゃあ,で,接続詞 * * * * *,10,1
その,その,其の,連体詞 * * * * *,10,1
でき,できる,出来る,動詞 非自立可能 * * 上一段-カ行 未然形-一般,10,1
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,10,1
ばあ,ばあ,ばあ,副詞 * * * * *,10,1
よう,よう,様,形状詞 助動詞語幹 * * * *,10,1
前,前,前,名詞 普通名詞 副詞可能 * * *,10,1
子ども,子ども,子供,名詞 普通名詞 一般 * * *,10,1
笑い声,笑い声,笑い声,名詞 普通名詞 一般 * * *,10,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,10,1
あなた,あなた,貴方,代名詞 * * * * *,9,1
きく,きく,菊,名詞 普通名詞 一般 * * *,9,1
しまっ,しまう,仕舞う,動詞 非自立可能 * * 五段-ワア行 連用形-促音便,9,1
じい,じい,じい,副詞 * * * * *,9,1
ちゃ,ちゃ,て,助詞 接続助詞 * * * *,9,1
どこ,どこ,どこ,代名詞 * * * * *,9,1
ば,ば,ばっ,副詞 * * * * *,9,1
ほら,ほら,ほら,感動詞 一般 * * * *,9,1
また,また,又,副詞 * * * * *,9,1
や,や,や,助詞 副助詞 * * * *,9,1
乗車,乗車,乗車,名詞 普通名詞 サ変可能 * * *,9,1
好,好,好,接頭辞 * * * * *,9,1
未来,未来,未来,名詞 普通名詞 一般 * * *,9,1
誰,誰,誰,代名詞 * * * * *,9,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,8,1
えーと,えーと,えーと,感動詞 フィラー * * * *,8,1
かわいい,かわいい,可愛い,形容詞 一般 * * 形容詞 終止形-一般,8,1
けど,けど,けれど,助詞 接続助詞 * * * *,8,1
ここ,ここ,此処,代名詞 * * * * *,8,1
じ,じ,じ,助動詞 * * * 文語助動詞-ジ 終止形-一般,8,1
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,8,1
ちゃう,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 終止形-一般,8,1
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,8,1
はーい,はーい,はい,感動詞 一般 * * * *,8,1
ま,ま,まー,感動詞 フィラー * * * *,8,1
よし,よし,よし,感動詞 一般 * * * *,8,1
より,より,より,助詞 格助詞 * * * *,8,1
ママ,ママ,ママ,名詞 普通名詞 一般 * * *,8,1
大事,大事,大事,形状詞 一般 * * * *,8,1
家,家,家,名詞 普通名詞 一般 * * *,8,1
少し,少し,少し,副詞 * * * * *,8,1
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,8,1
駅員,駅員,駅員,名詞 普通名詞 一般 * * *,8,1
あれ,あれ,彼れ,代名詞 * * * * *,7,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,7,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,7,1
いじいじ,いじいじ,いじいじ,副詞 * * * * *,7,1
おひな様,おひな様,お雛様,名詞 普通名詞 一般 * * *,7,1
さーん,さーん,さん,接尾辞 名詞的 一般 * * *,7,1
ず,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-一般,7,1
どうぞ,どうぞ,どうぞ,副詞 * * * * *,7,1
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,7,1
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,7,1
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,7,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,7,1
なんて,なんて,なんて,助詞 副助詞 * * * *,7,1
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,7,1
もっと,もっと,もっと,副詞 * * * * *,7,1
もん,もん,もの,助詞 終助詞 * * * *,7,1
んっ,んっ,んっ,感動詞 一般 * * * *,7,1
オニババ,オニババ,鬼婆,名詞 普通名詞 一般 * * *,7,1
人,人,人,名詞 普通名詞 一般 * * *,7,1
仲良く,仲良く,仲良く,副詞 * * * * *,7,1
僕,僕,僕,代名詞 * * * * *,7,1
君,君,君,代名詞 * * * * *,7,1
子,子,子,名詞 普通名詞 一般 * * *,7,1
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,7,1
母,母,母,名詞 普通名詞 一般 * * *,7,1
泣か,泣く,泣く,動詞 一般 * * 五段-カ行 未然形-一般,7,1
猫,猫,猫,名詞 普通名詞 一般 * * *,7,1
男,男,男,名詞 普通名詞 一般 * * *,7,1
男子,男子,男子,名詞 普通名詞 一般 * * *,7,1
系,系,系,接尾辞 名詞的 一般 * * *,7,1
自転車,自転車,自転車,名詞 普通名詞 一般 * * *,7,1
迷子,迷子,迷子,名詞 普通名詞 一般 * * *,7,1
電車,電車,電車,名詞 普通名詞 一般 * * *,7,1
高校生,高校生,高校生,名詞 普通名詞 一般 * * *,7,1
ああっ,ああっ,ああ,感動詞 一般 * * * *,6,1
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,6,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,6,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,6,1
いっ,いく,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,6,1
いつ,いつ,いつ,代名詞 * * * * *,6,1
う,う,うー,感動詞 フィラー * * * *,6,1
ええ,ええ,ええ,感動詞 一般 * * * *,6,1
おはよう,おはよう,御早う,感動詞 一般 * * * *,6,1
さっき,さっき,さっき,名詞 普通名詞 副詞可能 * * *,6,1
そ,そ,そう,副詞 * * * * *,6,1
そんな,そんな,そんな,連体詞 * * * * *,6,1
だけ,だけ,だけ,助詞 副助詞 * * * *,6,1
ちゃ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-融合,6,1
ちゃんと,ちゃんと,ちゃんと,副詞 * * * * *,6,1
っこ,っこ,っこ,接尾辞 名詞的 一般 * * *,6,1
でき,できる,出来る,動詞 非自立可能 * * 上一段-カ行 連用形-一般,6,1
どんな,どんな,どんな,連体詞 * * * * *,6,1
ねえ,ねえ,ね,助詞 終助詞 * * * *,6,1
ねえ,ねえ,姉,名詞 普通名詞 一般 * * *,6,1
ばっかり,ばっかり,ばかり,助詞 副助詞 * * * *,6,1
ひ,ひ,ひ,名詞 普通名詞 副詞可能 * * *,6,1
ひい,ひく,ひく,動詞 一般 * * 五段-カ行 連用形-イ音便,6,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,6,1
まで,まで,まで,助詞 副助詞 * * * *,6,1
もし,もし,若し,副詞 * * * * *,6,1
やめ,やめる,やめる,動詞 一般 * * 下一段-マ行 連用形-一般,6,1
よし,よし,よし,名詞 普通名詞 一般 * * *,6,1
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,6,1
デキマス,デキマス,デキマス,名詞 普通名詞 一般 * * *,6,1
中,中,中,名詞 普通名詞 副詞可能 * * *,6,1
息,息,息,名詞 普通名詞 一般 * * *,6,1
手,手,手,名詞 普通名詞 助数詞可能 * * *,6,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,6,1
母さん,母さん,母さん,名詞 普通名詞 一般 * * *,6,1
気,気,気,名詞 普通名詞 一般 * * *,6,1
結婚,結婚,結婚,名詞 普通名詞 サ変可能 * * *,6,1
自分,自分,自分,名詞 普通名詞 一般 * * *,6,1
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,6,1
遠く,遠く,遠く,名詞 普通名詞 副詞可能 * * *,6,1
馬,馬,馬,名詞 普通名詞 一般 * * *,6,1
あと,あと,後,名詞 普通名詞 副詞可能 * * *,5,1
あんた,あんた,貴方,代名詞 * * * * *,5,1
いや,いや,嫌,形状詞 一般 * * * *,5,1
