Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,288,2
て,て,て,助詞 接続助詞 * * * *,251,2
に,に,に,助詞 格助詞 * * * *,221,2
は,は,は,助詞 係助詞 * * * *,212,2
が,が,が,助詞 格助詞 * * * *,162,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,150,2
を,を,を,助詞 格助詞 * * * *,149,2
も,も,も,助詞 係助詞 * * * *,134,2
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,129,2
あゆみ,あゆみ,あゆみ,名詞 固有名詞 人名 名 * *,125,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,109,2
よ,よ,よ,助詞 終助詞 * * * *,109,2
プリキュア,プリキュア,プリキュア,名詞 固有名詞 一般 * * *,108,2
あっ,あっ,あっ,感動詞 一般 * * * *,102,2
フュージョン,フュージョン,フュージョン,名詞 普通名詞 一般 * * *,95,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,88,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,87,2
で,で,で,助詞 格助詞 * * * *,87,2
みゆき,みゆき,みゆき,名詞 固有名詞 人名 名 * *,87,2
〜,〜,〜,補助記号 一般 * * * *,85,1
たち,たち,達,接尾辞 名詞的 一般 * * *,83,2
って,って,って,助詞 副助詞 * * * *,76,2
の,の,の,助詞 準体助詞 * * * *,71,2
か,か,か,助詞 終助詞 * * * *,68,2
の,の,の,助詞 終助詞 * * * *,63,2
ハッピー,ハッピー,ハッピー,形状詞 一般 * * * *,63,2
フー,フー,フー,名詞 固有名詞 人名 一般 * *,63,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,62,2
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,62,2
ん,ん,の,助詞 準体助詞 * * * *,62,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,59,2
ね,ね,ね,助詞 終助詞 * * * *,59,2
キュア,キュア,キュア,名詞 普通名詞 一般 * * *,54,2
と,と,と,助詞 格助詞 * * * *,52,2
何,何,何,代名詞 * * * * *,52,2
うん,うん,うん,感動詞 一般 * * * *,46,2
クル,クル,クル,名詞 普通名詞 一般 * * *,46,2
わたし,わたし,私,代名詞 * * * * *,44,1
私,私,私,代名詞 * * * * *,44,1
から,から,から,助詞 接続助詞 * * * *,42,2
笑顔,笑顔,笑顔,名詞 普通名詞 一般 * * *,42,1
どう,どう,どう,副詞 * * * * *,40,2
えっ,えっ,えっ,感動詞 一般 * * * *,39,2
それ,それ,其れ,代名詞 * * * * *,39,2
か,か,か,助詞 副助詞 * * * *,38,2
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,38,2
･,・,・,補助記号 一般 * * * *,38,1
な,な,な,助詞 終助詞 * * * *,37,2
お,お,御,接頭辞 * * * * *,34,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,34,2
ニコ,ニコ,ニコ,名詞 固有名詞 人名 一般 * *,33,1
こと,こと,こと,名詞 普通名詞 一般 * * *,32,2
世界,世界,世界,名詞 普通名詞 一般 * * *,32,2
そう,そう,そう,副詞 * * * * *,31,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,31,2
友達,友達,友達,名詞 普通名詞 一般 * * *,30,2
ああ,ああ,ああ,感動詞 一般 * * * *,29,2
もう,もう,もう,副詞 * * * * *,29,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,28,2
なん,なん,何,代名詞 * * * * *,27,2
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,27,2
あの,あの,彼の,連体詞 * * * * *,26,2
なんて,なんて,なんて,助詞 副助詞 * * * *,26,2
ば,ば,ば,助詞 接続助詞 * * * *,26,2
ニャ,ニャ,ニャ,名詞 普通名詞 一般 * * *,26,1
闇,闇,闇,名詞 普通名詞 一般 * * *,26,1
ここ,ここ,此処,代名詞 * * * * *,25,2
さん,さん,さん,接尾辞 名詞的 一般 * * *,25,2
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,25,2
絵本,絵本,絵本,名詞 普通名詞 一般 * * *,25,1
この,この,此の,連体詞 * * * * *,24,2
あなた,あなた,貴方,代名詞 * * * * *,23,2
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,23,2
で,で,で,助詞 接続助詞 * * * *,23,2
サニー,サニー,サニー,名詞 普通名詞 一般 * * *,23,2
マーチ,マーチ,マーチ,名詞 普通名詞 一般 * * *,23,2
メロディ,メロディ,メロディー,名詞 普通名詞 一般 * * *,23,1
響,響,響き,名詞 普通名詞 一般 * * *,23,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,22,2
大きく,大きい,大きい,形容詞 一般 * * 形容詞 連用形-一般,22,2
これ,これ,此れ,代名詞 * * * * *,21,2
