Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,1535,25
の,の,の,助詞 格助詞 * * * *,1523,25
に,に,に,助詞 格助詞 * * * *,1379,25
は,は,は,助詞 係助詞 * * * *,1370,25
成幸,成幸,成幸,名詞 固有名詞 人名 名 * *,1208,25
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1027,25
が,が,が,助詞 格助詞 * * * *,952,25
で,で,で,助詞 格助詞 * * * *,879,25
も,も,も,助詞 係助詞 * * * *,875,25
と,と,と,助詞 格助詞 * * * *,795,25
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,781,25
か,か,か,助詞 終助詞 * * * *,709,25
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,688,25
〜,〜,〜,補助記号 一般 * * * *,679,25
よ,よ,よ,助詞 終助詞 * * * *,615,25
を,を,を,助詞 格助詞 * * * *,613,25
の,の,の,助詞 準体助詞 * * * *,551,25
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,549,25
な,な,な,助詞 終助詞 * * * *,531,25
ん,ん,の,助詞 準体助詞 * * * *,529,25
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,515,25
文乃,文乃,文乃,名詞 固有名詞 人名 名 * *,494,24
って,って,って,助詞 副助詞 * * * *,491,25
ね,ね,ね,助詞 終助詞 * * * *,486,25
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,442,25
か,か,か,助詞 副助詞 * * * *,428,25
うるか,うるか,うるか,名詞 普通名詞 一般 * * *,424,24
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,356,25
こと,こと,こと,名詞 普通名詞 一般 * * *,345,25
理珠,理珠,理珠,名詞 固有名詞 人名 名 * *,345,24
あっ,あっ,あっ,感動詞 一般 * * * *,343,25
から,から,から,助詞 接続助詞 * * * *,342,25
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,304,25
なん,なん,何,代名詞 * * * * *,299,25
さん,さん,さん,接尾辞 名詞的 一般 * * *,286,25
何,何,何,代名詞 * * * * *,272,25
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,262,25
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,259,25
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,256,25
お,お,御,接頭辞 * * * * *,245,25
それ,それ,其れ,代名詞 * * * * *,240,25
どう,どう,どう,副詞 * * * * *,240,25
唯我,唯我,唯我,名詞 普通名詞 一般 * * *,235,24
そう,そう,そう,副詞 * * * * *,230,25
あ,あ,あっ,感動詞 一般 * * * *,226,25
これ,これ,此れ,代名詞 * * * * *,219,25
わ,わ,わ,助詞 終助詞 * * * *,217,24
けど,けど,けれど,助詞 接続助詞 * * * *,206,25
この,この,此の,連体詞 * * * * *,205,25
君,君,君,接尾辞 名詞的 一般 * * *,193,25
私,私,私,代名詞 * * * * *,190,25
ああ,ああ,ああ,感動詞 一般 * * * *,187,25
真冬,真冬,真冬,名詞 普通名詞 一般 * * *,185,19
もう,もう,もう,副詞 * * * * *,182,23
緒方,緒方,緒方,名詞 固有名詞 人名 姓 * *,182,20
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,180,24
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,179,25
