Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1673,30
は,は,は,助詞 係助詞 * * * *,1413,30
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1369,30
に,に,に,助詞 格助詞 * * * *,1330,30
て,て,て,助詞 接続助詞 * * * *,1300,30
が,が,が,助詞 格助詞 * * * *,1115,30
よ,よ,よ,助詞 終助詞 * * * *,949,30
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,839,30
を,を,を,助詞 格助詞 * * * *,808,30
も,も,も,助詞 係助詞 * * * *,732,30
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,698,30
ん,ん,の,助詞 準体助詞 * * * *,637,30
で,で,で,助詞 格助詞 * * * *,634,30
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,568,30
椿,椿,椿,名詞 固有名詞 地名 一般 * *,528,30
〜,〜,〜,補助記号 一般 * * * *,502,30
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,493,30
の,の,の,助詞 準体助詞 * * * *,473,30
公生,公生,公生,名詞 固有名詞 人名 名 * *,454,30
と,と,と,助詞 格助詞 * * * *,441,30
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,427,30
か,か,か,助詞 終助詞 * * * *,417,30
ね,ね,ね,助詞 終助詞 * * * *,410,30
な,な,な,助詞 終助詞 * * * *,400,30
何,何,何,代名詞 * * * * *,394,30
僕,僕,僕,代名詞 * * * * *,376,30
って,って,って,助詞 副助詞 * * * *,357,30
私,私,私,代名詞 * * * * *,348,30
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,346,30
から,から,から,助詞 接続助詞 * * * *,342,28
の,の,の,助詞 終助詞 * * * *,337,30
渡,渡,渡し,名詞 普通名詞 一般 * * *,318,30
君,君,君,代名詞 * * * * *,296,30
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,270,30
か,か,か,助詞 副助詞 * * * *,259,30
紘子,紘子,紘子,名詞 固有名詞 人名 名 * *,255,21
あっ,あっ,あっ,感動詞 一般 * * * *,240,30
ピアノ,ピアノ,ピアノ,名詞 普通名詞 一般 * * *,223,29
観客,観客,観客,名詞 普通名詞 一般 * * *,216,22
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,202,30
音,音,音,名詞 普通名詞 一般 * * *,198,28
かをり,かをり,かをり,名詞 固有名詞 人名 名 * *,193,30
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,192,30
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,190,28
凪,凪,凪,名詞 普通名詞 一般 * * *,182,9
どう,どう,どう,副詞 * * * * *,171,30
絵見,絵見,絵見,名詞 固有名詞 人名 名 * *,170,19
うん,うん,うん,感動詞 一般 * * * *,169,28
武士,武士,武士,名詞 普通名詞 一般 * * *,169,19
こと,こと,こと,名詞 普通名詞 一般 * * *,166,30
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,160,23
演奏,演奏,演奏,名詞 普通名詞 サ変可能 * * *,149,29
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,140,30
これ,これ,此れ,代名詞 * * * * *,138,29
そう,そう,そう,副詞 * * * * *,135,30
人,人,人,名詞 普通名詞 一般 * * *,134,28
あの,あの,彼の,連体詞 * * * * *,132,29
君,君,君,接尾辞 名詞的 一般 * * *,131,30
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,130,28
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,122,27
なんて,なんて,なんて,助詞 副助詞 * * * *,121,30
もう,もう,もう,副詞 * * * * *,121,28
わ,わ,わ,助詞 終助詞 * * * *,121,24
早希,早希,早希,名詞 固有名詞 人名 名 * *,120,19
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,118,28
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,118,28
有馬,有馬,有馬,名詞 固有名詞 地名 一般 * *,118,28
それ,それ,其れ,代名詞 * * * * *,118,27
有馬,有馬,有馬,名詞 固有名詞 人名 姓 * *,116,25
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,115,30
この,この,此の,連体詞 * * * * *,114,30
よう,よう,様,形状詞 助動詞語幹 * * * *,114,30
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,114,29
から,から,から,助詞 格助詞 * * * *,111,30
俺,俺,俺,代名詞 * * * * *,110,28
お,お,御,接頭辞 * * * * *,108,28
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,106,27
その,その,其の,連体詞 * * * * *,105,29
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,101,28
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,101,28
で,で,で,助詞 接続助詞 * * * *,100,28
けど,けど,けれど,助詞 接続助詞 * * * *,100,27
さん,さん,さん,接尾辞 名詞的 一般 * * *,97,23
柏木,柏木,柏木,名詞 固有名詞 地名 一般 * *,97,15
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,96,30
あんた,あんた,貴方,代名詞 * * * * *,96,25
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,94,28
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,92,29
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,92,28
音楽,音楽,音楽,名詞 普通名詞 一般 * * *,92,28
えっ,えっ,えっ,感動詞 一般 * * * *,92,27
好き,好き,好き,形状詞 一般 * * * *,92,25
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,88,28
子,子,子,名詞 普通名詞 一般 * * *,88,27
コンクール,コンクール,コンクール,名詞 普通名詞 一般 * * *,86,25
・,・,・,補助記号 一般 * * * *,86,21
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,85,28
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,84,28
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,83,28
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,82,26
ば,ば,ば,助詞 接続助詞 * * * *,81,27
だけ,だけ,だけ,助詞 副助詞 * * * *,80,30
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,80,23
椿,椿,椿,名詞 普通名詞 一般 * * *,79,25
誰,誰,誰,代名詞 * * * * *,77,28
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,76,29
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,75,29
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,74,26
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,74,26
先生,先生,先生,名詞 普通名詞 一般 * * *,72,20
今,今,今,名詞 普通名詞 副詞可能 * * *,70,25
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,70,22
お母さん,お母さん,お母さん,名詞 普通名詞 一般 * * *,69,21
女の子,女の子,女の子,名詞 普通名詞 一般 * * *,69,21
落合,落合,落合,名詞 固有名詞 人名 姓 * *,68,14
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,67,24
ピアニスト,ピアニスト,ピアニスト,名詞 普通名詞 一般 * * *,66,23
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,65,28
また,また,又,接続詞 * * * * *,65,27
