Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,545,6
は,は,は,助詞 係助詞 * * * *,367,6
に,に,に,助詞 格助詞 * * * *,355,6
て,て,て,助詞 接続助詞 * * * *,347,6
みちる,みちる,みちる,名詞 固有名詞 人名 名 * *,339,6
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,320,6
が,が,が,助詞 格助詞 * * * *,264,6
を,を,を,助詞 格助詞 * * * *,203,6
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,193,6
も,も,も,助詞 係助詞 * * * *,191,6
で,で,で,助詞 格助詞 * * * *,188,6
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,173,6
獣人,獣人,獣人,名詞 普通名詞 一般 * * *,169,6
よ,よ,よ,助詞 終助詞 * * * *,148,6
ん,ん,の,助詞 準体助詞 * * * *,138,6
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,135,6
と,と,と,助詞 格助詞 * * * *,131,6
何,何,何,代名詞 * * * * *,121,6
士郎,士郎,士郎,名詞 固有名詞 人名 名 * *,118,6
あっ,あっ,あっ,感動詞 一般 * * * *,114,6
か,か,か,助詞 終助詞 * * * *,114,6
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,111,6
私,私,私,代名詞 * * * * *,106,6
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,101,6
ね,ね,ね,助詞 終助詞 * * * *,96,6
って,って,って,助詞 副助詞 * * * *,95,6
か,か,か,助詞 副助詞 * * * *,94,6
たち,たち,達,接尾辞 名詞的 一般 * * *,93,6
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,89,6
の,の,の,助詞 終助詞 * * * *,88,6
から,から,から,助詞 接続助詞 * * * *,82,6
〜,〜,〜,補助記号 一般 * * * *,78,6
の,の,の,助詞 準体助詞 * * * *,78,6
なずな,なずな,薺,名詞 普通名詞 一般 * * *,78,3
な,な,な,助詞 終助詞 * * * *,74,6
えっ,えっ,えっ,感動詞 一般 * * * *,72,6
こと,こと,こと,名詞 普通名詞 一般 * * *,70,6
