Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,17501,301
は,は,は,助詞 係助詞 * * * *,17256,301
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,14866,301
に,に,に,助詞 格助詞 * * * *,14538,301
て,て,て,助詞 接続助詞 * * * *,13731,301
を,を,を,助詞 格助詞 * * * *,11942,301
が,が,が,助詞 格助詞 * * * *,10744,301
か,か,か,助詞 終助詞 * * * *,7657,301
と,と,と,助詞 格助詞 * * * *,7504,301
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,7082,301
も,も,も,助詞 係助詞 * * * *,6878,301
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,6705,301
で,で,で,助詞 格助詞 * * * *,6334,301
よ,よ,よ,助詞 終助詞 * * * *,6105,301
〜,〜,〜,補助記号 一般 * * * *,5672,301
の,の,の,助詞 準体助詞 * * * *,5601,301
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,5577,301
ん,ん,の,助詞 準体助詞 * * * *,5330,301
な,な,な,助詞 終助詞 * * * *,4651,301
こと,こと,こと,名詞 普通名詞 一般 * * *,3711,301
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,3690,301
何,何,何,代名詞 * * * * *,2923,301
オレ,オレ,俺,代名詞 * * * * *,2567,261
それ,それ,其れ,代名詞 * * * * *,2518,300
って,って,って,助詞 副助詞 * * * *,2478,295
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,2295,300
ね,ね,ね,助詞 終助詞 * * * *,2241,281
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,2184,259
どう,どう,どう,副詞 * * * * *,2180,299
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,2142,299
か,か,か,助詞 副助詞 * * * *,2134,297
なん,なん,何,代名詞 * * * * *,2126,299
その,その,其の,連体詞 * * * * *,2083,301
この,この,此の,連体詞 * * * * *,2080,298
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,2075,294
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,2001,290
そう,そう,そう,副詞 * * * * *,1964,295
一護,一護,一護,名詞 固有名詞 人名 名 * *,1891,282
私,私,私,代名詞 * * * * *,1837,278
お前,お前,御前,代名詞 * * * * *,1822,284
から,から,から,助詞 接続助詞 * * * *,1799,294
が,が,が,助詞 接続助詞 * * * *,1736,297
隊長,隊長,隊長,名詞 普通名詞 一般 * * *,1718,227
さん,さん,さん,接尾辞 名詞的 一般 * * *,1679,257
から,から,から,助詞 格助詞 * * * *,1658,299
死神,死神,死神,名詞 普通名詞 一般 * * *,1604,283
たち,たち,達,接尾辞 名詞的 一般 * * *,1559,280
これ,これ,此れ,代名詞 * * * * *,1551,297
ら,ら,等,接尾辞 名詞的 一般 * * *,1499,282
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,1457,293
ば,ば,ば,助詞 接続助詞 * * * *,1348,290
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,1308,281
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,1290,287
テメエ,テメエ,てまえ,代名詞 * * * * *,1289,235
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,1260,292
力,力,力,名詞 普通名詞 一般 * * *,1259,263
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,1241,266
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,1184,263
ここ,ここ,此処,代名詞 * * * * *,1144,280
っ,っ,っ,補助記号 一般 * * * *,1133,271
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,1111,258
よう,よう,様,形状詞 助動詞語幹 * * * *,1110,283
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,1091,239
