Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1585,21
て,て,て,助詞 接続助詞 * * * *,1308,21
に,に,に,助詞 格助詞 * * * *,1228,21
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1187,21
は,は,は,助詞 係助詞 * * * *,1005,21
よ,よ,よ,助詞 終助詞 * * * *,844,21
が,が,が,助詞 格助詞 * * * *,800,21
も,も,も,助詞 係助詞 * * * *,713,21
で,で,で,助詞 格助詞 * * * *,695,21
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,674,21
か,か,か,助詞 終助詞 * * * *,668,21
な,な,な,助詞 終助詞 * * * *,598,21
御影,御影,御影,名詞 固有名詞 地名 一般 * *,582,21
ん,ん,の,助詞 準体助詞 * * * *,567,21
と,と,と,助詞 格助詞 * * * *,541,21
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,530,21
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,512,21
って,って,って,助詞 副助詞 * * * *,508,21
何,何,何,代名詞 * * * * *,476,21
を,を,を,助詞 格助詞 * * * *,469,21
の,の,の,助詞 準体助詞 * * * *,458,21
八軒,八軒,八軒,名詞 固有名詞 地名 一般 * *,409,21
から,から,から,助詞 接続助詞 * * * *,360,21
ね,ね,ね,助詞 終助詞 * * * *,347,21
か,か,か,助詞 副助詞 * * * *,325,21
俺,俺,俺,代名詞 * * * * *,307,21
こと,こと,こと,名詞 普通名詞 一般 * * *,302,21
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,302,21
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,286,21
〜,〜,〜,補助記号 一般 * * * *,281,21
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,242,21
駒場,駒場,駒場,名詞 固有名詞 地名 一般 * *,242,21
の,の,の,助詞 終助詞 * * * *,220,21
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,218,21
あっ,あっ,あっ,感動詞 一般 * * * *,217,21
うん,うん,うん,感動詞 一般 * * * *,203,21
そう,そう,そう,副詞 * * * * *,203,21
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,202,21
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,181,20
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,179,21
馬,馬,馬,名詞 普通名詞 一般 * * *,172,20
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,169,21
けど,けど,けれど,助詞 接続助詞 * * * *,168,21
君,君,君,接尾辞 名詞的 一般 * * *,167,20
