Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,142,1
て,て,て,助詞 接続助詞 * * * *,115,1
の,の,の,助詞 格助詞 * * * *,103,1
に,に,に,助詞 格助詞 * * * *,90,1
と,と,と,助詞 格助詞 * * * *,77,1
を,を,を,助詞 格助詞 * * * *,76,1
々,々,々,補助記号 一般 * * * *,72,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,72,1
木,木,木,名詞 普通名詞 一般 * * *,72,1
阿良,阿良,阿良,名詞 固有名詞 人名 姓 * *,72,1
も,も,も,助詞 係助詞 * * * *,62,1
が,が,が,助詞 格助詞 * * * *,60,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,52,1
火,火,火,名詞 普通名詞 一般 * * *,51,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,47,1
お前,お前,御前,代名詞 * * * * *,45,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,45,1
で,で,で,助詞 格助詞 * * * *,45,1
か,か,か,助詞 終助詞 * * * *,41,1
よ,よ,よ,助詞 終助詞 * * * *,41,1
の,の,の,助詞 準体助詞 * * * *,40,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,39,1
こと,こと,こと,名詞 普通名詞 一般 * * *,36,1
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,36,1
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,33,1
ん,ん,の,助詞 準体助詞 * * * *,33,1
な,な,な,助詞 終助詞 * * * *,31,1
って,って,って,助詞 副助詞 * * * *,30,1
様,様,様,接尾辞 名詞的 一般 * * *,30,1
羽川,羽川,羽川,名詞 固有名詞 人名 姓 * *,30,1
憐,憐,憐,名詞 普通名詞 一般 * * *,29,1
か,か,か,助詞 副助詞 * * * *,28,1
それ,それ,其れ,代名詞 * * * * *,28,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,28,1
わし,わし,わし,代名詞 * * * * *,26,1
忍,忍,忍,名詞 固有名詞 人名 名 * *,25,1
そう,そう,そう,副詞 * * * * *,22,1
から,から,から,助詞 接続助詞 * * * *,21,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,20,1
どう,どう,どう,副詞 * * * * *,19,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,19,1
ね,ね,ね,助詞 終助詞 * * * *,17,1
月,月,月,名詞 普通名詞 助数詞可能 * * *,17,1
私,私,私,代名詞 * * * * *,17,1
ば,ば,ば,助詞 接続助詞 * * * *,16,1
よう,よう,様,形状詞 助動詞語幹 * * * *,16,1
僕,僕,僕,代名詞 * * * * *,15,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,14,1
が,が,が,助詞 接続助詞 * * * *,14,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,14,1
その,その,其の,連体詞 * * * * *,14,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,14,1
何,何,何,代名詞 * * * * *,14,1
けど,けど,けれど,助詞 接続助詞 * * * *,13,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,13,1
のう,のう,のう,助詞 終助詞 * * * *,13,1
くん,くん,君,接尾辞 名詞的 一般 * * *,12,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,12,1
妹,妹,妹,名詞 普通名詞 一般 * * *,12,1
だけ,だけ,だけ,助詞 副助詞 * * * *,11,1
の,の,の,助詞 終助詞 * * * *,11,1
まで,まで,まで,助詞 副助詞 * * * *,11,1
あの,あの,彼の,連体詞 * * * * *,10,1
から,から,から,助詞 格助詞 * * * *,10,1
くらい,くらい,くらい,助詞 副助詞 * * * *,10,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,10,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,9,1
わけ,わけ,訳,名詞 普通名詞 一般 * * *,9,1
あ,あ,あっ,感動詞 一般 * * * *,8,1
おっ,おる,居る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,8,1
お兄ちゃん,お兄ちゃん,お兄ちゃん,名詞 普通名詞 一般 * * *,8,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,8,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,8,1
なら,なる,成る,動詞 非自立可能 * * 五段-ラ行 未然形-一般,8,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,8,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,7,1
いつ,いつ,いつ,代名詞 * * * * *,7,1
いや,いや,否,感動詞 一般 * * * *,7,1
お,お,御,接頭辞 * * * * *,7,1
し,し,し,助詞 接続助詞 * * * *,7,1
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,7,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,7,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,7,1
まあ,まあ,まあ,副詞 * * * * *,7,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 連体形-撥音便,7,1
怪異,怪異,怪異,名詞 普通名詞 形状詞可能 * * *,7,1
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,7,1
あるじ,あるじ,主,名詞 普通名詞 一般 * * *,6,1
う,う,うう,感動詞 一般 * * * *,6,1
この,この,此の,連体詞 * * * * *,6,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,6,1
そんな,そんな,そんな,連体詞 * * * * *,6,1
たち,たち,達,接尾辞 名詞的 一般 * * *,6,1
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,6,1
で,で,で,助詞 接続助詞 * * * *,6,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,6,1
や,や,や,助詞 副助詞 * * * *,6,1
やら,やら,やら,助詞 副助詞 * * * *,6,1
我が,我が,我が,連体詞 * * * * *,6,1
正しい,正しい,正しい,形容詞 一般 * * 形容詞 連体形-一般,6,1
言う,言う,言う,動詞 一般 * * 五段-ワア行 終止形-一般,6,1
ああ,ああ,ああ,感動詞 一般 * * * *,5,1
あいつ,あいつ,彼奴,代名詞 * * * * *,5,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,5,1
うち,うち,内,名詞 普通名詞 副詞可能 * * *,5,1
さ,さ,さ,助詞 終助詞 * * * *,5,1
しかし,しかし,然し,接続詞 * * * * *,5,1
じゃろう,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 意志推量形,5,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,5,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,5,1
まじない,まじない,呪い,名詞 普通名詞 一般 * * *,5,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,5,1
ら,ら,等,接尾辞 名詞的 一般 * * *,5,1
ん〜,ん〜,んー,感動詞 フィラー * * * *,5,1
カカッ,カカッ,かかか,感動詞 一般 * * * *,5,1
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,5,1
年,年,年,名詞 普通名詞 助数詞可能 * * *,5,1
忍,忍,忍,名詞 固有名詞 人名 姓 * *,5,1
戦場ヶ原,戦場ヶ原,戦場ヶ原,名詞 固有名詞 地名 一般 * *,5,1
気,気,気,名詞 普通名詞 一般 * * *,5,1
知っ,知る,知る,動詞 一般 * * 五段-ラ行 連用形-促音便,5,1
確か,確か,確か,形状詞 一般 * * * *,5,1
翼,翼,翼,名詞 固有名詞 人名 名 * *,5,1
聞い,聞く,聞く,動詞 一般 * * 五段-カ行 連用形-イ音便,5,1
蜂,蜂,蜂,名詞 普通名詞 一般 * * *,5,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,5,1
話,話,話,名詞 普通名詞 サ変可能 * * *,5,1
〜,〜,〜,補助記号 一般 * * * *,4,1
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,4,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,4,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,4,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,4,1
えっと,えっと,えーと,感動詞 フィラー * * * *,4,1
おる,おる,居る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,4,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,4,1
じゃ,じゃ,で,助詞 格助詞 * * * *,4,1
じゃ,じゃ,で,接続詞 * * * * *,4,1
じゃっ,じゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,4,1
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,4,1
そう,そう,そう,形状詞 助動詞語幹 * * * *,4,1
たく,たい,たい,助動詞 * * * 助動詞-タイ 連用形-一般,4,1
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,4,1
なかっ,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-促音便,4,1
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,4,1
ほど,ほど,ほど,助詞 副助詞 * * * *,4,1
もう,もう,もう,副詞 * * * * *,4,1
らしい,らしい,らしい,助動詞 * * * 助動詞-ラシイ 終止形-一般,4,1
わ,わ,わ,助詞 終助詞 * * * *,4,1
ん,ん,ん,助詞 格助詞 * * * *,4,1
ん,ん,んっ,感動詞 一般 * * * *,4,1
人間,人間,人間,名詞 普通名詞 一般 * * *,4,1
今,今,今,名詞 普通名詞 副詞可能 * * *,4,1
偽物,偽物,偽物,名詞 普通名詞 一般 * * *,4,1
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,4,1
別,別,別,名詞 普通名詞 形状詞可能 * * *,4,1
前,前,前,名詞 普通名詞 副詞可能 * * *,4,1
影,影,影,名詞 普通名詞 一般 * * *,4,1
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,4,1
犯人,犯人,犯人,名詞 普通名詞 一般 * * *,4,1
考え,考える,考える,動詞 一般 * * 下一段-ア行 連用形-一般,4,1
自分,自分,自分,名詞 普通名詞 一般 * * *,4,1
言わ,言う,言う,動詞 一般 * * 五段-ワア行 未然形-一般,4,1
許さ,許す,許す,動詞 一般 * * 五段-サ行 未然形-一般,4,1
間,間,間,名詞 普通名詞 副詞可能 * * *,4,1
髪,髪,髪,名詞 普通名詞 一般 * * *,4,1
あれ,あれ,彼れ,代名詞 * * * * *,3,1
い,い,いー,感動詞 フィラー * * * *,3,1
いろいろ,いろいろ,色々,副詞 * * * * *,3,1
うう,うう,うう,感動詞 一般 * * * *,3,1
か月,か月,箇月,名詞 普通名詞 助数詞可能 * * *,3,1
さ,さ,さ,接尾辞 名詞的 一般 * * *,3,1
さっき,さっき,さっき,名詞 普通名詞 副詞可能 * * *,3,1
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,3,1
しゃべっ,しゃべる,喋る,動詞 一般 * * 五段-ラ行 連用形-促音便,3,1
