Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1023,12
は,は,は,助詞 係助詞 * * * *,981,12
に,に,に,助詞 格助詞 * * * *,767,12
を,を,を,助詞 格助詞 * * * *,680,12
て,て,て,助詞 接続助詞 * * * *,674,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,621,12
が,が,が,助詞 格助詞 * * * *,555,12
太一,太一,太一,名詞 普通名詞 一般 * * *,477,12
と,と,と,助詞 格助詞 * * * *,452,12
も,も,も,助詞 係助詞 * * * *,392,12
で,で,で,助詞 格助詞 * * * *,363,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,354,12
凛,凛,凛,名詞 普通名詞 一般 * * *,349,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,339,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,308,12
か,か,か,助詞 終助詞 * * * *,288,12
よ,よ,よ,助詞 終助詞 * * * *,274,12
こと,こと,こと,名詞 普通名詞 一般 * * *,243,12
の,の,の,助詞 準体助詞 * * * *,240,12
な,な,な,助詞 終助詞 * * * *,235,12
あっ,あっ,あっ,感動詞 一般 * * * *,228,12
って,って,って,助詞 副助詞 * * * *,199,12
ミューラ,ミューラ,ミューラ,名詞 普通名詞 一般 * * *,189,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,187,12
たち,たち,達,接尾辞 名詞的 一般 * * *,181,12
ね,ね,ね,助詞 終助詞 * * * *,160,12
それ,それ,其れ,代名詞 * * * * *,156,12
私,私,私,代名詞 * * * * *,153,12
この,この,此の,連体詞 * * * * *,149,12
か,か,か,助詞 副助詞 * * * *,147,12
ん,ん,の,助詞 準体助詞 * * * *,145,12
何,何,何,代名詞 * * * * *,138,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,138,10
ああ,ああ,ああ,感動詞 一般 * * * *,132,12
俺,俺,俺,代名詞 * * * * *,126,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,122,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,119,12
タイチ,タイチ,タイチ,名詞 固有名詞 人名 名 * *,116,11
レミーア,レミーア,レミーア,名詞 普通名詞 一般 * * *,116,11
どう,どう,どう,副詞 * * * * *,111,12
これ,これ,此れ,代名詞 * * * * *,101,12
が,が,が,助詞 接続助詞 * * * *,98,12
から,から,から,助詞 接続助詞 * * * *,97,12
あ,あ,あっ,感動詞 一般 * * * *,96,12
その,その,其の,連体詞 * * * * *,96,12
