Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,284,4
は,は,は,助詞 係助詞 * * * *,270,4
て,て,て,助詞 接続助詞 * * * *,231,4
に,に,に,助詞 格助詞 * * * *,214,4
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,210,4
が,が,が,助詞 格助詞 * * * *,185,4
を,を,を,助詞 格助詞 * * * *,180,4
と,と,と,助詞 格助詞 * * * *,124,4
で,で,で,助詞 格助詞 * * * *,122,4
も,も,も,助詞 係助詞 * * * *,113,4
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,108,4
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,105,4
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,105,4
よ,よ,よ,助詞 終助詞 * * * *,103,4
の,の,の,助詞 準体助詞 * * * *,100,4
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,88,4
ね,ね,ね,助詞 終助詞 * * * *,83,4
か,か,か,助詞 終助詞 * * * *,82,4
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,82,4
何,何,何,代名詞 * * * * *,73,4
か,か,か,助詞 副助詞 * * * *,66,4
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,66,4
ん,ん,の,助詞 準体助詞 * * * *,65,4
私,私,私,代名詞 * * * * *,61,4
って,って,って,助詞 副助詞 * * * *,56,4
あっ,あっ,あっ,感動詞 一般 * * * *,54,4
こと,こと,こと,名詞 普通名詞 一般 * * *,52,4
そう,そう,そう,副詞 * * * * *,52,4
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,45,4
の,の,の,助詞 終助詞 * * * *,44,4
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,42,4
それ,それ,其れ,代名詞 * * * * *,41,4
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,40,4
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,39,4
な,な,な,助詞 終助詞 * * * *,38,4
どう,どう,どう,副詞 * * * * *,35,4
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,35,4
わ,わ,わ,助詞 終助詞 * * * *,33,4
この,この,此の,連体詞 * * * * *,32,4
から,から,から,助詞 格助詞 * * * *,31,4
さん,さん,さん,接尾辞 名詞的 一般 * * *,30,4
ば,ば,ば,助詞 接続助詞 * * * *,30,4
･,・,・,補助記号 一般 * * * *,30,4
から,から,から,助詞 接続助詞 * * * *,28,4
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,28,4
が,が,が,助詞 接続助詞 * * * *,26,4
その,その,其の,連体詞 * * * * *,26,4
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,26,4
〜,〜,〜,補助記号 一般 * * * *,25,4
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,25,4
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,25,3
だけ,だけ,だけ,助詞 副助詞 * * * *,24,4
で,で,で,助詞 接続助詞 * * * *,24,4
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,23,4
もう,もう,もう,副詞 * * * * *,23,4
君,君,君,代名詞 * * * * *,22,3
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,21,4
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,21,4
たち,たち,達,接尾辞 名詞的 一般 * * *,21,4
敵,敵,敵,名詞 普通名詞 一般 * * *,21,4
あぁ,あぁ,ああ,感動詞 一般 * * * *,20,4
ここ,ここ,此処,代名詞 * * * * *,20,4
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,20,4
宗介,宗介,宗介,名詞 固有名詞 人名 名 * *,20,4
俺,俺,俺,代名詞 * * * * *,20,3
相良,相良,相良,名詞 固有名詞 地名 一般 * *,20,3
あんた,あんた,貴方,代名詞 * * * * *,19,4
えっ,えっ,えっ,感動詞 一般 * * * *,19,4
これ,これ,此れ,代名詞 * * * * *,19,4
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,19,4
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,19,4
あなた,あなた,貴方,代名詞 * * * * *,19,3
君,君,君,接尾辞 名詞的 一般 * * *,19,3
あの,あの,彼の,連体詞 * * * * *,18,4
ん,ん,んっ,感動詞 一般 * * * *,18,4
殿,殿,殿,接尾辞 名詞的 一般 * * *,18,3
練馬,練馬,練馬,名詞 固有名詞 地名 一般 * *,18,1
うっ,うっ,うう,感動詞 一般 * * * *,17,4
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,17,4
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,17,4
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,17,4
よう,よう,様,形状詞 助動詞語幹 * * * *,17,4
僕,僕,僕,代名詞 * * * * *,17,2
いや,いや,否,感動詞 一般 * * * *,16,4
こんな,こんな,こんな,連体詞 * * * * *,15,4
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,15,4
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,15,3
機,機,機,名詞 普通名詞 助数詞可能 * * *,15,3
自分,自分,自分,名詞 普通名詞 一般 * * *,15,3
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,14,4
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,14,4
お,お,御,接頭辞 * * * * *,14,4
とき,とき,時,名詞 普通名詞 副詞可能 * * *,14,4
今,今,今,名詞 普通名詞 副詞可能 * * *,14,4
時間,時間,時間,名詞 普通名詞 助数詞可能 * * *,14,4
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,14,3
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,13,4
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,13,4
けど,けど,けれど,助詞 接続助詞 * * * *,13,4
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,13,4
まで,まで,まで,助詞 副助詞 * * * *,13,4
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,13,4
わけ,わけ,訳,名詞 普通名詞 一般 * * *,13,4
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,13,3
彼,彼,彼,代名詞 * * * * *,13,3
大佐,大佐,大佐,名詞 普通名詞 一般 * * *,13,2
どこ,どこ,どこ,代名詞 * * * * *,12,4
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,12,4
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,12,3
はず,はず,筈,名詞 普通名詞 一般 * * *,12,3
