Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,100,1
は,は,は,助詞 係助詞 * * * *,81,1
ゴブリンスレイヤー,ゴブリンスレイヤー,ゴブリンスレイヤー,名詞 普通名詞 一般 * * *,72,1
に,に,に,助詞 格助詞 * * * *,69,1
て,て,て,助詞 接続助詞 * * * *,68,1
が,が,が,助詞 格助詞 * * * *,63,1
を,を,を,助詞 格助詞 * * * *,51,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,49,1
娘,娘,娘,名詞 普通名詞 一般 * * *,48,1
牛飼,牛飼,牛飼い,名詞 普通名詞 一般 * * *,48,1
も,も,も,助詞 係助詞 * * * *,38,1
と,と,と,助詞 格助詞 * * * *,35,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,30,1
で,で,で,助詞 格助詞 * * * *,29,1
ゴブリン,ゴブリン,ゴブリン,名詞 普通名詞 一般 * * *,27,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,26,1
か,か,か,助詞 副助詞 * * * *,25,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,25,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,24,1
の,の,の,助詞 準体助詞 * * * *,23,1
か,か,か,助詞 終助詞 * * * *,21,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,21,1
ね,ね,ね,助詞 終助詞 * * * *,20,1
そう,そう,そう,副詞 * * * * *,19,1
ん,ん,の,助詞 準体助詞 * * * *,19,1
って,って,って,助詞 副助詞 * * * *,18,1
よ,よ,よ,助詞 終助詞 * * * *,18,1
あ,あ,あっ,感動詞 一般 * * * *,17,1
受付嬢,受付嬢,受付嬢,名詞 普通名詞 一般 * * *,16,1
から,から,から,助詞 接続助詞 * * * *,14,1
こと,こと,こと,名詞 普通名詞 一般 * * *,14,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,14,1
冒険者,冒険者,冒険者,名詞 普通名詞 一般 * * *,14,1
叔父,叔父,伯父,名詞 普通名詞 一般 * * *,14,1
女神,女神,女神,名詞 普通名詞 一般 * * *,13,1
官,官,官,接尾辞 名詞的 一般 * * *,13,1
お,お,御,接頭辞 * * * * *,12,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,12,1
ああ,ああ,ああ,感動詞 一般 * * * *,11,1
