Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,910,13
て,て,て,助詞 接続助詞 * * * *,716,13
は,は,は,助詞 係助詞 * * * *,668,13
智樹,智樹,智樹,名詞 固有名詞 人名 名 * *,637,13
に,に,に,助詞 格助詞 * * * *,610,13
が,が,が,助詞 格助詞 * * * *,508,13
〜,〜,〜,補助記号 一般 * * * *,474,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,469,13
を,を,を,助詞 格助詞 * * * *,420,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,365,13
も,も,も,助詞 係助詞 * * * *,335,13
ニンフ,ニンフ,ニンフ,名詞 普通名詞 一般 * * *,321,13
で,で,で,助詞 格助詞 * * * *,314,13
そ,そ,そう,副詞 * * * * *,312,13
と,と,と,助詞 格助詞 * * * *,308,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,305,13
はら,はら,はら,名詞 普通名詞 一般 * * *,301,13
アストレア,アストレア,アストレア,名詞 固有名詞 人名 一般 * *,284,13
か,か,か,助詞 終助詞 * * * *,282,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,278,13
イカロス,イカロス,イカロス,名詞 固有名詞 人名 一般 * *,263,13
の,の,の,助詞 準体助詞 * * * *,255,13
何,何,何,代名詞 * * * * *,254,13
ん,ん,の,助詞 準体助詞 * * * *,247,13
よ,よ,よ,助詞 終助詞 * * * *,232,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,223,13
守,守,守,名詞 固有名詞 人名 名 * *,222,13
形,形,形,接尾辞 名詞的 一般 * * *,222,13
夢,夢,夢,名詞 普通名詞 一般 * * *,199,9
ああ,ああ,ああ,感動詞 一般 * * * *,182,13
って,って,って,助詞 副助詞 * * * *,167,13
美香子,美香子,美香子,名詞 固有名詞 人名 名 * *,166,13
あっ,あっ,あっ,感動詞 一般 * * * *,165,13
か,か,か,助詞 副助詞 * * * *,158,13
ね,ね,ね,助詞 終助詞 * * * *,158,13
マスター,マスター,マスター,名詞 普通名詞 サ変可能 * * *,152,13
これ,これ,此れ,代名詞 * * * * *,147,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,145,13
あ,あ,あっ,感動詞 一般 * * * *,140,13
から,から,から,助詞 接続助詞 * * * *,137,13
な,な,な,助詞 終助詞 * * * *,137,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,137,13
こと,こと,こと,名詞 普通名詞 一般 * * *,136,13
