Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1979,25
は,は,は,助詞 係助詞 * * * *,1946,25
に,に,に,助詞 格助詞 * * * *,1564,25
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1504,25
て,て,て,助詞 接続助詞 * * * *,1440,25
を,を,を,助詞 格助詞 * * * *,1352,25
〜,〜,〜,補助記号 一般 * * * *,1281,25
が,が,が,助詞 格助詞 * * * *,1154,25
も,も,も,助詞 係助詞 * * * *,898,25
と,と,と,助詞 格助詞 * * * *,797,25
よ,よ,よ,助詞 終助詞 * * * *,718,25
で,で,で,助詞 格助詞 * * * *,696,25
ん,ん,の,助詞 準体助詞 * * * *,684,25
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,662,25
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,656,25
か,か,か,助詞 終助詞 * * * *,577,25
の,の,の,助詞 準体助詞 * * * *,533,25
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,529,25
あっ,あっ,あっ,感動詞 一般 * * * *,525,25
俺,俺,俺,代名詞 * * * * *,478,25
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,451,25
な,な,な,助詞 終助詞 * * * *,392,25
シンドバッド,シンドバッド,シンドバッド,名詞 固有名詞 人名 一般 * *,369,21
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,352,25
アリババ,アリババ,アリババ,名詞 固有名詞 人名 一般 * *,333,25
こと,こと,こと,名詞 普通名詞 一般 * * *,330,25
ね,ね,ね,助詞 終助詞 * * * *,273,24
この,この,此の,連体詞 * * * * *,270,25
たち,たち,達,接尾辞 名詞的 一般 * * *,251,25
お前,お前,御前,代名詞 * * * * *,248,25
それ,それ,其れ,代名詞 * * * * *,237,25
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,237,25
君,君,君,代名詞 * * * * *,233,25
なん,なん,何,代名詞 * * * * *,222,25
か,か,か,助詞 副助詞 * * * *,219,25
って,って,って,助詞 副助詞 * * * *,217,25
どう,どう,どう,副詞 * * * * *,203,25
私,私,私,代名詞 * * * * *,193,22
から,から,から,助詞 接続助詞 * * * *,192,25
カシム,カシム,カシム,名詞 固有名詞 人名 一般 * *,191,15
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,188,25
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,187,25
くっ,くっ,くっ,感動詞 一般 * * * *,184,25
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,184,24
はっ,はっ,はっ,感動詞 一般 * * * *,178,25
僕,僕,僕,代名詞 * * * * *,178,24
何,何,何,代名詞 * * * * *,176,24
そう,そう,そう,副詞 * * * * *,175,25
アラジン,アラジン,アラジン,名詞 固有名詞 人名 一般 * *,173,25
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,172,24
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,170,25
さん,さん,さん,接尾辞 名詞的 一般 * * *,169,23
その,その,其の,連体詞 * * * * *,167,25
国,国,国,名詞 普通名詞 一般 * * *,165,23
これ,これ,此れ,代名詞 * * * * *,164,25
ば,ば,ば,助詞 接続助詞 * * * *,154,25
から,から,から,助詞 格助詞 * * * *,153,25
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,153,24
お,お,御,接頭辞 * * * * *,147,23
が,が,が,助詞 接続助詞 * * * *,145,25
くん,くん,君,接尾辞 名詞的 一般 * * *,142,21
あの,あの,彼の,連体詞 * * * * *,141,25
はぁ,はぁ,はあ,感動詞 一般 * * * *,137,21
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,136,25
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,133,25
王,王,王,名詞 普通名詞 一般 * * *,133,22
白龍,白龍,白竜,名詞 普通名詞 一般 * * *,130,9
力,力,力,名詞 普通名詞 一般 * * *,128,25
ああ,ああ,ああ,感動詞 一般 * * * *,128,24
ら,ら,等,接尾辞 名詞的 一般 * * *,128,23
今,今,今,名詞 普通名詞 副詞可能 * * *,124,25
人,人,人,名詞 普通名詞 一般 * * *,124,24
ジャーファル,ジャーファル,ジャーファル,名詞 固有名詞 人名 一般 * *,124,18
もう,もう,もう,副詞 * * * * *,121,25
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,120,25
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,115,24
えっ,えっ,えっ,感動詞 一般 * * * *,113,24
あなた,あなた,貴方,代名詞 * * * * *,113,23
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,113,23
うっ,うっ,うう,感動詞 一般 * * * *,112,24
バルバッド,バルバッド,バルバッド,名詞 普通名詞 一般 * * *,112,17
煌,煌,煌,名詞 普通名詞 一般 * * *,110,15
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,108,25
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,106,23
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,105,22
一同,一同,一同,名詞 普通名詞 一般 * * *,105,22
様,様,様,接尾辞 名詞的 一般 * * *,105,19
だけ,だけ,だけ,助詞 副助詞 * * * *,104,24
マギ,マギ,マギ,名詞 普通名詞 一般 * * *,102,21
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,100,24
へ,へ,へ,助詞 格助詞 * * * *,100,23
イスナーン,イスナーン,イスナーン,名詞 普通名詞 一般 * * *,100,9
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,99,24
さ,さ,さ,助詞 終助詞 * * * *,98,25
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,98,22
迷宮,迷宮,迷宮,名詞 普通名詞 一般 * * *,96,18
モルジアナ,モルジアナ,モルジアナ,名詞 普通名詞 一般 * * *,95,24
ここ,ここ,此処,代名詞 * * * * *,95,20
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,94,24
