Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,618,12
に,に,に,助詞 格助詞 * * * *,511,12
ん,ん,の,助詞 準体助詞 * * * *,373,12
が,が,が,助詞 格助詞 * * * *,370,12
も,も,も,助詞 係助詞 * * * *,367,12
の,の,の,助詞 格助詞 * * * *,350,12
よ,よ,よ,助詞 終助詞 * * * *,331,12
は,は,は,助詞 係助詞 * * * *,323,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,316,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,291,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,290,12
で,で,で,助詞 格助詞 * * * *,284,12
と,と,と,助詞 格助詞 * * * *,263,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,251,12
な,な,な,助詞 終助詞 * * * *,240,12
って,って,って,助詞 副助詞 * * * *,228,12
こと,こと,こと,名詞 普通名詞 一般 * * *,225,12
か,か,か,助詞 終助詞 * * * *,224,12
俺,俺,俺,代名詞 * * * * *,194,12
か,か,か,助詞 副助詞 * * * *,160,12
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,159,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,159,12
ね,ね,ね,助詞 終助詞 * * * *,151,12
お前,お前,御前,代名詞 * * * * *,142,12
何,何,何,代名詞 * * * * *,140,12
の,の,の,助詞 準体助詞 * * * *,132,12
から,から,から,助詞 接続助詞 * * * *,129,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,126,12
私,私,私,代名詞 * * * * *,126,12
そう,そう,そう,副詞 * * * * *,118,12
青大,青大,青大,名詞 固有名詞 人名 名 * *,110,12
なん,なん,何,代名詞 * * * * *,106,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,105,10
の,の,の,助詞 終助詞 * * * *,102,12
それ,それ,其れ,代名詞 * * * * *,101,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,94,11
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,92,12
もう,もう,もう,副詞 * * * * *,92,11
けど,けど,けれど,助詞 接続助詞 * * * *,91,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,91,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,88,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,87,12
から,から,から,助詞 格助詞 * * * *,86,12
枝葉,枝葉,枝葉,名詞 普通名詞 一般 * * *,85,12
を,を,を,助詞 格助詞 * * * *,84,12
どう,どう,どう,副詞 * * * * *,83,12
あっ,あっ,あっ,感動詞 一般 * * * *,81,12
し,し,し,助詞 接続助詞 * * * *,81,12
そんな,そんな,そんな,連体詞 * * * * *,81,11
え,え,えっ,感動詞 一般 * * * *,76,12
わ,わ,わ,助詞 終助詞 * * * *,72,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,71,9
君,君,君,接尾辞 名詞的 一般 * * *,70,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,69,12
うん,うん,うん,感動詞 一般 * * * *,65,12
えっ,えっ,えっ,感動詞 一般 * * * *,65,10
ぇ,ぇ,ぇ,補助記号 一般 * * * *,64,10
ああ,ああ,ああ,感動詞 一般 * * * *,61,12
柚希,柚希,柚希,名詞 固有名詞 人名 名 * *,60,11
じゃあ,じゃあ,で,接続詞 * * * * *,57,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,54,12
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,54,12
だけ,だけ,だけ,助詞 副助詞 * * * *,52,12
ちょっと,ちょっと,一寸,副詞 * * * * *,52,10
桐島,桐島,桐島,名詞 固有名詞 人名 姓 * *,52,9
