Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,266,1
の,の,の,助詞 格助詞 * * * *,250,1
て,て,て,助詞 接続助詞 * * * *,247,1
よ,よ,よ,助詞 終助詞 * * * *,187,1
・,・,・,補助記号 一般 * * * *,161,1
も,も,も,助詞 係助詞 * * * *,142,1
に,に,に,助詞 格助詞 * * * *,135,1
は,は,は,助詞 係助詞 * * * *,135,1
が,が,が,助詞 格助詞 * * * *,123,1
を,を,を,助詞 格助詞 * * * *,102,1
で,で,で,助詞 格助詞 * * * *,93,1
一,一,1,名詞 数詞 * * * *,91,1
と,と,と,助詞 格助詞 * * * *,90,1
ね,ね,ね,助詞 終助詞 * * * *,88,1
つ,つ,つ,助詞 副助詞 * * * *,80,1
力,力,力,名詞 普通名詞 一般 * * *,79,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,78,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,71,1
萱,萱,萱,名詞 普通名詞 一般 * * *,71,1
あ,あ,あー,感動詞 フィラー * * * *,69,1
の,の,の,助詞 終助詞 * * * *,66,1
彡,彡,彡,補助記号 ＡＡ 一般 * * *,63,1
左,左,左,名詞 普通名詞 一般 * * *,62,1
私,私,私,代名詞 * * * * *,62,1
の,の,の,助詞 準体助詞 * * * *,58,1
フ,フ,フ,名詞 普通名詞 一般 * * *,58,1
や,や,や,助詞 副助詞 * * * *,56,1
わ,わ,わ,助詞 終助詞 * * * *,56,1
杏奈,杏奈,杏奈,名詞 固有名詞 人名 名 * *,53,1
お,お,御,接頭辞 * * * * *,51,1
だ,だ,た,助動詞 * * * 助動詞-タ 連体形-一般,49,1
あな,あな,穴,名詞 普通名詞 一般 * * *,47,1
ら,ら,等,接尾辞 名詞的 一般 * * *,47,1
こと,こと,こと,名詞 普通名詞 一般 * * *,40,1
ご,ご,御,接頭辞 * * * * *,39,1
そう,そう,そう,副詞 * * * * *,36,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,36,1
ん,ん,の,助詞 準体助詞 * * * *,34,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,33,1
ちやん,ちやる,ちゃる,助動詞 * * * 五段-ラ行 連体形-撥音便,33,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,31,1
ー,ー,ー,補助記号 一般 * * * *,31,1
いつ,いつ,いつ,代名詞 * * * * *,30,1
一二一,一二一,121,名詞 数詞 * * * *,30,1
だし,だし,だし,名詞 普通名詞 一般 * * *,28,1
つ,つう,つう,助動詞 * * * 五段-ワア行 終止形-一般,28,1
含,含む,含む,動詞 一般 * * 五段-マ行 終止形-一般,28,1
子,子,子,名詞 普通名詞 一般 * * *,28,1
か,か,か,助詞 終助詞 * * * *,27,1
じ,じ,じ,助動詞 * * * 文語助動詞-ジ 終止形-一般,27,1
はい,はい,はい,感動詞 一般 * * * *,27,1
何,何,何,代名詞 * * * * *,27,1
あの,あの,彼の,連体詞 * * * * *,26,1
凌,凌,凌,名詞 固有名詞 人名 名 * *,26,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,26,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,25,1
どう,どう,どう,副詞 * * * * *,25,1
まだ,まだ,未だ,副詞 * * * * *,25,1
もう,もう,もう,副詞 * * * * *,25,1
だち,だち,立ち,接尾辞 名詞的 一般 * * *,24,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,24,1
あつ,あり,有る,動詞 非自立可能 * * 文語ラ行変格 連用形-促音便,23,1
レ,レる,れる,助動詞 * * * 助動詞-レル 連用形-一般,23,1
て,て,で,接続詞 * * * * *,22,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,22,1
ぷ,ぷ,ぷ,接尾辞 名詞的 一般 * * *,22,1
ん,ん,ん,助詞 格助詞 * * * *,22,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,21,1
うん,うん,うん,感動詞 一般 * * * *,21,1
な,な,な,助詞 終助詞 * * * *,21,1
ま,ま,まー,感動詞 フィラー * * * *,21,1
ゎ,ゎ,わ,助詞 終助詞 * * * *,21,1
カ,カ,カ,名詞 普通名詞 一般 * * *,21,1
人,人,人,名詞 普通名詞 一般 * * *,21,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,20,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,20,1
う,う,うー,感動詞 フィラー * * * *,20,1
だ,だ,た,助動詞 * * * 助動詞-タ 終止形-一般,20,1
右,右,右,名詞 普通名詞 一般 * * *,20,1
川,川,川,名詞 普通名詞 一般 * * *,20,1
つ,つう,つう,助動詞 * * * 五段-ワア行 連体形-一般,19,1
て,て,って,助詞 副助詞 * * * *,19,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,19,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,19,1
り,り,り,助動詞 * * * 文語助動詞-リ 終止形-一般,19,1
マ,マ,まー,感動詞 フィラー * * * *,19,1
刀,刀,刀,名詞 普通名詞 一般 * * *,19,1
勉,勉,勉,名詞 固有名詞 人名 名 * *,19,1
だれ,だれ,誰,代名詞 * * * * *,18,1
つて,つて,伝,名詞 普通名詞 一般 * * *,18,1
だいじ,だいじ,大事,形状詞 一般 * * * *,17,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,17,1
なだ,なだ,灘,名詞 普通名詞 一般 * * *,17,1
び,び,びっ,副詞 * * * * *,17,1
力,力,力,接尾辞 名詞的 一般 * * *,17,1
臼,臼,臼,名詞 普通名詞 一般 * * *,17,1
あ,あ,あっ,感動詞 一般 * * * *,16,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,16,1
から,から,から,助詞 格助詞 * * * *,16,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,16,1
それ,それ,其れ,代名詞 * * * * *,16,1
ちや,ちや,て,助詞 接続助詞 * * * *,16,1
ちよつと,ちよつと,一寸,副詞 * * * * *,16,1
で,で,で,助詞 接続助詞 * * * *,16,1
とき,とき,時,名詞 普通名詞 副詞可能 * * *,16,1
へ,へ,へ,助詞 格助詞 * * * *,16,1
丿,丿,丿,名詞 普通名詞 一般 * * *,16,1
忍,忍,忍,名詞 固有名詞 人名 名 * *,16,1
本当,本当,本当,名詞 普通名詞 一般 * * *,16,1
か,か,か,助詞 副助詞 * * * *,15,1
これ,これ,此れ,代名詞 * * * * *,15,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,15,1
召,召,召し,名詞 普通名詞 一般 * * *,15,1
夢,夢,夢,名詞 普通名詞 一般 * * *,15,1
爪,爪,爪,名詞 普通名詞 一般 * * *,15,1
い,い,い,助詞 終助詞 * * * *,14,1
この,この,此の,連体詞 * * * * *,14,1
ち,ち,ちっ,副詞 * * * * *,14,1
やつ,やつ,奴,名詞 普通名詞 一般 * * *,14,1
思つ,思ふ,思う,動詞 一般 * * 文語四段-ハ行 連用形-促音便,14,1
ああ,ああ,ああ,感動詞 一般 * * * *,13,1
し,し,し,助詞 接続助詞 * * * *,13,1
その,その,其の,連体詞 * * * * *,13,1
だつ,たつ,立つ,動詞 一般 * * 五段-タ行 終止形-一般,13,1
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,13,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,13,1
ねえ,ねえ,姉,名詞 普通名詞 一般 * * *,13,1
ん,ん,んっ,感動詞 一般 * * * *,13,1
ノ,ノ,の,助詞 格助詞 * * * *,13,1
玖,玖,玖,名詞 普通名詞 一般 * * *,13,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,12,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,12,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,12,1
い,い,いー,感動詞 フィラー * * * *,12,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,12,1
てき,てき,的,接尾辞 形状詞的 * * * *,12,1
よう,よう,よう,接尾辞 名詞的 一般 * * *,12,1
る,り,り,助動詞 * * * 文語助動詞-リ 連体形-一般,12,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,12,1
プ,プ,プ,名詞 普通名詞 一般 * * *,12,1
ン,ン,の,助詞 格助詞 * * * *,12,1
仁,仁,仁,名詞 固有名詞 人名 名 * *,12,1
誰,誰,誰,代名詞 * * * * *,12,1
え,え,えー,感動詞 フィラー * * * *,11,1
から,から,から,助詞 接続助詞 * * * *,11,1
こ,こ,こ,名詞 普通名詞 一般 * * *,11,1
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,11,1
だけ,だけ,だけ,助詞 副助詞 * * * *,11,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,11,1
わ,わ,わあ,感動詞 一般 * * * *,11,1
卜,卜,占い,名詞 普通名詞 一般 * * *,11,1
好き,好き,好き,形状詞 一般 * * * *,11,1
曰,曰,曰く,名詞 普通名詞 副詞可能 * * *,11,1
こんな,こんな,こんな,連体詞 * * * * *,10,1
だら,だ,た,助動詞 * * * 助動詞-タ 仮定形-一般,10,1
で,で,で,接続詞 * * * * *,10,1
と,と,と,助詞 接続助詞 * * * *,10,1
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,10,1
やん,やん,やん,接尾辞 名詞的 一般 * * *,10,1
カ,カ,かっ,副詞 * * * * *,10,1
ル,ル,ル,名詞 普通名詞 一般 * * *,10,1
例,例,例,名詞 普通名詞 一般 * * *,10,1
入,入,入り,名詞 普通名詞 一般 * * *,10,1
家,家,家,名詞 普通名詞 一般 * * *,10,1
屋敷,屋敷,屋敷,名詞 普通名詞 一般 * * *,10,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,9,1
おじ,おじ,伯父,名詞 普通名詞 一般 * * *,9,1
き,き,き,助動詞 * * * 文語助動詞-キ 終止形-一般,9,1
けど,けど,けれど,助詞 接続助詞 * * * *,9,1
ご,ご,御,接尾辞 名詞的 一般 * * *,9,1
だめ,だめ,駄目,名詞 普通名詞 形状詞可能 * * *,9,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,9,1
はつ,はつ,はつ,名詞 固有名詞 人名 名 * *,9,1
ば,ば,ば,助詞 接続助詞 * * * *,9,1
ばち,ばち,ばち,名詞 普通名詞 一般 * * *,9,1
ふつう,ふつう,普通,名詞 普通名詞 形状詞可能 * * *,9,1
ョ,ョ,よ,助詞 終助詞 * * * *,9,1
ヵ,ヵ,ヵ,名詞 普通名詞 一般 * * *,9,1
中,中,中,名詞 普通名詞 副詞可能 * * *,9,1
似,似る,似る,動詞 一般 * * 上一段-ナ行 連用形-一般,9,1
和彦,和彦,和彦,名詞 固有名詞 人名 名 * *,9,1
娘,娘,娘,名詞 普通名詞 一般 * * *,9,1
忍,忍,忍,名詞 固有名詞 地名 一般 * *,9,1
秘密,秘密,秘密,名詞 普通名詞 形状詞可能 * * *,9,1
いつも,いつも,いつも,名詞 普通名詞 副詞可能 * * *,8,1
ぅ,ぅ,ぅ,補助記号 一般 * * * *,8,1
う,う,うう,感動詞 一般 * * * *,8,1
ここ,ここ,此処,代名詞 * * * * *,8,1
ご,ご,五,名詞 数詞 * * * *,8,1
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,8,1
つち,つち,土,名詞 普通名詞 一般 * * *,8,1
な,ない,ない,助動詞 * * * 助動詞-ナイ 語幹-一般,8,1
なんて,なんて,なんて,助詞 副助詞 * * * *,8,1
はつ,はつ,発,接尾辞 名詞的 一般 * * *,8,1
ぴ,ぴ,ぴっ,副詞 * * * * *,8,1
まあ,まあ,まあ,副詞 * * * * *,8,1
まで,まで,まで,助詞 副助詞 * * * *,8,1
もら,もる,もる,動詞 一般 * * 五段-ラ行 未然形-一般,8,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,8,1
サイロ,サイロ,サイロ,名詞 普通名詞 一般 * * *,8,1
フフフ,フフフ,ふふふ,感動詞 一般 * * * *,8,1
マ,マ,マ,名詞 固有名詞 人名 姓 * *,8,1
乙,乙,乙,名詞 普通名詞 一般 * * *,8,1
友達,友達,友達,名詞 普通名詞 一般 * * *,8,1
思う,思う,思う,動詞 一般 * * 五段-ワア行 終止形-一般,8,1
日記,日記,日記,名詞 普通名詞 一般 * * *,8,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,8,1
言つ,言ふ,言う,動詞 一般 * * 文語四段-ハ行 連用形-促音便,8,1
話,話,話,名詞 普通名詞 サ変可能 * * *,8,1
部屋,部屋,部屋,名詞 普通名詞 一般 * * *,8,1
鱒,鱒,鱒,名詞 普通名詞 一般 * * *,8,1
お金,お金,お金,名詞 固有名詞 一般 * * *,7,1
さあ,さあ,さあ,感動詞 一般 * * * *,7,1
ぞ,ぞ,ぞ,助詞 係助詞 * * * *,7,1
ち,ち,ち,名詞 普通名詞 一般 * * *,7,1
どこ,どこ,どこ,代名詞 * * * * *,7,1
み,み,み,接頭辞 * * * * *,7,1
ベ,ベ,ベ,名詞 普通名詞 一般 * * *,7,1
ママ,ママ,ママ,名詞 普通名詞 一般 * * *,7,1
ン,ン,ヌ,助動詞 * * * 助動詞-ヌ 終止形-撥音便,7,1
万,万,万,名詞 普通名詞 副詞可能 * * *,7,1
互,互,互い,名詞 普通名詞 一般 * * *,7,1
亡,亡,亡,接頭辞 * * * * *,7,1
会,会,会,名詞 普通名詞 一般 * * *,7,1
所,所,所,名詞 普通名詞 副詞可能 * * *,7,1
璽,璽,璽,名詞 普通名詞 一般 * * *,7,1
穴,穴,穴,名詞 普通名詞 一般 * * *,7,1
自分,自分,自分,名詞 普通名詞 一般 * * *,7,1
見せ,見せる,見せる,動詞 非自立可能 * * 下一段-サ行 連用形-一般,7,1
あれ,あれ,彼れ,代名詞 * * * * *,6,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,6,1
いえ,いえ,いえ,感動詞 一般 * * * *,6,1
おば,おば,伯母,名詞 普通名詞 一般 * * *,6,1
かつ,かつ,且つ,接続詞 * * * * *,6,1
が,が,が,助詞 接続助詞 * * * *,6,1
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,6,1
そんな,そんな,そんな,連体詞 * * * * *,6,1
とても,とても,迚も,副詞 * * * * *,6,1
なつ,なる,成る,動詞 非自立可能 * * 文語四段-ラ行 連用形-促音便,6,1
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,6,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,6,1
よう,よう,様,形状詞 助動詞語幹 * * * *,6,1
カ,カ,か,助詞 副助詞 * * * *,6,1
ツ,ツ,つ,助詞 副助詞 * * * *,6,1
ヲ,ヲ,を,助詞 格助詞 * * * *,6,1
上手,上手,上手,形状詞 一般 * * * *,6,1
凌,凌る,凌ぐ,動詞 一般 * * 下一段-ガ行 連用形-一般,6,1
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,6,1
奈,奈,奈,名詞 普通名詞 一般 * * *,6,1
女の子,女の子,女の子,名詞 普通名詞 一般 * * *,6,1
帰つ,帰る,帰る,動詞 一般 * * 文語四段-ラ行 連用形-促音便,6,1
度,度,度,名詞 普通名詞 助数詞可能 * * *,6,1
後,後,後,名詞 普通名詞 副詞可能 * * *,6,1
絵,絵,絵,名詞 普通名詞 一般 * * *,6,1
質問,質問,質問,名詞 普通名詞 サ変可能 * * *,6,1
あの,あの,あの,感動詞 フィラー * * * *,5,1
うわ,うわ,うわ,感動詞 一般 * * * *,5,1
かしら,かしら,かしら,助詞 終助詞 * * * *,5,1
こ,こ,こ,接頭辞 * * * * *,5,1
ご,ご,ご,名詞 普通名詞 副詞可能 * * *,5,1
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,5,1
さ,さ,さ,助詞 終助詞 * * * *,5,1
さ,さ,さ,接尾辞 名詞的 一般 * * *,5,1
しだ,しだ,羊歯,名詞 普通名詞 一般 * * *,5,1
しばら,しばる,縛る,動詞 一般 * * 五段-ラ行 未然形-一般,5,1
じ,じ,じ,接尾辞 名詞的 一般 * * *,5,1
ず,ぬ,ず,助動詞 * * * 助動詞-ヌ 連用形-一般,5,1
ずい,ずい,ずい,副詞 * * * * *,5,1
