Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,1731,26
の,の,の,助詞 格助詞 * * * *,1665,26
に,に,に,助詞 格助詞 * * * *,1297,26
て,て,て,助詞 接続助詞 * * * *,1119,26
を,を,を,助詞 格助詞 * * * *,1072,26
が,が,が,助詞 格助詞 * * * *,927,26
と,と,と,助詞 格助詞 * * * *,750,26
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,732,26
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,612,26
も,も,も,助詞 係助詞 * * * *,562,26
お,お,御,接頭辞 * * * * *,547,26
で,で,で,助詞 格助詞 * * * *,521,26
の,の,の,助詞 準体助詞 * * * *,511,26
蟲,蟲,虫,名詞 普通名詞 一般 * * *,480,26
か,か,か,助詞 終助詞 * * * *,451,26
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,448,26
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,438,26
殿,殿,殿,接尾辞 名詞的 一般 * * *,421,22
よ,よ,よ,助詞 終助詞 * * * *,400,26
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,352,26
〜,〜,〜,補助記号 一般 * * * *,306,26
この,この,此の,連体詞 * * * * *,301,26
な,な,な,助詞 終助詞 * * * *,296,26
こと,こと,こと,名詞 普通名詞 一般 * * *,290,26
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,280,26
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,242,24
ん,ん,の,助詞 準体助詞 * * * *,226,25
様,様,様,接尾辞 名詞的 一般 * * *,213,25
これ,これ,此れ,代名詞 * * * * *,208,26
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,207,26
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,204,26
仁兵衛,仁兵衛,仁兵衛,名詞 固有名詞 人名 名 * *,194,26
なん,なん,何,代名詞 * * * * *,193,25
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,192,25
ね,ね,ね,助詞 終助詞 * * * *,178,26
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,163,26
が,が,が,助詞 接続助詞 * * * *,163,23
ば,ば,ば,助詞 接続助詞 * * * *,162,26
月島,月島,月島,名詞 固有名詞 人名 姓 * *,162,26
無涯,無涯,無涯,名詞 普通名詞 形状詞可能 * * *,162,20
自分,自分,自分,名詞 普通名詞 一般 * * *,159,25
